Model,Scenario,Episode Number,Reward
Single Moon,Earth - No Wind,1,277.8237306482673
Single Moon,Earth - No Wind,2,60.78511290447631
Single Moon,Earth - No Wind,3,19.910244819532267
Single Moon,Earth - No Wind,4,-48.32813063837533
Single Moon,Earth - No Wind,5,162.31755642462906
Single Moon,Earth - No Wind,6,-33.15860613109527
Single Moon,Earth - No Wind,7,251.8351063986463
Single Moon,Earth - No Wind,8,-103.72523808381169
Single Moon,Earth - No Wind,9,22.16294256830048
Single Moon,Earth - No Wind,10,-33.9269759585966
Single Moon,Earth - No Wind,11,-54.15452885167119
Single Moon,Earth - No Wind,12,-44.05409546892896
Single Moon,Earth - No Wind,13,-110.34501631729708
Single Moon,Earth - No Wind,14,252.76506223273407
Single Moon,Earth - No Wind,15,240.1068109896206
Single Moon,Earth - No Wind,16,-55.45569513763927
Single Moon,Earth - No Wind,17,-40.024424418040056
Single Moon,Earth - No Wind,18,-81.88564315356146
Single Moon,Earth - No Wind,19,-20.61308175900406
Single Moon,Earth - No Wind,20,-59.12265143151535
Single Moon,Earth - No Wind,21,-24.08050812976647
Single Moon,Earth - No Wind,22,31.600298288842083
Single Moon,Earth - No Wind,23,-32.40376018872908
Single Moon,Earth - No Wind,24,5.2012930342214645
Single Moon,Earth - No Wind,25,-54.77957018628992
Single Moon,Earth - No Wind,26,-61.48426525861899
Single Moon,Earth - No Wind,27,184.50029266859724
Single Moon,Earth - No Wind,28,50.56286553595808
Single Moon,Earth - No Wind,29,43.568703874051096
Single Moon,Earth - No Wind,30,9.642139934893208
Single Moon,Earth - No Wind,31,-44.09649916724203
Single Moon,Earth - No Wind,32,269.4577845873053
Single Moon,Earth - No Wind,33,256.0473562763686
Single Moon,Earth - No Wind,34,42.33303522494424
Single Moon,Earth - No Wind,35,17.691860332897093
Single Moon,Earth - No Wind,36,247.2339466062013
Single Moon,Earth - No Wind,37,-29.429113776059467
Single Moon,Earth - No Wind,38,32.1281916501587
Single Moon,Earth - No Wind,39,15.230901043062019
Single Moon,Earth - No Wind,40,237.78221619336054
Single Moon,Earth - No Wind,41,-12.85794013104335
Single Moon,Earth - No Wind,42,135.027922449569
Single Moon,Earth - No Wind,43,14.048950716421643
Single Moon,Earth - No Wind,44,17.925701246487748
Single Moon,Earth - No Wind,45,-107.88055319320154
Single Moon,Earth - No Wind,46,275.0391753046967
Single Moon,Earth - No Wind,47,-20.890496960129525
Single Moon,Earth - No Wind,48,24.83234776987706
Single Moon,Earth - No Wind,49,272.00605207126546
Single Moon,Earth - No Wind,50,26.895280432574054
Single Moon,Earth - No Wind,51,282.1432844454687
Single Moon,Earth - No Wind,52,-94.90527972139284
Single Moon,Earth - No Wind,53,31.098560693376527
Single Moon,Earth - No Wind,54,-22.377042209138466
Single Moon,Earth - No Wind,55,-42.7373986749063
Single Moon,Earth - No Wind,56,-32.78204561109176
Single Moon,Earth - No Wind,57,6.664523989136612
Single Moon,Earth - No Wind,58,10.761010763266754
Single Moon,Earth - No Wind,59,-15.187864046789798
Single Moon,Earth - No Wind,60,-127.39311917431077
Single Moon,Earth - No Wind,61,250.15900587134635
Single Moon,Earth - No Wind,62,-113.89728527397463
Single Moon,Earth - No Wind,63,-65.87816371550974
Single Moon,Earth - No Wind,64,250.42570255146887
Single Moon,Earth - No Wind,65,1.5575832639204918
Single Moon,Earth - No Wind,66,-31.774252399791067
Single Moon,Earth - No Wind,67,-102.55757703053469
Single Moon,Earth - No Wind,68,240.3885424884661
Single Moon,Earth - No Wind,69,14.985753816138853
Single Moon,Earth - No Wind,70,-114.40953937295396
Single Moon,Earth - No Wind,71,45.07693695956519
Single Moon,Earth - No Wind,72,6.085864014020302
Single Moon,Earth - No Wind,73,-40.071394976163646
Single Moon,Earth - No Wind,74,208.54314643970173
Single Moon,Earth - No Wind,75,-24.86957374552125
Single Moon,Earth - No Wind,76,269.377223592448
Single Moon,Earth - No Wind,77,275.4465454770954
Single Moon,Earth - No Wind,78,-16.418554480602737
Single Moon,Earth - No Wind,79,-4.6157567006845
Single Moon,Earth - No Wind,80,245.16693622188845
Single Moon,Earth - No Wind,81,-23.808200718116964
Single Moon,Earth - No Wind,82,-0.4545925897942169
Single Moon,Earth - No Wind,83,136.48962020490222
Single Moon,Earth - No Wind,84,266.1291352636109
Single Moon,Earth - No Wind,85,15.021890910003918
Single Moon,Earth - No Wind,86,11.710644311931873
Single Moon,Earth - No Wind,87,14.104011188318765
Single Moon,Earth - No Wind,88,224.662485771227
Single Moon,Earth - No Wind,89,-20.849416370611465
Single Moon,Earth - No Wind,90,-110.83196144334993
Single Moon,Earth - No Wind,91,-74.8069540326059
Single Moon,Earth - No Wind,92,139.86793042685304
