round,step,metric,value
2,89,episode_reward,-523.287856
2,89,episode_length,89
2,91,episode_reward,-442.155541
2,91,episode_length,91
2,92,episode_reward,-265.834453
2,92,episode_length,92
2,106,episode_reward,-290.267254
2,106,episode_length,106
2,108,episode_reward,-728.099948
2,108,episode_length,108
2,108,episode_reward,-481.986625
2,108,episode_length,108
2,109,episode_reward,-416.836562
2,109,episode_length,109
2,119,episode_reward,-549.667552
2,119,episode_length,119
2,130,episode_reward,-658.836954
2,130,episode_length,130
2,133,episode_reward,-389.311826
2,133,episode_length,133
2,137,episode_reward,-482.829902
2,137,episode_length,137
2,143,episode_reward,-654.814728
2,143,episode_length,143
2,144,episode_reward,-527.392745
2,144,episode_length,144
2,149,episode_reward,-800.334104
2,149,episode_length,149
2,151,episode_reward,-683.359527
2,151,episode_length,151
2,157,episode_reward,-563.530158
2,157,episode_length,157
2,163,episode_reward,-429.788201
2,163,episode_length,163
2,165,episode_reward,-701.584149
2,165,episode_length,165
2,169,episode_reward,-586.823187
2,169,episode_length,169
2,175,episode_reward,-783.622888
2,175,episode_length,175
2,201,episode_reward,-822.158823
2,201,episode_length,201
2,204,episode_reward,-700.801192
2,204,episode_length,204
2,210,episode_reward,-910.226486
2,210,episode_length,210
2,219,episode_reward,-458.092423
2,219,episode_length,219
2,224,episode_reward,-584.31466
2,224,episode_length,94
2,227,episode_reward,-615.075053
2,227,episode_length,108
2,228,episode_reward,-415.682146
2,228,episode_length,120
2,232,episode_reward,-601.117056
2,232,episode_length,88
2,237,episode_reward,-461.796579
2,237,episode_length,148
2,240,episode_reward,-784.405163
2,240,episode_length,134
2,241,episode_reward,-787.72314
2,241,episode_length,241
2,247,episode_reward,-571.419838
2,247,episode_length,110
2,257,episode_reward,-340.696849
2,257,episode_length,257
2,259,episode_reward,-351.381311
2,259,episode_length,126
2,261,episode_reward,-536.377147
2,261,episode_length,112
2,262,episode_reward,-637.773987
2,262,episode_length,262
2,265,episode_reward,-600.506503
2,265,episode_length,108
2,284,episode_reward,-373.452472
2,284,episode_length,119
2,288,episode_reward,-911.214653
2,288,episode_length,288
2,288,episode_reward,-1157.503849
2,288,episode_length,288
2,290,episode_reward,-504.397163
2,290,episode_length,89
2,297,episode_reward,-717.230056
2,297,episode_length,297
2,308,episode_reward,-494.279467
2,308,episode_length,89
2,315,episode_reward,-548.157268
2,315,episode_length,152
2,316,episode_reward,-433.661297
2,316,episode_length,92
2,329,episode_reward,-682.404255
2,329,episode_length,92
2,332,episode_reward,-459.365175
2,332,episode_length,92
2,333,episode_reward,-356.788897
2,333,episode_length,105
2,344,episode_reward,-1037.187093
2,344,episode_length,253
2,347,episode_reward,-585.491169
2,347,episode_length,115
2,349,episode_reward,-508.158162
2,349,episode_length,108
2,356,episode_reward,-504.334046
2,356,episode_length,94
2,361,episode_reward,-517.071474
2,361,episode_length,218
2,371,episode_reward,-177.997656
2,371,episode_length,112
2,377,episode_reward,-496.536337
2,377,episode_length,269
2,387,episode_reward,-932.601924
2,387,episode_length,236
2,407,episode_reward,-535.446546
2,407,episode_length,92
2,407,episode_reward,-553.145208
2,407,episode_length,180
2,411,episode_reward,-553.714489
2,411,episode_length,150
2,416,episode_reward,-1550.083221
2,416,episode_length,307
2,418,episode_reward,-576.277112
2,418,episode_length,121
2,427,episode_reward,-411.880424
2,427,episode_length,98
2,429,episode_reward,-562.342008
2,429,episode_length,337
2,440,episode_reward,-525.857142
2,440,episode_length,132
2,445,episode_reward,-405.556794
2,445,episode_length,101
2,446,episode_reward,-1661.98927
2,446,episode_length,446
2,449,episode_reward,-921.321177
2,449,episode_length,192
2,450,episode_reward,-873.695439
2,450,episode_length,160
2,457,episode_reward,-445.37802
2,457,episode_length,173
2,461,episode_reward,-250.162369
2,461,episode_length,214
2,473,episode_reward,-516.368316
2,473,episode_length,141
2,482,episode_reward,-660.811885
2,482,episode_length,121
2,489,episode_reward,-395.522418
2,489,episode_length,112
2,498,episode_reward,-557.481799
2,498,episode_length,323
2,526,episode_reward,-340.724354
2,526,episode_length,238
2,527,episode_reward,-645.347561
2,527,episode_length,358
2,549,episode_reward,-336.12741
2,549,episode_length,103
2,550,episode_reward,-440.353951
2,550,episode_length,89
2,550,episode_reward,-625.382034
2,550,episode_length,179
2,554,episode_reward,-414.825671
2,554,episode_length,97
2,559,episode_reward,-928.965518
2,559,episode_length,152
2,563,episode_reward,-2369.575842
2,563,episode_length,359
2,563,episode_reward,-395.421313
2,563,episode_length,114
2,567,episode_reward,-528.532953
2,567,episode_length,94
2,572,episode_reward,-546.246769
2,572,episode_length,83
2,573,episode_reward,-506.015577
2,573,episode_length,128
2,575,episode_reward,-1069.718747
2,575,episode_length,310
2,581,episode_reward,-442.49713
2,581,episode_length,152
2,589,episode_reward,-428.355468
2,589,episode_length,173
2,589,episode_reward,-406.432947
2,589,episode_length,91
2,607,episode_reward,-597.590263
2,607,episode_length,251
2,623,episode_reward,-784.378899
2,623,episode_length,212
2,623,episode_reward,-925.076904
2,623,episode_length,307
2,627,episode_reward,-3156.043943
2,627,episode_length,627
2,645,episode_reward,-305.740857
2,645,episode_length,118
2,648,episode_reward,-852.698956
2,648,episode_length,299
2,650,episode_reward,-370.923919
2,650,episode_length,100
2,654,episode_reward,-539.52901
2,654,episode_length,91
2,660,episode_reward,-516.17686
2,660,episode_length,242
2,665,episode_reward,-523.515703
2,665,episode_length,102
2,671,episode_reward,-628.14702
2,671,episode_length,98
2,673,episode_reward,-863.476567
2,673,episode_length,233
2,673,episode_reward,-952.101376
2,673,episode_length,266
2,678,episode_reward,-583.465622
2,678,episode_length,124
