round,step,metric,value
0,62,episode_reward,-100.227602
0,62,episode_length,62
0,63,episode_reward,-88.189288
0,63,episode_length,63
0,67,episode_reward,-278.111063
0,67,episode_length,67
0,71,episode_reward,-217.671921
0,71,episode_length,71
0,71,episode_reward,-77.091255
0,71,episode_length,71
0,72,episode_reward,-149.010685
0,72,episode_length,72
0,73,episode_reward,-176.25748
0,73,episode_length,73
0,73,episode_reward,-208.556922
0,73,episode_length,73
0,76,episode_reward,-175.856215
0,76,episode_length,76
0,76,episode_reward,-83.276044
0,76,episode_length,76
0,76,episode_reward,-195.721703
0,76,episode_length,76
0,84,episode_reward,-513.901162
0,84,episode_length,84
0,85,episode_reward,-322.967969
0,85,episode_length,85
0,89,episode_reward,-235.987932
0,89,episode_length,89
0,90,episode_reward,-468.030221
0,90,episode_length,90
0,93,episode_reward,-467.639538
0,93,episode_length,93
0,95,episode_reward,6.727659
0,95,episode_length,95
0,96,episode_reward,-367.303608
0,96,episode_length,96
0,101,episode_reward,-291.81415
0,101,episode_length,101
0,102,episode_reward,-657.267675
0,102,episode_length,102
0,102,episode_reward,-496.715163
0,102,episode_length,102
0,105,episode_reward,-528.414176
0,105,episode_length,105
0,106,episode_reward,-479.359087
0,106,episode_length,106
0,106,episode_reward,-154.727423
0,106,episode_length,106
0,107,episode_reward,-208.060055
0,107,episode_length,107
0,110,episode_reward,-427.096902
0,110,episode_length,110
0,111,episode_reward,-438.395112
0,111,episode_length,111
0,114,episode_reward,-393.513531
0,114,episode_length,114
0,116,episode_reward,-668.28369
0,116,episode_length,116
0,118,episode_reward,-120.329329
0,118,episode_length,118
0,118,episode_reward,-427.941679
0,118,episode_length,118
0,128,episode_reward,-156.051873
0,128,episode_length,128
0,139,episode_reward,-175.457529
0,139,episode_length,77
0,142,episode_reward,-399.777415
0,142,episode_length,75
0,147,episode_reward,-268.159513
0,147,episode_length,74
0,147,episode_reward,-419.230945
0,147,episode_length,75
0,150,episode_reward,-105.014532
0,150,episode_length,60
0,156,episode_reward,-334.059976
0,156,episode_length,80
0,163,episode_reward,-70.208666
0,163,episode_length,70
0,163,episode_reward,-366.222069
0,163,episode_length,92
0,164,episode_reward,-173.801603
0,164,episode_length,58
0,168,episode_reward,-300.277619
0,168,episode_length,66
0,169,episode_reward,-114.233891
0,169,episode_length,93
0,171,episode_reward,-295.683652
0,171,episode_length,76
0,173,episode_reward,-199.320645
0,173,episode_length,89
0,175,episode_reward,-488.379793
0,175,episode_length,99
