round,step,metric,value
0,79,episode_reward,-454.621488
0,79,episode_length,79
0,84,episode_reward,-510.183476
0,84,episode_length,84
0,84,episode_reward,-380.73967
0,84,episode_length,84
0,86,episode_reward,-521.839698
0,86,episode_length,86
0,88,episode_reward,-199.460553
0,88,episode_length,88
0,89,episode_reward,-408.722624
0,89,episode_length,89
0,89,episode_reward,-487.332543
0,89,episode_length,89
0,95,episode_reward,-290.969594
0,95,episode_length,95
0,99,episode_reward,-543.839004
0,99,episode_length,99
0,102,episode_reward,-408.199041
0,102,episode_length,102
0,103,episode_reward,-486.570201
0,103,episode_length,103
0,105,episode_reward,-485.229519
0,105,episode_length,105
0,107,episode_reward,-527.144701
0,107,episode_length,107
0,112,episode_reward,-262.670724
0,112,episode_length,112
0,120,episode_reward,-407.553502
0,120,episode_length,120
0,122,episode_reward,-391.327756
0,122,episode_length,122
0,122,episode_reward,-411.160002
0,122,episode_length,122
0,128,episode_reward,-314.191721
0,128,episode_length,128
0,130,episode_reward,-577.393673
0,130,episode_length,130
0,132,episode_reward,-683.7185
0,132,episode_length,132
0,143,episode_reward,-664.200633
0,143,episode_length,143
0,164,episode_reward,-421.097539
0,164,episode_length,164
0,173,episode_reward,-508.344201
0,173,episode_length,173
0,174,episode_reward,-309.764562
0,174,episode_length,174
0,174,episode_reward,-553.204386
0,174,episode_length,174
0,176,episode_reward,-581.390911
0,176,episode_length,176
0,183,episode_reward,-382.069419
0,183,episode_length,95
0,188,episode_reward,-625.090062
0,188,episode_length,104
0,189,episode_reward,-632.316611
0,189,episode_length,189
0,189,episode_reward,-286.066702
0,189,episode_length,110
0,194,episode_reward,-481.359624
0,194,episode_length,194
0,198,episode_reward,-406.525149
0,198,episode_length,76
0,200,episode_reward,-552.080302
0,200,episode_length,101
0,205,episode_reward,-617.254598
0,205,episode_length,205
0,211,episode_reward,-375.93903
0,211,episode_length,127
0,216,episode_reward,-529.106301
0,216,episode_length,113
0,218,episode_reward,-308.745387
0,218,episode_length,98
0,220,episode_reward,-433.893297
0,220,episode_length,115
0,227,episode_reward,-338.128704
0,227,episode_length,138
0,229,episode_reward,-447.961858
0,229,episode_length,97
0,239,episode_reward,-409.731937
0,239,episode_length,153
0,253,episode_reward,-155.995182
0,253,episode_length,253
0,260,episode_reward,-920.765133
0,260,episode_length,260
0,261,episode_reward,-375.388594
0,261,episode_length,149
0,266,episode_reward,-288.333343
0,266,episode_length,123
0,274,episode_reward,-349.089806
0,274,episode_length,144
0,275,episode_reward,-357.69974
0,275,episode_length,180
0,297,episode_reward,-438.39037
0,297,episode_length,175
0,298,episode_reward,-766.839328
0,298,episode_length,134
0,299,episode_reward,-475.339202
0,299,episode_length,116
0,302,episode_reward,-461.494273
0,302,episode_length,108
0,304,episode_reward,-312.438339
0,304,episode_length,116
0,312,episode_reward,-348.474081
0,312,episode_length,138
0,323,episode_reward,-773.76328
0,323,episode_length,221
0,324,episode_reward,-319.268651
0,324,episode_length,97
0,326,episode_reward,-457.843882
0,326,episode_length,97
0,330,episode_reward,-533.331834
0,330,episode_length,223
0,333,episode_reward,-726.367024
0,333,episode_length,157
0,335,episode_reward,-754.153102
0,335,episode_length,246
0,339,episode_reward,-440.829054
0,339,episode_length,211
0,340,episode_reward,-338.334478
0,340,episode_length,79
0,343,episode_reward,-452.148196
0,343,episode_length,123
0,345,episode_reward,-498.716451
0,345,episode_length,134
0,346,episode_reward,-484.649011
0,346,episode_length,173
0,352,episode_reward,-250.858667
0,352,episode_length,86
0,377,episode_reward,-460.018624
0,377,episode_length,188
0,382,episode_reward,-564.775982
0,382,episode_length,122
0,389,episode_reward,-341.466588
0,389,episode_length,87
0,393,episode_reward,-746.064846
0,393,episode_length,393
0,406,episode_reward,-557.244531
0,406,episode_length,132
0,423,episode_reward,-477.435262
0,423,episode_length,126
0,430,episode_reward,-739.538019
0,430,episode_length,100
0,433,episode_reward,-525.516882
0,433,episode_length,110
0,433,episode_reward,-417.523538
0,433,episode_length,235
0,438,episode_reward,-440.313691
0,438,episode_length,98
0,438,episode_reward,-542.982096
0,438,episode_length,140
0,438,episode_reward,-432.253354
0,438,episode_length,185
0,443,episode_reward,-611.685007
0,443,episode_length,139
0,443,episode_reward,-1441.710398
0,443,episode_length,254
0,452,episode_reward,-1068.162259
0,452,episode_length,177
0,457,episode_reward,-641.312845
0,457,episode_length,252
0,466,episode_reward,-1162.127599
0,466,episode_length,292
0,467,episode_reward,-430.102973
0,467,episode_length,90
0,468,episode_reward,-212.706917
0,468,episode_length,156
0,468,episode_reward,-551.87562
0,468,episode_length,125
0,470,episode_reward,-430.932147
0,470,episode_length,252
0,474,episode_reward,-370.957334
0,474,episode_length,175
0,476,episode_reward,-746.297225
0,476,episode_length,141
0,478,episode_reward,-303.720918
0,478,episode_length,89
0,479,episode_reward,-258.065609
0,479,episode_length,134
0,480,episode_reward,-417.412307
0,480,episode_length,156
0,498,episode_reward,-381.626268
0,498,episode_length,116
0,511,episode_reward,-1414.422984
0,511,episode_length,311
0,526,episode_reward,-538.793963
0,526,episode_length,180
0,528,episode_reward,-973.221388
0,528,episode_length,202
0,530,episode_reward,-454.083891
0,530,episode_length,87
0,531,episode_reward,-493.289841
0,531,episode_length,93
0,542,episode_reward,-583.145754
0,542,episode_length,99
0,549,episode_reward,-918.112589
0,549,episode_length,197
0,554,episode_reward,-505.127366
0,554,episode_length,88
0,562,episode_reward,-306.144767
0,562,episode_length,82
0,564,episode_reward,-62.824123
0,564,episode_length,131
0,570,episode_reward,-392.982213
0,570,episode_length,103
0,575,episode_reward,-715.663053
0,575,episode_length,137
0,596,episode_reward,-577.589529
0,596,episode_length,98
0,598,episode_reward,-726.507113
0,598,episode_length,192
0,599,episode_reward,-570.529143
0,599,episode_length,166
0,600,episode_reward,-197.043092
0,600,episode_length,130
0,600,episode_reward,-762.440735
0,600,episode_length,207
0,610,episode_reward,-641.495539
0,610,episode_length,187
0,611,episode_reward,-803.227776
0,611,episode_length,173
0,613,episode_reward,-546.355151
0,613,episode_length,137
0,618,episode_reward,-537.988671
0,618,episode_length,166
0,618,episode_reward,-491.025005
0,618,episode_length,140
0,621,episode_reward,-334.048692
0,621,episode_length,91
0,622,episode_reward,-342.154438
0,622,episode_length,283
0,623,episode_reward,-375.937926
0,623,episode_length,193
0,630,episode_reward,-505.544682
0,630,episode_length,162
0,640,episode_reward,-235.697847
0,640,episode_length,129
0,642,episode_reward,-794.761145
0,642,episode_length,168
0,645,episode_reward,-1788.323928
0,645,episode_length,406
0,657,episode_reward,-478.596037
0,657,episode_length,95
0,659,episode_reward,-169.022749
0,659,episode_length,89
0,660,episode_reward,-372.26569
0,660,episode_length,118
0,662,episode_reward,-458.411261
0,662,episode_length,194
0,667,episode_reward,-470.124469
0,667,episode_length,188
0,674,episode_reward,-519.657962
0,674,episode_length,146
0,677,episode_reward,-409.484613
0,677,episode_length,123
0,677,episode_reward,-1112.212485
0,677,episode_length,461
0,678,episode_reward,-516.309785
0,678,episode_length,152
0,679,episode_reward,-1039.788959
0,679,episode_length,222
0,686,episode_reward,-521.79885
0,686,episode_length,88
0,693,episode_reward,-273.003709
0,693,episode_length,93
0,694,episode_reward,-421.613281
0,694,episode_length,145
0,699,episode_reward,-564.299713
0,699,episode_length,99
0,700,episode_reward,-428.928039
0,700,episode_length,136
0,704,episode_reward,-265.442283
0,704,episode_length,86
0,710,episode_reward,-638.020618
0,710,episode_length,377
0,723,episode_reward,-415.281809
0,723,episode_length,100
0,724,episode_reward,-346.866076
0,724,episode_length,106
0,725,episode_reward,-462.919419
0,725,episode_length,83
0,728,episode_reward,-509.98276
0,728,episode_length,115
0,732,episode_reward,-529.904616
0,732,episode_length,201
0,740,episode_reward,-453.016952
0,740,episode_length,81
0,740,episode_reward,-501.359061
0,740,episode_length,141
0,751,episode_reward,-478.280652
0,751,episode_length,74
0,775,episode_reward,-433.975264
0,775,episode_length,164
0,776,episode_reward,-740.581915
0,776,episode_length,180
0,782,episode_reward,-557.988935
0,782,episode_length,161
0,787,episode_reward,-467.681057
0,787,episode_length,101
0,790,episode_reward,-383.612703
0,790,episode_length,90
0,811,episode_reward,-281.466505
0,811,episode_length,149
0,815,episode_reward,-337.067184
0,815,episode_length,205
0,825,episode_reward,-199.94895
0,825,episode_length,147
0,825,episode_reward,-451.837846
0,825,episode_length,250
0,827,episode_reward,-498.316267
0,827,episode_length,76
0,827,episode_reward,-599.935433
0,827,episode_length,95
0,827,episode_reward,-771.712941
0,827,episode_length,148
0,828,episode_reward,-186.909673
0,828,episode_length,104
0,837,episode_reward,-334.841804
0,837,episode_length,143
0,838,episode_reward,-232.020802
0,838,episode_length,216
0,840,episode_reward,-232.047907
0,840,episode_length,147
0,843,episode_reward,-720.072674
0,843,episode_length,139
0,847,episode_reward,-266.812621
0,847,episode_length,190
0,852,episode_reward,-573.757109
