round,step,metric,value
1,63,episode_reward,-373.722697
1,63,episode_length,63
1,64,episode_reward,-329.450356
1,64,episode_length,64
1,67,episode_reward,-121.449765
1,67,episode_length,67
1,67,episode_reward,-134.322645
1,67,episode_length,67
1,68,episode_reward,-94.255169
1,68,episode_length,68
1,70,episode_reward,-141.842324
1,70,episode_length,70
1,70,episode_reward,-172.470868
1,70,episode_length,70
1,71,episode_reward,-12.234886
1,71,episode_length,71
1,76,episode_reward,-139.751992
1,76,episode_length,76
1,77,episode_reward,-58.28148
1,77,episode_length,77
1,79,episode_reward,-623.879484
1,79,episode_length,79
1,80,episode_reward,-494.850984
1,80,episode_length,80
1,83,episode_reward,-450.781754
1,83,episode_length,83
1,85,episode_reward,-57.608313
1,85,episode_length,85
1,86,episode_reward,-431.686574
1,86,episode_length,86
1,86,episode_reward,-273.453523
1,86,episode_length,86
1,88,episode_reward,-202.124491
1,88,episode_length,88
1,89,episode_reward,-394.38115
1,89,episode_length,89
1,97,episode_reward,-132.920184
1,97,episode_length,97
1,100,episode_reward,-331.690714
1,100,episode_length,100
1,101,episode_reward,-359.264699
1,101,episode_length,101
1,108,episode_reward,-294.955038
1,108,episode_length,108
1,109,episode_reward,-438.831006
1,109,episode_length,109
1,111,episode_reward,-506.531024
1,111,episode_length,111
1,113,episode_reward,-277.181132
1,113,episode_length,113
1,115,episode_reward,-97.464381
1,115,episode_length,115
1,122,episode_reward,-139.904628
1,122,episode_length,122
1,123,episode_reward,-130.62451
1,123,episode_length,123
1,125,episode_reward,-666.575625
1,125,episode_length,125
1,138,episode_reward,10.338296
1,138,episode_length,68
1,145,episode_reward,-4.512661
1,145,episode_length,145
1,148,episode_reward,-293.089809
1,148,episode_length,65
1,150,episode_reward,-413.982335
1,150,episode_length,87
1,151,episode_reward,-115.403439
1,151,episode_length,84
1,156,episode_reward,-262.297212
1,156,episode_length,156
1,159,episode_reward,-212.722193
1,159,episode_length,80
1,168,episode_reward,-469.40923
1,168,episode_length,98
1,169,episode_reward,-617.311509
1,169,episode_length,89
1,169,episode_reward,-417.109043
1,169,episode_length,83
1,170,episode_reward,-137.412039
1,170,episode_length,70
1,172,episode_reward,-381.650329
1,172,episode_length,86
1,173,episode_reward,-589.667379
1,173,episode_length,88
