round,step,metric,value
0,73,episode_reward,-407.08017
0,73,episode_length,73
0,74,episode_reward,-285.869413
0,74,episode_length,74
0,92,episode_reward,-558.554913
0,92,episode_length,92
0,93,episode_reward,-352.711301
0,93,episode_length,93
0,100,episode_reward,-377.097738
0,100,episode_length,100
0,104,episode_reward,-516.222392
0,104,episode_length,104
0,108,episode_reward,-423.486664
0,108,episode_length,108
0,113,episode_reward,-429.624423
0,113,episode_length,113
0,113,episode_reward,-186.011165
0,113,episode_length,113
0,113,episode_reward,-464.978203
0,113,episode_length,113
0,125,episode_reward,-389.429351
0,125,episode_length,125
0,127,episode_reward,-662.705108
0,127,episode_length,127
0,128,episode_reward,-250.004818
0,128,episode_length,128
0,128,episode_reward,-597.746448
0,128,episode_length,128
0,130,episode_reward,-500.647754
0,130,episode_length,130
0,138,episode_reward,-247.052937
0,138,episode_length,138
0,148,episode_reward,-571.254893
0,148,episode_length,148
0,159,episode_reward,-723.624692
0,159,episode_length,159
0,160,episode_reward,-150.833501
0,160,episode_length,160
0,170,episode_reward,-444.487759
0,170,episode_length,170
0,180,episode_reward,-291.543282
0,180,episode_length,88
0,194,episode_reward,-487.431393
0,194,episode_length,94
0,200,episode_reward,-625.632268
0,200,episode_length,200
0,200,episode_reward,-769.989868
0,200,episode_length,200
0,212,episode_reward,-756.836143
0,212,episode_length,212
0,220,episode_reward,-931.989073
0,220,episode_length,220
0,224,episode_reward,-472.770045
0,224,episode_length,120
0,228,episode_reward,-402.285144
0,228,episode_length,155
0,229,episode_reward,-445.914164
0,229,episode_length,102
0,231,episode_reward,-902.091981
0,231,episode_length,231
0,238,episode_reward,-351.908486
0,238,episode_length,238
0,247,episode_reward,-636.434145
0,247,episode_length,247
0,251,episode_reward,-230.039104
0,251,episode_length,123
0,257,episode_reward,-836.659475
0,257,episode_length,257
0,260,episode_reward,-714.492694
0,260,episode_length,112
0,261,episode_reward,-455.775586
0,261,episode_length,102
0,264,episode_reward,-445.963698
0,264,episode_length,190
0,268,episode_reward,-756.093227
0,268,episode_length,155
0,277,episode_reward,-892.71381
0,277,episode_length,277
0,278,episode_reward,-672.899343
0,278,episode_length,185
0,279,episode_reward,-549.219367
0,279,episode_length,149
0,280,episode_reward,-522.041463
0,280,episode_length,167
0,282,episode_reward,-189.319788
0,282,episode_length,122
0,284,episode_reward,-795.422843
0,284,episode_length,146
0,286,episode_reward,-622.932593
0,286,episode_length,178
0,311,episode_reward,-452.015785
0,311,episode_length,83
0,317,episode_reward,-580.248298
0,317,episode_length,97
0,318,episode_reward,-693.54523
0,318,episode_length,205
0,321,episode_reward,-716.015179
0,321,episode_length,321
0,322,episode_reward,-356.462001
0,322,episode_length,122
0,330,episode_reward,-684.826568
0,330,episode_length,101
0,334,episode_reward,-754.590174
0,334,episode_length,334
0,339,episode_reward,-539.098751
0,339,episode_length,101
0,343,episode_reward,-302.974368
0,343,episode_length,112
0,355,episode_reward,-382.836334
0,355,episode_length,104
0,359,episode_reward,-477.768431
0,359,episode_length,98
0,360,episode_reward,-413.920095
0,360,episode_length,190
0,362,episode_reward,-561.258336
0,362,episode_length,234
0,366,episode_reward,-677.929452
0,366,episode_length,109
0,373,episode_reward,-356.447191
0,373,episode_length,95
0,378,episode_reward,-316.63264
0,378,episode_length,101
0,387,episode_reward,-366.667841
0,387,episode_length,127
0,395,episode_reward,-286.384334
0,395,episode_length,171
0,397,episode_reward,-569.228816
0,397,episode_length,80
0,399,episode_reward,-643.717695
0,399,episode_length,399
0,404,episode_reward,-419.051774
0,404,episode_length,122
0,406,episode_reward,-484.426132
0,406,episode_length,138
0,412,episode_reward,-445.897249
0,412,episode_length,101
0,417,episode_reward,-181.252968
0,417,episode_length,153
0,424,episode_reward,-625.6971
0,424,episode_length,138
0,425,episode_reward,-311.488389
0,425,episode_length,231
0,427,episode_reward,-515.470324
0,427,episode_length,180
0,428,episode_reward,-484.87326
0,428,episode_length,73
0,430,episode_reward,-347.985048
0,430,episode_length,150
0,435,episode_reward,-453.319421
0,435,episode_length,92
0,442,episode_reward,-331.816638
0,442,episode_length,317
0,450,episode_reward,-312.866414
0,450,episode_length,132
0,453,episode_reward,-320.65945
0,453,episode_length,80
0,459,episode_reward,-479.592765
0,459,episode_length,99
0,459,episode_reward,-1365.2884
0,459,episode_length,279
0,473,episode_reward,-459.064337
0,473,episode_length,111
0,481,episode_reward,-372.658481
0,481,episode_length,142
0,486,episode_reward,-240.301238
0,486,episode_length,274
0,492,episode_reward,-496.854652
0,492,episode_length,105
0,500,episode_reward,-352.643302
0,500,episode_length,179
0,508,episode_reward,-274.623562
0,508,episode_length,186
0,508,episode_reward,-1076.354016
0,508,episode_length,308
0,513,episode_reward,-754.025753
0,513,episode_length,234
0,517,episode_reward,-464.820722
0,517,episode_length,151
0,525,episode_reward,-423.445014
0,525,episode_length,195
0,525,episode_reward,-533.92266
0,525,episode_length,121
0,526,episode_reward,-332.635429
0,526,episode_length,101
0,527,episode_reward,-648.482387
0,527,episode_length,168
0,530,episode_reward,-411.331962
0,530,episode_length,95
0,530,episode_reward,-604.262934
0,530,episode_length,152
0,532,episode_reward,-697.116154
0,532,episode_length,248
0,534,episode_reward,-247.082633
0,534,episode_length,110
0,540,episode_reward,-738.712465
0,540,episode_length,113
0,548,episode_reward,-200.968385
0,548,episode_length,142
0,550,episode_reward,-432.190981
0,550,episode_length,155
0,553,episode_reward,-393.846678
0,553,episode_length,111
0,554,episode_reward,-326.824923
0,554,episode_length,157
0,562,episode_reward,-481.195418
0,562,episode_length,150
0,571,episode_reward,-581.025535
0,571,episode_length,172
0,573,episode_reward,-323.888853
0,573,episode_length,87
0,589,episode_reward,-294.911938
0,589,episode_length,130
0,600,episode_reward,-557.067688
0,600,episode_length,92
0,602,episode_reward,-393.798451
0,602,episode_length,185
0,607,episode_reward,-1147.648244
0,607,episode_length,273
0,613,episode_reward,-405.887228
0,613,episode_length,163
0,613,episode_reward,-514.696516
0,613,episode_length,100
0,614,episode_reward,-878.434925
0,614,episode_length,186
0,615,episode_reward,-509.205189
0,615,episode_length,98
0,615,episode_reward,-417.519593
0,615,episode_length,90
0,631,episode_reward,-497.403914
0,631,episode_length,150
0,646,episode_reward,-404.856513
0,646,episode_length,112
0,646,episode_reward,-433.994441
0,646,episode_length,146
0,650,episode_reward,-423.96427
0,650,episode_length,142
0,650,episode_reward,-549.759437
0,650,episode_length,120
0,653,episode_reward,-352.43497
0,653,episode_length,180
0,655,episode_reward,-235.605541
0,655,episode_length,202
