round,step,metric,value
0,71,episode_reward,-518.824659
0,71,episode_length,71
0,76,episode_reward,-408.450678
0,76,episode_length,76
0,78,episode_reward,-514.684248
0,78,episode_length,78
0,82,episode_reward,-191.655999
0,82,episode_length,82
0,93,episode_reward,-177.365588
0,93,episode_length,93
0,101,episode_reward,-470.49452
0,101,episode_length,101
0,107,episode_reward,-578.786548
0,107,episode_length,107
0,109,episode_reward,-367.388343
0,109,episode_length,109
0,109,episode_reward,-546.39672
0,109,episode_length,109
0,111,episode_reward,-428.898483
0,111,episode_length,111
0,112,episode_reward,-461.140567
0,112,episode_length,112
0,120,episode_reward,-373.962861
0,120,episode_length,120
0,123,episode_reward,-559.547104
0,123,episode_length,123
0,126,episode_reward,-667.609135
0,126,episode_length,126
0,128,episode_reward,-590.697747
0,128,episode_length,128
0,132,episode_reward,-502.485049
0,132,episode_length,132
0,133,episode_reward,-774.405598
0,133,episode_length,133
0,134,episode_reward,-390.526314
0,134,episode_length,134
0,137,episode_reward,-422.42897
0,137,episode_length,137
0,144,episode_reward,-611.797365
0,144,episode_length,144
0,148,episode_reward,-626.259061
0,148,episode_length,148
0,149,episode_reward,-574.758872
0,149,episode_length,149
0,156,episode_reward,-409.188627
0,156,episode_length,156
0,162,episode_reward,-545.261602
0,162,episode_length,162
0,174,episode_reward,-416.079168
0,174,episode_length,96
0,178,episode_reward,-247.555326
0,178,episode_length,178
0,179,episode_reward,-571.242481
0,179,episode_length,179
0,194,episode_reward,-549.831772
0,194,episode_length,194
0,201,episode_reward,-118.434933
0,201,episode_length,201
0,207,episode_reward,-161.352636
0,207,episode_length,131
0,210,episode_reward,-504.741109
0,210,episode_length,139
0,210,episode_reward,-406.364292
0,210,episode_length,210
0,211,episode_reward,-364.139928
0,211,episode_length,88
0,218,episode_reward,-251.261744
0,218,episode_length,92
0,220,episode_reward,-381.031906
0,220,episode_length,86
0,227,episode_reward,-1224.160752
0,227,episode_length,227
0,235,episode_reward,-368.671187
0,235,episode_length,235
0,237,episode_reward,-472.822642
0,237,episode_length,130
0,238,episode_reward,-457.45598
0,238,episode_length,126
0,242,episode_reward,-411.36138
0,242,episode_length,110
0,242,episode_reward,-211.022079
0,242,episode_length,141
0,252,episode_reward,-449.949454
0,252,episode_length,143
0,253,episode_reward,-426.412536
0,253,episode_length,253
0,262,episode_reward,-438.135938
0,262,episode_length,118
0,263,episode_reward,-490.992932
0,263,episode_length,181
0,265,episode_reward,-276.887586
0,265,episode_length,116
0,279,episode_reward,-657.613204
0,279,episode_length,117
0,290,episode_reward,-334.938479
0,290,episode_length,162
0,291,episode_reward,-157.86745
0,291,episode_length,113
0,305,episode_reward,-402.160522
0,305,episode_length,168
0,311,episode_reward,-421.146913
0,311,episode_length,137
0,312,episode_reward,-285.001323
0,312,episode_length,203
0,314,episode_reward,-399.075534
0,314,episode_length,194
0,316,episode_reward,-357.270727
0,316,episode_length,98
0,318,episode_reward,-748.553758
0,318,episode_length,170
0,318,episode_reward,-421.028622
0,318,episode_length,124
0,319,episode_reward,-435.179529
0,319,episode_length,109
0,331,episode_reward,-629.060438
0,331,episode_length,69
0,340,episode_reward,-443.543776
0,340,episode_length,88
0,342,episode_reward,-476.807874
0,342,episode_length,209
0,346,episode_reward,-510.506862
0,346,episode_length,135
0,354,episode_reward,-320.595485
0,354,episode_length,112
0,355,episode_reward,-486.916973
0,355,episode_length,176
0,362,episode_reward,-785.762287
0,362,episode_length,206
0,368,episode_reward,-407.800552
0,368,episode_length,130
0,387,episode_reward,-490.194952
0,387,episode_length,167
0,394,episode_reward,-568.79701
0,394,episode_length,83
0,398,episode_reward,-736.560112
0,398,episode_length,191
0,401,episode_reward,-456.336617
0,401,episode_length,111
0,404,episode_reward,-433.479757
0,404,episode_length,90
0,404,episode_reward,-597.141779
0,404,episode_length,177
0,416,episode_reward,-626.43297
0,416,episode_length,215
0,416,episode_reward,-480.344996
0,416,episode_length,206
0,418,episode_reward,-403.420299
0,418,episode_length,100
0,436,episode_reward,-347.150291
0,436,episode_length,171
0,437,episode_reward,-479.433451
0,437,episode_length,146
0,437,episode_reward,-1623.027467
0,437,episode_length,344
0,439,episode_reward,-546.824809
0,439,episode_length,99
0,441,episode_reward,-877.563754
0,441,episode_length,330
0,441,episode_reward,-270.679569
0,441,episode_length,110
0,445,episode_reward,-376.866788
0,445,episode_length,210
0,462,episode_reward,-421.202034
0,462,episode_length,199
0,466,episode_reward,-619.568538
0,466,episode_length,150
0,469,episode_reward,-466.933438
0,469,episode_length,127
0,474,episode_reward,-407.579544
0,474,episode_length,120
0,479,episode_reward,-186.698457
0,479,episode_length,124
0,479,episode_reward,-501.668169
0,479,episode_length,75
0,480,episode_reward,-241.622987
0,480,episode_length,86
0,483,episode_reward,-407.191877
0,483,episode_length,82
0,486,episode_reward,-436.40492
0,486,episode_length,88
0,489,episode_reward,-545.815486
0,489,episode_length,127
0,494,episode_reward,-558.485752
0,494,episode_length,76
0,497,episode_reward,-781.918288
0,497,episode_length,179
0,525,episode_reward,-446.629739
0,525,episode_length,109
0,530,episode_reward,-439.195959
0,530,episode_length,93
0,532,episode_reward,-274.459645
0,532,episode_length,220
0,534,episode_reward,-370.010729
0,534,episode_length,118
0,535,episode_reward,-406.028021
0,535,episode_length,148
0,535,episode_reward,-1080.780318
0,535,episode_length,216
0,535,episode_reward,-630.954405
0,535,episode_length,256
0,539,episode_reward,-1450.946692
0,539,episode_length,302
0,546,episode_reward,-1128.356797
0,546,episode_length,241
0,546,episode_reward,-458.973794
0,546,episode_length,304
0,549,episode_reward,-960.608182
0,549,episode_length,296
0,550,episode_reward,-453.610946
0,550,episode_length,71
0,562,episode_reward,-607.748337
0,562,episode_length,158
0,562,episode_reward,-351.79366
0,562,episode_length,100
0,565,episode_reward,-195.702339
0,565,episode_length,197
0,567,episode_reward,-341.599582
0,567,episode_length,126
0,568,episode_reward,-547.728237
0,568,episode_length,82
0,574,episode_reward,-431.044001
0,574,episode_length,91
0,576,episode_reward,-533.226046
0,576,episode_length,96
0,578,episode_reward,-366.385249
0,578,episode_length,81
0,578,episode_reward,-517.06349
0,578,episode_length,84
0,587,episode_reward,-634.67018
0,587,episode_length,108
0,589,episode_reward,-439.531739
0,589,episode_length,123
0,590,episode_reward,-398.299054
0,590,episode_length,145
0,592,episode_reward,-192.543492
0,592,episode_length,246
0,606,episode_reward,-594.232768
0,606,episode_length,132
0,609,episode_reward,-378.237595
0,609,episode_length,173
0,626,episode_reward,-755.451793
0,626,episode_length,189
0,633,episode_reward,-602.06229
0,633,episode_length,99
0,644,episode_reward,-498.025264
0,644,episode_length,114
0,656,episode_reward,-663.10366
0,656,episode_length,88
0,656,episode_reward,-269.651002
0,656,episode_length,124
0,658,episode_reward,-417.269653
0,658,episode_length,169
0,661,episode_reward,-278.689223
0,661,episode_length,122
0,663,episode_reward,-764.034401
0,663,episode_length,222
0,672,episode_reward,-263.830527
0,672,episode_length,98
0,686,episode_reward,-338.805966
0,686,episode_length,137
0,686,episode_reward,-665.176315
0,686,episode_length,110
0,687,episode_reward,-792.033366
0,687,episode_length,248
0,694,episode_reward,-318.706994
0,694,episode_length,116
0,702,episode_reward,-378.83907
0,702,episode_length,156
0,704,episode_reward,-430.698628
0,704,episode_length,154
0,708,episode_reward,-332.261545
0,708,episode_length,146
0,710,episode_reward,-428.015311
0,710,episode_length,145
0,714,episode_reward,-461.731845
0,714,episode_length,127
0,714,episode_reward,-447.32555
0,714,episode_length,245
0,727,episode_reward,-566.038464
0,727,episode_length,202
0,730,episode_reward,-438.502634
0,730,episode_length,104
0,735,episode_reward,-534.763082
0,735,episode_length,146
0,739,episode_reward,-443.515014
0,739,episode_length,106
0,744,episode_reward,-370.528351
0,744,episode_length,209
0,749,episode_reward,-471.123083
0,749,episode_length,91
0,750,episode_reward,-480.224671
0,750,episode_length,94
0,755,episode_reward,-384.447849
0,755,episode_length,188
0,756,episode_reward,-605.427192
0,756,episode_length,147
0,756,episode_reward,-520.364195
0,756,episode_length,150
0,760,episode_reward,-744.677577
0,760,episode_length,198
0,772,episode_reward,-399.170458
0,772,episode_length,100
0,777,episode_reward,-546.605579
0,777,episode_length,231
0,779,episode_reward,-238.272762
0,779,episode_length,244
0,785,episode_reward,-633.944964
0,785,episode_length,129
0,788,episode_reward,-462.449747
0,788,episode_length,125
0,793,episode_reward,-363.58284
0,793,episode_length,203
0,793,episode_reward,-423.226379
0,793,episode_length,79
0,798,episode_reward,-249.088823
0,798,episode_length,220
0,799,episode_reward,-617.384268
0,799,episode_length,105
0,800,episode_reward,-669.463213
0,800,episode_length,156
0,801,episode_reward,-522.116185
0,801,episode_length,115
0,804,episode_reward,-325.316233
0,804,episode_length,118
0,813,episode_reward,-421.555547
0,813,episode_length,109
0,814,episode_reward,-716.907566
0,814,episode_length,87
0,817,episode_reward,-528.386625
0,817,episode_length,282
0,825,episode_reward,-348.564609
0,825,episode_length,233
0,836,episode_reward,-442.025174
0,836,episode_length,92
0,843,episode_reward,-358.910077
0,843,episode_length,129
0,853,episode_reward,-256.392599
0,853,episode_length,145
0,854,episode_reward,-403.879549
0,854,episode_length,104
0,861,episode_reward,-525.930487
0,861,episode_length,106
0,870,episode_reward,-364.422063
0,870,episode_length,114
0,878,episode_reward,-513.034906
0,878,episode_length,85
0,879,episode_reward,-682.039019
0,879,episode_length,91
0,889,episode_reward,-698.245931
0,889,episode_length,140
0,892,episode_reward,-526.166063
0,892,episode_length,231
0,893,episode_reward,-693.967216
0,893,episode_length,163
0,899,episode_reward,-497.624394
0,899,episode_length,127
0,906,episode_reward,-528.102328
0,906,episode_length,121
0,908,episode_reward,-236.307629
0,908,episode_length,206
0,916,episode_reward,-489.778207
0,916,episode_length,115
0,920,episode_reward,-352.316066
0,920,episode_length,141
0,921,episode_reward,-367.369604
0,921,episode_length,108
0,922,episode_reward,-572.098449
0,922,episode_length,183
0,932,episode_reward,-694.304477
0,932,episode_length,245
0,938,episode_reward,-570.637439
0,938,episode_length,95
0,946,episode_reward,-198.819557
0,946,episode_length,146
0,958,episode_reward,-509.405639
0,958,episode_length,202
0,962,episode_reward,-311.631931
0,962,episode_length,158
0,964,episode_reward,-503.000019
0,964,episode_length,254
0,964,episode_reward,-356.027505
0,964,episode_length,150
0,967,episode_reward,-463.636271
0,967,episode_length,232
0,968,episode_reward,-269.935106
0,968,episode_length,169
0,974,episode_reward,-321.811937
0,974,episode_length,104
0,977,episode_reward,-601.525099
0,977,episode_length,200
0,987,episode_reward,-367.763089
0,987,episode_length,189
0,1007,episode_reward,-350.264948
0,1007,episode_length,153
0,1012,episode_reward,-617.346058
0,1012,episode_length,80
0,1015,episode_reward,-434.543118
0,1015,episode_length,116
0,1020,episode_reward,-728.89087
0,1020,episode_length,141
0,1024,episode_reward,-1189.516446
0,1024,episode_length,207
0,1030,episode_reward,-582.805049
0,1030,episode_length,137
0,1033,episode_reward,-73.20299
0,1033,episode_length,95
0,1035,episode_reward,-418.282938
0,1035,episode_length,119
0,1037,episode_reward,-443.608277
0,1037,episode_length,73
0,1038,episode_reward,-1057.617271
0,1038,episode_length,245
0,1042,episode_reward,-655.570743
0,1042,episode_length,206
0,1044,episode_reward,-609.587099
0,1044,episode_length,183
0,1053,episode_reward,-477.57166
0,1053,episode_length,164
0,1053,episode_reward,-489.127768
0,1053,episode_length,147
0,1069,episode_reward,-498.835229
0,1069,episode_length,309
0,1077,episode_reward,-750.959749
0,1077,episode_length,156
0,1079,episode_reward,-448.577613
0,1079,episode_length,159
0,1081,episode_reward,-316.027216
0,1081,episode_length,123
0,1086,episode_reward,-843.527517
0,1086,episode_length,140
0,1088,episode_reward,-218.880676
0,1088,episode_length,126
0,1109,episode_reward,-1085.940447
0,1109,episode_length,256
0,1109,episode_reward,-759.871207
0,1109,episode_length,135
0,1111,episode_reward,-371.847011
0,1111,episode_length,147
0,1120,episode_reward,-572.455127
0,1120,episode_length,198
0,1122,episode_reward,-560.731063
0,1122,episode_length,155
0,1122,episode_reward,-624.324699
0,1122,episode_length,154
0,1127,episode_reward,-502.41853
0,1127,episode_length,97
0,1127,episode_reward,-597.404591
0,1127,episode_length,249
0,1132,episode_reward,-550.322875
0,1132,episode_length,94
0,1135,episode_reward,-615.63691
0,1135,episode_length,227
0,1144,episode_reward,-668.382919
0,1144,episode_length,319
0,1150,episode_reward,-725.388684
0,1150,episode_length,130
0,1155,episode_reward,-561.00694
0,1155,episode_length,102
0,1166,episode_reward,-427.18862
0,1166,episode_length,129
0,1168,episode_reward,-342.110029
0,1168,episode_length,99
0,1174,episode_reward,-463.425582
0,1174,episode_length,162
0,1180,episode_reward,-537.726976
0,1180,episode_length,203
0,1182,episode_reward,-584.685333
0,1182,episode_length,96
0,1190,episode_reward,-860.324606
0,1190,episode_length,203
0,1190,episode_reward,-560.059781
0,1190,episode_length,146
0,1200,episode_reward,-385.797728
0,1200,episode_length,147
0,1204,episode_reward,-511.296594
0,1204,episode_length,72
0,1215,episode_reward,-347.188514
0,1215,episode_length,191
0,1219,episode_reward,-190.003912
0,1219,episode_length,99
0,1222,episode_reward,-523.612847
0,1222,episode_length,180
0,1226,episode_reward,-439.740389
0,1226,episode_length,117
0,1228,episode_reward,-579.316569
0,1228,episode_length,101
0,1232,episode_reward,-727.922072
0,1232,episode_length,225
0,1236,episode_reward,-656.785253
0,1236,episode_length,114
0,1242,episode_reward,-282.135684
0,1242,episode_length,115
0,1252,episode_reward,-736.882436
0,1252,episode_length,175
0,1256,episode_reward,-423.090409
0,1256,episode_length,82
0,1257,episode_reward,-404.72112
0,1257,episode_length,102
0,1272,episode_reward,-251.962131
0,1272,episode_length,128
0,1278,episode_reward,-519.943264
0,1278,episode_length,156
0,1280,episode_reward,-387.38664
0,1280,episode_length,145
0,1280,episode_reward,-535.21431
0,1280,episode_length,100
0,1282,episode_reward,-1100.783531
0,1282,episode_length,201
0,1294,episode_reward,-327.244146
0,1294,episode_length,104
0,1297,episode_reward,-634.708615
0,1297,episode_length,262
0,1297,episode_reward,-578.644675
0,1297,episode_length,78
0,1300,episode_reward,-429.266135
0,1300,episode_length,285
0,1308,episode_reward,-372.466641
0,1308,episode_length,93
0,1308,episode_reward,-648.237894
0,1308,episode_length,108
0,1319,episode_reward,-726.496264
0,1319,episode_length,153
0,1323,episode_reward,-960.76532
0,1323,episode_length,235
0,1328,episode_reward,-367.064485
0,1328,episode_length,138
0,1334,episode_reward,-636.487054
0,1334,episode_length,166
0,1337,episode_reward,-1247.011615
0,1337,episode_length,226
0,1340,episode_reward,-1081.106529
0,1340,episode_length,448
0,1341,episode_reward,-390.33691
0,1341,episode_length,137
0,1341,episode_reward,-467.593339
0,1341,episode_length,109
0,1343,episode_reward,-696.879737
0,1343,episode_length,161
0,1361,episode_reward,-377.301332
0,1361,episode_length,81
0,1366,episode_reward,-289.000745
0,1366,episode_length,124
0,1366,episode_reward,-530.988338
0,1366,episode_length,88
0,1367,episode_reward,-642.231707
0,1367,episode_length,288
0,1370,episode_reward,-612.396019
0,1370,episode_length,134
0,1370,episode_reward,-278.869377
0,1370,episode_length,261
0,1371,episode_reward,-336.054894
0,1371,episode_length,145
0,1377,episode_reward,-547.347875
0,1377,episode_length,125
0,1379,episode_reward,-152.278401
0,1379,episode_length,151
0,1380,episode_reward,-363.11286
0,1380,episode_length,108
0,1381,episode_reward,-648.765551
0,1381,episode_length,125
0,1388,episode_reward,-708.73486
0,1388,episode_length,355
0,1388,episode_reward,-642.053389
0,1388,episode_length,131
0,1395,episode_reward,-516.771968
0,1395,episode_length,95
0,1402,episode_reward,-520.933244
0,1402,episode_length,74
0,1415,episode_reward,-423.2296
0,1415,episode_length,118
0,1415,episode_reward,-527.300869
0,1415,episode_length,96
0,1427,episode_reward,-198.814049
0,1427,episode_length,130
0,1430,episode_reward,-514.468856
0,1430,episode_length,122
0,1434,episode_reward,-500.293078
0,1434,episode_length,100
0,1437,episode_reward,-502.324288
0,1437,episode_length,129
0,1438,episode_reward,-509.529869
0,1438,episode_length,115
0,1447,episode_reward,-552.919587
0,1447,episode_length,165
0,1447,episode_reward,-375.465755
0,1447,episode_length,107
0,1455,episode_reward,-232.203141
0,1455,episode_length,89
0,1456,episode_reward,-418.013012
0,1456,episode_length,119
0,1460,episode_reward,-590.450507
0,1460,episode_length,117
0,1462,episode_reward,-223.840499
0,1462,episode_length,168
0,1473,episode_reward,-142.477425
0,1473,episode_length,94
0,1474,episode_reward,-512.842582
0,1474,episode_length,133
0,1477,episode_reward,-260.363135
0,1477,episode_length,96
0,1480,episode_reward,-525.323888
0,1480,episode_length,100
0,1480,episode_reward,-418.757724
0,1480,episode_length,78
0,1483,episode_reward,-297.78444
0,1483,episode_length,261
0,1486,episode_reward,-540.33159
0,1486,episode_length,119
0,1487,episode_reward,-431.251406
0,1487,episode_length,110
0,1490,episode_reward,-288.260392
0,1490,episode_length,124
0,1495,episode_reward,-344.427907
0,1495,episode_length,100
0,1497,episode_reward,-531.183306
0,1497,episode_length,127
0,1507,episode_reward,-391.344901
0,1507,episode_length,80
0,1507,episode_reward,-315.177024
0,1507,episode_length,119
0,1518,episode_reward,-327.169638
0,1518,episode_length,147
0,1519,episode_reward,-525.526499
0,1519,episode_length,104
0,1520,episode_reward,-261.891911
0,1520,episode_length,105
0,1524,episode_reward,-378.831799
0,1524,episode_length,87
0,1541,episode_reward,-419.25889
0,1541,episode_length,94
0,1547,episode_reward,-157.535735
0,1547,episode_length,100
0,1562,episode_reward,-502.999581
0,1562,episode_length,192
0,1562,episode_reward,-220.634159
0,1562,episode_length,132
0,1564,episode_reward,-604.234638
0,1564,episode_length,78
0,1569,episode_reward,-373.650598
0,1569,episode_length,135
0,1569,episode_reward,-610.547737
0,1569,episode_length,419
0,1574,episode_reward,-498.818729
0,1574,episode_length,119
0,1580,episode_reward,-364.378072
0,1580,episode_length,100
0,1584,episode_reward,-407.148969
