round,step,metric,value
0,59,episode_reward,-209.978661
0,59,episode_length,59
0,61,episode_reward,-108.762021
0,61,episode_length,61
0,62,episode_reward,-87.796979
0,62,episode_length,62
0,63,episode_reward,-364.32471
0,63,episode_length,63
0,65,episode_reward,-150.666587
0,65,episode_length,65
0,66,episode_reward,-103.243456
0,66,episode_length,66
0,70,episode_reward,-115.699744
0,70,episode_length,70
0,70,episode_reward,-113.82438
0,70,episode_length,70
0,74,episode_reward,-462.675455
0,74,episode_length,74
0,75,episode_reward,-218.440285
0,75,episode_length,75
0,75,episode_reward,-226.464609
0,75,episode_length,75
0,77,episode_reward,-140.246833
0,77,episode_length,77
0,79,episode_reward,-396.761231
0,79,episode_length,79
0,79,episode_reward,-192.764316
0,79,episode_length,79
0,80,episode_reward,-235.027434
0,80,episode_length,80
0,80,episode_reward,-185.521744
0,80,episode_length,80
0,82,episode_reward,-342.517942
0,82,episode_length,82
0,83,episode_reward,-491.451863
0,83,episode_length,83
0,83,episode_reward,-421.179917
0,83,episode_length,83
0,83,episode_reward,-326.765713
0,83,episode_length,83
0,83,episode_reward,-557.380984
0,83,episode_length,83
0,88,episode_reward,-298.40155
0,88,episode_length,88
0,89,episode_reward,-299.809805
0,89,episode_length,89
0,90,episode_reward,-451.247796
0,90,episode_length,90
0,92,episode_reward,-174.664773
0,92,episode_length,92
0,94,episode_reward,-282.472394
0,94,episode_length,94
0,94,episode_reward,-368.260966
0,94,episode_length,94
0,104,episode_reward,-83.476013
0,104,episode_length,104
0,105,episode_reward,-350.745176
0,105,episode_length,105
0,117,episode_reward,-189.262982
0,117,episode_length,117
0,128,episode_reward,-178.168005
0,128,episode_length,66
0,133,episode_reward,-411.967305
0,133,episode_length,133
0,133,episode_reward,-118.855307
0,133,episode_length,133
0,136,episode_reward,-237.217783
0,136,episode_length,61
0,140,episode_reward,-74.318762
0,140,episode_length,74
0,146,episode_reward,-192.785595
0,146,episode_length,63
0,150,episode_reward,-123.420068
0,150,episode_length,75
