round,step,metric,value
1,84,episode_reward,-453.41834
1,84,episode_length,84
1,87,episode_reward,-496.40271
1,87,episode_length,87
1,88,episode_reward,-418.122113
1,88,episode_length,88
1,90,episode_reward,-572.994798
1,90,episode_length,90
1,94,episode_reward,-607.210098
1,94,episode_length,94
1,102,episode_reward,-440.365469
1,102,episode_length,102
1,102,episode_reward,-508.073803
1,102,episode_length,102
1,113,episode_reward,-589.981536
1,113,episode_length,113
1,116,episode_reward,-509.725973
1,116,episode_length,116
1,116,episode_reward,-170.405076
1,116,episode_length,116
1,124,episode_reward,-549.552007
1,124,episode_length,124
1,125,episode_reward,-631.987234
1,125,episode_length,125
1,126,episode_reward,-342.026806
1,126,episode_length,126
1,132,episode_reward,-512.549502
1,132,episode_length,132
1,133,episode_reward,-349.513543
1,133,episode_length,133
1,135,episode_reward,-694.91617
1,135,episode_length,135
1,136,episode_reward,-520.154425
1,136,episode_length,136
1,139,episode_reward,-481.780535
1,139,episode_length,139
1,140,episode_reward,-710.409108
1,140,episode_length,140
1,141,episode_reward,-521.795023
1,141,episode_length,141
1,152,episode_reward,-630.429878
1,152,episode_length,152
1,179,episode_reward,-458.730767
1,179,episode_length,179
1,189,episode_reward,-683.54955
1,189,episode_length,189
1,189,episode_reward,-658.302089
1,189,episode_length,189
1,190,episode_reward,-505.91839
1,190,episode_length,190
1,201,episode_reward,-657.621805
1,201,episode_length,113
1,207,episode_reward,-374.708463
1,207,episode_length,123
1,210,episode_reward,-398.814036
1,210,episode_length,94
1,215,episode_reward,-478.370857
1,215,episode_length,215
1,219,episode_reward,-1088.982052
1,219,episode_length,219
1,228,episode_reward,-614.301095
1,228,episode_length,138
1,252,episode_reward,-528.822006
1,252,episode_length,111
1,254,episode_reward,-486.241083
1,254,episode_length,130
1,263,episode_reward,-372.52806
1,263,episode_length,263
1,276,episode_reward,-1135.009815
1,276,episode_length,276
1,277,episode_reward,-435.408412
1,277,episode_length,145
1,287,episode_reward,-497.097074
1,287,episode_length,108
1,291,episode_reward,-628.627812
1,291,episode_length,84
1,297,episode_reward,-643.473608
1,297,episode_length,162
1,301,episode_reward,-477.022468
1,301,episode_length,214
1,306,episode_reward,-548.267104
1,306,episode_length,105
1,306,episode_reward,-712.097692
1,306,episode_length,117
1,319,episode_reward,-707.744196
1,319,episode_length,225
1,319,episode_reward,-432.369229
1,319,episode_length,130
1,319,episode_reward,-473.659739
1,319,episode_length,186
1,335,episode_reward,-326.462213
1,335,episode_length,83
1,346,episode_reward,-391.274648
1,346,episode_length,210
1,354,episode_reward,-453.608116
1,354,episode_length,229
1,360,episode_reward,-528.882404
1,360,episode_length,132
1,370,episode_reward,-521.351263
1,370,episode_length,155
1,374,episode_reward,-528.72926
1,374,episode_length,164
1,388,episode_reward,-1264.807001
1,388,episode_length,286
1,392,episode_reward,-814.51483
1,392,episode_length,392
1,404,episode_reward,-807.722712
1,404,episode_length,404
1,405,episode_reward,-356.120875
1,405,episode_length,128
1,406,episode_reward,-592.847643
1,406,episode_length,304
1,411,episode_reward,-495.492559
1,411,episode_length,92
1,419,episode_reward,-568.97747
1,419,episode_length,165
1,420,episode_reward,-455.686835
1,420,episode_length,157
1,434,episode_reward,-879.008874
1,434,episode_length,434
1,442,episode_reward,-418.269405
1,442,episode_length,290
1,448,episode_reward,-430.682501
1,448,episode_length,142
1,450,episode_reward,-292.526288
1,450,episode_length,163
1,455,episode_reward,-339.287907
1,455,episode_length,120
1,459,episode_reward,-368.099771
1,459,episode_length,320
1,466,episode_reward,-530.23237
1,466,episode_length,350
1,466,episode_reward,-235.744315
1,466,episode_length,106
1,483,episode_reward,-160.18202
1,483,episode_length,370
1,488,episode_reward,-1308.788516
1,488,episode_length,362
1,495,episode_reward,-693.524272
1,495,episode_length,189
1,503,episode_reward,-772.936118
1,503,episode_length,313
1,506,episode_reward,-605.503808
1,506,episode_length,102
1,507,episode_reward,-537.184289
1,507,episode_length,188
1,508,episode_reward,-654.572462
1,508,episode_length,211
1,514,episode_reward,-506.578353
1,514,episode_length,126
1,522,episode_reward,-1215.36493
1,522,episode_length,303
1,524,episode_reward,-710.351536
1,524,episode_length,205
1,529,episode_reward,-342.251389
1,529,episode_length,228
1,530,episode_reward,-391.840426
1,530,episode_length,111
1,535,episode_reward,-603.471728
1,535,episode_length,80
1,541,episode_reward,-548.886283
1,541,episode_length,167
1,548,episode_reward,-997.347699
1,548,episode_length,272
1,549,episode_reward,-727.613975
1,549,episode_length,157
1,556,episode_reward,-326.283363
1,556,episode_length,106
1,557,episode_reward,-583.709419
1,557,episode_length,151
1,557,episode_reward,-918.830008
1,557,episode_length,187
1,563,episode_reward,-656.213171
1,563,episode_length,97
1,565,episode_reward,-488.583996
1,565,episode_length,117
1,571,episode_reward,-449.146275
1,571,episode_length,88
1,586,episode_reward,-399.283641
1,586,episode_length,83
1,594,episode_reward,-717.144064
1,594,episode_length,99
1,611,episode_reward,-535.769739
1,611,episode_length,103
1,616,episode_reward,-428.394397
1,616,episode_length,174
1,623,episode_reward,-560.632483
1,623,episode_length,164
1,626,episode_reward,-660.100337
1,626,episode_length,119
1,627,episode_reward,-273.639673
1,627,episode_length,98
1,627,episode_reward,-727.960795
1,627,episode_length,161
1,641,episode_reward,-1008.812541
1,641,episode_length,236
1,648,episode_reward,-2360.911536
1,648,episode_length,508
