round,step,metric,value
2,80,episode_reward,-508.563873
2,80,episode_length,80
2,87,episode_reward,-563.406405
2,87,episode_length,87
2,111,episode_reward,-525.784389
2,111,episode_length,111
2,115,episode_reward,-503.583167
2,115,episode_length,115
2,115,episode_reward,-615.464107
2,115,episode_length,115
2,120,episode_reward,-578.106089
2,120,episode_length,120
2,125,episode_reward,-332.388438
2,125,episode_length,125
2,128,episode_reward,-551.508407
2,128,episode_length,128
2,137,episode_reward,-582.28356
2,137,episode_length,137
2,137,episode_reward,-300.615281
2,137,episode_length,137
2,141,episode_reward,-423.531389
2,141,episode_length,141
2,142,episode_reward,-443.86296
2,142,episode_length,142
2,147,episode_reward,-411.17473
2,147,episode_length,147
2,149,episode_reward,-504.274944
2,149,episode_length,149
2,152,episode_reward,-562.14733
2,152,episode_length,152
2,152,episode_reward,-748.415426
2,152,episode_length,152
2,155,episode_reward,-350.992624
2,155,episode_length,155
2,162,episode_reward,-472.452827
2,162,episode_length,162
2,178,episode_reward,-556.789936
2,178,episode_length,178
2,184,episode_reward,-377.146766
2,184,episode_length,184
2,187,episode_reward,-626.244021
2,187,episode_length,187
2,187,episode_reward,-712.177587
2,187,episode_length,187
2,189,episode_reward,-521.726845
2,189,episode_length,109
2,195,episode_reward,-600.289457
2,195,episode_length,84
2,205,episode_reward,-539.997856
2,205,episode_length,118
2,218,episode_reward,-485.955549
2,218,episode_length,218
2,228,episode_reward,-642.711622
2,228,episode_length,228
2,230,episode_reward,-596.463987
2,230,episode_length,230
2,233,episode_reward,-366.359345
2,233,episode_length,108
2,234,episode_reward,-572.238427
2,234,episode_length,106
2,254,episode_reward,-322.05203
2,254,episode_length,99
2,256,episode_reward,-679.919325
2,256,episode_length,109
2,282,episode_reward,-238.719941
2,282,episode_length,133
2,295,episode_reward,-1144.841182
2,295,episode_length,295
2,300,episode_reward,-1239.604339
2,300,episode_length,300
2,301,episode_reward,-288.959326
2,301,episode_length,117
2,302,episode_reward,-776.801712
2,302,episode_length,302
2,307,episode_reward,-1017.929274
2,307,episode_length,307
2,308,episode_reward,-473.464384
2,308,episode_length,308
2,316,episode_reward,-854.644911
2,316,episode_length,196
2,317,episode_reward,-983.514479
2,317,episode_length,317
2,325,episode_reward,-588.103677
2,325,episode_length,183
2,335,episode_reward,-853.750179
2,335,episode_length,198
2,339,episode_reward,-760.962723
2,339,episode_length,224
2,347,episode_reward,-536.436916
2,347,episode_length,129
2,348,episode_reward,-481.282343
2,348,episode_length,94
2,349,episode_reward,-462.705894
2,349,episode_length,187
2,364,episode_reward,-541.057839
2,364,episode_length,169
2,368,episode_reward,-745.931218
2,368,episode_length,140
2,383,episode_reward,-732.29925
2,383,episode_length,242
2,384,episode_reward,-408.643376
2,384,episode_length,150
2,394,episode_reward,-373.515238
2,394,episode_length,93
2,397,episode_reward,-1100.577552
2,397,episode_length,245
2,400,episode_reward,-347.859207
2,400,episode_length,170
2,409,episode_reward,-264.817398
2,409,episode_length,92
2,409,episode_reward,-471.735092
2,409,episode_length,107
2,413,episode_reward,-156.524652
2,413,episode_length,118
2,418,episode_reward,-601.438371
2,418,episode_length,266
2,424,episode_reward,-452.43828
2,424,episode_length,237
2,426,episode_reward,-659.163107
2,426,episode_length,221
2,450,episode_reward,-476.293241
2,450,episode_length,86
2,452,episode_reward,-359.798974
2,452,episode_length,219
2,460,episode_reward,-355.878115
2,460,episode_length,345
2,475,episode_reward,-626.937364
2,475,episode_length,150
2,480,episode_reward,-872.10264
2,480,episode_length,302
2,489,episode_reward,-1609.113134
2,489,episode_length,489
2,490,episode_reward,-559.973918
2,490,episode_length,182
2,500,episode_reward,-1248.668937
2,500,episode_length,311
2,504,episode_reward,-596.469746
2,504,episode_length,121
2,505,episode_reward,-522.232534
2,505,episode_length,157
2,513,episode_reward,-410.067885
2,513,episode_length,104
2,520,episode_reward,-337.290445
2,520,episode_length,126
2,521,episode_reward,-480.288655
2,521,episode_length,121
2,530,episode_reward,-1020.15111
2,530,episode_length,393
2,533,episode_reward,-683.913434
2,533,episode_length,120
2,537,episode_reward,-961.587899
2,537,episode_length,237
2,539,episode_reward,-732.127637
2,539,episode_length,190
2,549,episode_reward,-453.042617
2,549,episode_length,131
2,550,episode_reward,-245.754568
2,550,episode_length,126
2,558,episode_reward,-455.722458
2,558,episode_length,276
2,574,episode_reward,-1165.302495
2,574,episode_length,258
2,578,episode_reward,-572.920731
2,578,episode_length,152
2,595,episode_reward,-527.73861
2,595,episode_length,408
2,596,episode_reward,-274.546085
2,596,episode_length,106
2,597,episode_reward,-616.181575
2,597,episode_length,341
2,599,episode_reward,-547.023767
2,599,episode_length,264
2,614,episode_reward,-271.965343
2,614,episode_length,110
2,616,episode_reward,-756.925674
2,616,episode_length,219
2,624,episode_reward,-511.69708
2,624,episode_length,85
2,625,episode_reward,-783.772888
2,625,episode_length,318
2,626,episode_reward,-1119.743057
2,626,episode_length,287
2,646,episode_reward,-559.016211
2,646,episode_length,116
2,647,episode_reward,-403.016291
2,647,episode_length,97
2,648,episode_reward,-653.815404
2,648,episode_length,159
