round,step,metric,value
0,91,episode_reward,-514.095706
0,91,episode_length,91
0,92,episode_reward,-548.285806
0,92,episode_length,92
0,93,episode_reward,-470.22577
0,93,episode_length,93
0,99,episode_reward,-461.12801
0,99,episode_length,99
0,103,episode_reward,-241.254804
0,103,episode_length,103
0,105,episode_reward,-370.689361
0,105,episode_length,105
0,110,episode_reward,-134.17774
0,110,episode_length,110
0,111,episode_reward,-520.624574
0,111,episode_length,111
0,119,episode_reward,-497.47955
0,119,episode_length,119
0,121,episode_reward,-356.592721
0,121,episode_length,121
0,124,episode_reward,-707.51389
0,124,episode_length,124
0,128,episode_reward,-726.955833
0,128,episode_length,128
0,128,episode_reward,-437.023859
0,128,episode_length,128
0,128,episode_reward,-428.800652
0,128,episode_length,128
0,130,episode_reward,-532.686915
0,130,episode_length,130
0,136,episode_reward,-271.179924
0,136,episode_length,136
0,137,episode_reward,-586.794673
0,137,episode_length,137
0,146,episode_reward,-512.177495
0,146,episode_length,146
0,162,episode_reward,-385.63891
0,162,episode_length,162
0,163,episode_reward,-526.653291
0,163,episode_length,163
0,167,episode_reward,-489.018338
0,167,episode_length,167
0,172,episode_reward,-353.081181
0,172,episode_length,172
0,183,episode_reward,-545.618759
0,183,episode_length,183
0,188,episode_reward,-653.549371
0,188,episode_length,188
0,196,episode_reward,-220.701269
0,196,episode_length,104
0,205,episode_reward,-616.412224
0,205,episode_length,205
0,208,episode_reward,-181.944697
0,208,episode_length,115
0,208,episode_reward,-480.136811
0,208,episode_length,208
0,210,episode_reward,-648.465232
0,210,episode_length,210
0,220,episode_reward,-610.574983
0,220,episode_length,117
0,220,episode_reward,-431.835935
0,220,episode_length,220
0,221,episode_reward,-778.087708
0,221,episode_length,221
0,231,episode_reward,-615.10894
0,231,episode_length,231
0,232,episode_reward,-650.068128
0,232,episode_length,232
0,233,episode_reward,-502.241533
0,233,episode_length,134
0,234,episode_reward,-604.731012
0,234,episode_length,115
0,238,episode_reward,-537.354306
0,238,episode_length,110
0,246,episode_reward,-734.777811
0,246,episode_length,118
0,247,episode_reward,-553.44095
0,247,episode_length,117
0,249,episode_reward,-435.330083
0,249,episode_length,125
0,252,episode_reward,-367.536695
0,252,episode_length,106
0,256,episode_reward,-475.253401
0,256,episode_length,128
