round,step,metric,value
0,61,episode_reward,-87.674547
0,61,episode_length,61
0,62,episode_reward,-104.619526
0,62,episode_length,62
0,67,episode_reward,-275.62026
0,67,episode_length,67
0,71,episode_reward,-220.838532
0,71,episode_length,71
0,72,episode_reward,-88.949535
0,72,episode_length,72
0,73,episode_reward,-203.20755
0,73,episode_length,73
0,76,episode_reward,-193.575696
0,76,episode_length,76
0,76,episode_reward,-188.267483
0,76,episode_length,76
0,77,episode_reward,-82.121883
0,77,episode_length,77
0,80,episode_reward,-172.80625
0,80,episode_length,80
0,80,episode_reward,-43.347674
0,80,episode_length,80
0,84,episode_reward,-513.413712
0,84,episode_length,84
0,85,episode_reward,-335.900451
0,85,episode_length,85
0,87,episode_reward,-499.664707
0,87,episode_length,87
0,90,episode_reward,-204.224783
0,90,episode_length,90
0,93,episode_reward,-444.219994
0,93,episode_length,93
0,95,episode_reward,-368.258051
0,95,episode_length,95
0,96,episode_reward,-320.281574
0,96,episode_length,96
0,97,episode_reward,-507.891473
0,97,episode_length,97
0,101,episode_reward,-263.562077
0,101,episode_length,101
0,102,episode_reward,-244.794341
0,102,episode_length,102
0,102,episode_reward,-646.627214
0,102,episode_length,102
0,103,episode_reward,-535.557396
0,103,episode_length,103
0,104,episode_reward,-488.388029
0,104,episode_length,104
0,106,episode_reward,-153.590478
0,106,episode_length,106
0,109,episode_reward,-405.408677
0,109,episode_length,109
0,110,episode_reward,-411.868821
0,110,episode_length,110
0,110,episode_reward,-464.987793
0,110,episode_length,110
0,111,episode_reward,-407.668633
0,111,episode_length,111
0,116,episode_reward,-655.600198
0,116,episode_length,116
0,116,episode_reward,-185.755058
0,116,episode_length,116
0,128,episode_reward,-158.731075
0,128,episode_length,128
0,139,episode_reward,-172.749295
0,139,episode_length,77
0,142,episode_reward,-403.147012
0,142,episode_length,75
0,151,episode_reward,-195.321865
0,151,episode_length,74
0,153,episode_reward,-377.106769
0,153,episode_length,73
0,155,episode_reward,-346.162968
0,155,episode_length,79
0,160,episode_reward,-109.676993
0,160,episode_length,70
0,162,episode_reward,-96.432764
0,162,episode_length,69
0,163,episode_reward,-194.595858
0,163,episode_length,57
0,164,episode_reward,-524.725004
0,164,episode_length,84
0,167,episode_reward,-290.862961
0,167,episode_length,65
0,168,episode_reward,-144.49939
0,168,episode_length,84
0,169,episode_reward,-322.21958
0,169,episode_length,82
0,169,episode_reward,-120.880327
0,169,episode_length,93
0,170,episode_reward,-227.655483
0,170,episode_length,68
0,173,episode_reward,-103.133623
0,173,episode_length,69
0,173,episode_reward,-286.340176
0,173,episode_length,112
0,174,episode_reward,-275.223585
0,174,episode_length,103
0,177,episode_reward,-187.621391
0,177,episode_length,82
0,179,episode_reward,-374.281951
0,179,episode_length,69
0,180,episode_reward,-120.144725
0,180,episode_length,108
0,180,episode_reward,-231.32983
0,180,episode_length,83
0,184,episode_reward,-547.104549
0,184,episode_length,83
0,184,episode_reward,-471.498897
0,184,episode_length,74
