round,step,metric,value
0,88,episode_reward,-665.182997
0,88,episode_length,88
0,91,episode_reward,-464.044115
0,91,episode_length,91
0,92,episode_reward,-525.026329
0,92,episode_length,92
0,96,episode_reward,-480.530441
0,96,episode_length,96
0,99,episode_reward,-595.664321
0,99,episode_length,99
0,103,episode_reward,-154.575723
0,103,episode_length,103
0,104,episode_reward,-254.675476
0,104,episode_length,104
0,112,episode_reward,-655.156994
0,112,episode_length,112
0,119,episode_reward,-615.248147
0,119,episode_length,119
0,121,episode_reward,-683.778351
0,121,episode_length,121
0,132,episode_reward,-460.831583
0,132,episode_length,132
0,136,episode_reward,-689.33877
0,136,episode_length,136
0,138,episode_reward,-695.447355
0,138,episode_length,138
0,141,episode_reward,-369.647074
0,141,episode_length,141
0,143,episode_reward,-562.210302
0,143,episode_length,143
0,144,episode_reward,-400.876441
0,144,episode_length,144
0,151,episode_reward,-561.119759
0,151,episode_length,151
0,156,episode_reward,-372.642641
0,156,episode_length,156
0,165,episode_reward,-326.045123
0,165,episode_length,165
0,172,episode_reward,-297.656032
0,172,episode_length,172
0,175,episode_reward,-585.492301
0,175,episode_length,175
0,184,episode_reward,-541.311926
0,184,episode_length,184
0,192,episode_reward,-645.563832
0,192,episode_length,80
0,199,episode_reward,-763.091329
0,199,episode_length,199
0,202,episode_reward,-521.169716
0,202,episode_length,83
0,211,episode_reward,-441.146637
0,211,episode_length,112
0,218,episode_reward,-600.302794
0,218,episode_length,97
0,223,episode_reward,-937.687628
0,223,episode_length,223
0,226,episode_reward,-935.575767
0,226,episode_length,226
0,229,episode_reward,-663.684366
0,229,episode_length,229
0,242,episode_reward,-1036.399911
0,242,episode_length,242
0,245,episode_reward,-676.913254
0,245,episode_length,89
0,247,episode_reward,-559.004235
0,247,episode_length,151
0,247,episode_reward,-311.120591
0,247,episode_length,247
0,251,episode_reward,-718.212624
0,251,episode_length,147
0,253,episode_reward,-348.13096
0,253,episode_length,102
0,287,episode_reward,-526.238902
0,287,episode_length,103
0,288,episode_reward,-809.234995
0,288,episode_length,152
0,296,episode_reward,-554.710402
0,296,episode_length,94
0,297,episode_reward,-718.048078
0,297,episode_length,132
0,315,episode_reward,-798.057953
0,315,episode_length,143
0,321,episode_reward,-724.153175
0,321,episode_length,189
0,324,episode_reward,-747.674643
0,324,episode_length,132
0,330,episode_reward,-404.783985
0,330,episode_length,192
0,344,episode_reward,-396.665894
0,344,episode_length,118
0,353,episode_reward,-274.922574
0,353,episode_length,108
0,368,episode_reward,-461.380583
0,368,episode_length,115
0,372,episode_reward,-467.837616
0,372,episode_length,229
0,373,episode_reward,-489.898855
0,373,episode_length,86
0,378,episode_reward,-706.481267
0,378,episode_length,131
0,384,episode_reward,-1249.221233
0,384,episode_length,384
0,385,episode_reward,-233.815104
0,385,episode_length,134
0,394,episode_reward,-563.56392
0,394,episode_length,106
0,399,episode_reward,-824.05696
0,399,episode_length,200
0,409,episode_reward,-521.247127
0,409,episode_length,85
0,419,episode_reward,-682.029571
0,419,episode_length,244
0,428,episode_reward,-658.063584
0,428,episode_length,107
0,431,episode_reward,-1172.388171
0,431,episode_length,340
0,442,episode_reward,-370.619043
0,442,episode_length,301
0,445,episode_reward,-836.35659
0,445,episode_length,130
0,451,episode_reward,-1474.22047
0,451,episode_length,363
0,459,episode_reward,-1707.650658
0,459,episode_length,367
0,465,episode_reward,-535.642284
0,465,episode_length,97
0,470,episode_reward,-509.717411
0,470,episode_length,98
0,474,episode_reward,-618.235901
