round,step,metric,value
0,63,episode_reward,-138.104237
0,63,episode_length,63
0,64,episode_reward,-254.666273
0,64,episode_length,64
0,65,episode_reward,-182.525756
0,65,episode_length,65
0,65,episode_reward,-109.652572
0,65,episode_length,65
0,67,episode_reward,-150.736568
0,67,episode_length,67
0,67,episode_reward,-378.852148
0,67,episode_length,67
0,68,episode_reward,-116.31982
0,68,episode_length,68
0,68,episode_reward,-114.428379
0,68,episode_length,68
0,70,episode_reward,-158.89862
0,70,episode_length,70
0,72,episode_reward,-55.499853
0,72,episode_length,72
0,73,episode_reward,-155.488113
0,73,episode_length,73
0,74,episode_reward,-62.667545
0,74,episode_length,74
0,76,episode_reward,-364.276565
0,76,episode_length,76
0,76,episode_reward,-241.991416
0,76,episode_length,76
0,76,episode_reward,-334.996574
0,76,episode_length,76
0,78,episode_reward,-119.951185
0,78,episode_length,78
0,79,episode_reward,-320.268453
0,79,episode_length,79
0,82,episode_reward,-377.523024
0,82,episode_length,82
0,82,episode_reward,-412.351806
0,82,episode_length,82
0,84,episode_reward,-440.889359
0,84,episode_length,84
0,84,episode_reward,-382.531101
0,84,episode_length,84
0,84,episode_reward,-369.14028
0,84,episode_length,84
0,85,episode_reward,-97.798255
0,85,episode_length,85
0,86,episode_reward,-313.572322
0,86,episode_length,86
0,93,episode_reward,-428.373387
0,93,episode_length,93
0,95,episode_reward,-211.864574
0,95,episode_length,95
0,102,episode_reward,-177.630707
0,102,episode_length,102
0,109,episode_reward,-56.68157
0,109,episode_length,109
0,113,episode_reward,-210.345868
0,113,episode_length,113
0,122,episode_reward,-278.645758
0,122,episode_length,122
0,127,episode_reward,-95.110009
0,127,episode_length,127
0,129,episode_reward,-284.229381
0,129,episode_length,62
0,133,episode_reward,-263.757396
0,133,episode_length,133
0,135,episode_reward,-99.863535
0,135,episode_length,70
0,136,episode_reward,-178.350475
0,136,episode_length,73
0,142,episode_reward,-119.862505
0,142,episode_length,77
0,145,episode_reward,-176.884253
0,145,episode_length,63
0,146,episode_reward,-348.403579
0,146,episode_length,82
0,148,episode_reward,-115.903216
0,148,episode_length,70
0,152,episode_reward,-275.779659
0,152,episode_length,76
0,153,episode_reward,-200.68103
0,153,episode_length,69
