round,step,metric,value
0,83,episode_reward,-530.105013
0,83,episode_length,83
0,90,episode_reward,-427.751471
0,90,episode_length,90
0,92,episode_reward,-508.694347
0,92,episode_length,92
0,99,episode_reward,-379.222736
0,99,episode_length,99
0,100,episode_reward,-486.381685
0,100,episode_length,100
0,116,episode_reward,-318.864761
0,116,episode_length,116
0,119,episode_reward,-350.770387
0,119,episode_length,119
0,119,episode_reward,-405.052216
0,119,episode_length,119
0,123,episode_reward,-312.230971
0,123,episode_length,123
0,124,episode_reward,-433.590922
0,124,episode_length,124
0,128,episode_reward,-562.014296
0,128,episode_length,128
0,129,episode_reward,-321.102218
0,129,episode_length,129
0,140,episode_reward,-827.126216
0,140,episode_length,140
0,141,episode_reward,-542.872238
0,141,episode_length,141
0,146,episode_reward,-836.717939
0,146,episode_length,146
0,155,episode_reward,-635.676647
0,155,episode_length,155
0,157,episode_reward,-629.8516
0,157,episode_length,157
0,157,episode_reward,-426.158256
0,157,episode_length,157
0,159,episode_reward,-233.83747
0,159,episode_length,159
0,159,episode_reward,-745.089784
0,159,episode_length,159
0,161,episode_reward,-764.303896
0,161,episode_length,161
0,161,episode_reward,-74.417108
0,161,episode_length,161
0,174,episode_reward,-373.775625
0,174,episode_length,174
0,176,episode_reward,-396.366036
0,176,episode_length,176
0,176,episode_reward,-637.917246
0,176,episode_length,176
0,179,episode_reward,-887.608167
0,179,episode_length,179
0,196,episode_reward,-674.742982
0,196,episode_length,196
0,203,episode_reward,-506.842785
0,203,episode_length,203
0,219,episode_reward,-402.881671
0,219,episode_length,136
0,235,episode_reward,-325.213585
0,235,episode_length,119
0,237,episode_reward,-472.314082
0,237,episode_length,97
0,245,episode_reward,-764.583087
0,245,episode_length,245
0,248,episode_reward,-573.401721
0,248,episode_length,120
0,250,episode_reward,-501.005543
0,250,episode_length,91
0,251,episode_reward,-519.974061
0,251,episode_length,122
0,255,episode_reward,-783.45565
0,255,episode_length,132
0,259,episode_reward,-510.583797
0,259,episode_length,169
0,262,episode_reward,-515.135205
0,262,episode_length,121
0,262,episode_reward,-501.244556
0,262,episode_length,83
0,264,episode_reward,-583.347186
0,264,episode_length,88
0,269,episode_reward,-695.22909
0,269,episode_length,269
0,271,episode_reward,-365.678628
0,271,episode_length,112
0,273,episode_reward,-522.930236
0,273,episode_length,273
0,280,episode_reward,-475.324581
0,280,episode_length,104
0,283,episode_reward,-286.797228
0,283,episode_length,164
0,295,episode_reward,-327.791799
0,295,episode_length,195
0,303,episode_reward,-612.139629
0,303,episode_length,184
0,306,episode_reward,-608.59446
0,306,episode_length,151
0,309,episode_reward,-618.487725
0,309,episode_length,148
0,311,episode_reward,-236.702851
0,311,episode_length,108
0,313,episode_reward,-515.792546
0,313,episode_length,152
0,315,episode_reward,-495.848504
0,315,episode_length,158
0,321,episode_reward,-480.327947
0,321,episode_length,222
0,322,episode_reward,-490.691803
0,322,episode_length,126
0,327,episode_reward,-452.12377
0,327,episode_length,327
0,330,episode_reward,-340.027521
0,330,episode_length,238
0,354,episode_reward,-388.419221
0,354,episode_length,117
0,356,episode_reward,-538.29023
0,356,episode_length,105
0,369,episode_reward,-522.451155
0,369,episode_length,134
0,388,episode_reward,-371.05781
0,388,episode_length,126
0,391,episode_reward,-231.03179
0,391,episode_length,141
0,394,episode_reward,-276.172083
0,394,episode_length,248
0,407,episode_reward,-500.19616
0,407,episode_length,127
0,410,episode_reward,-173.238648
0,410,episode_length,104
0,411,episode_reward,-553.987237
0,411,episode_length,166
0,412,episode_reward,-517.90322
0,412,episode_length,97
0,424,episode_reward,-797.584514
0,424,episode_length,267
0,429,episode_reward,-205.79092
0,429,episode_length,126
0,431,episode_reward,-664.804839
0,431,episode_length,110
0,432,episode_reward,-996.814169
0,432,episode_length,170
0,436,episode_reward,-96.512976
0,436,episode_length,312
0,437,episode_reward,-352.692637
0,437,episode_length,178
0,437,episode_reward,-419.968392
0,437,episode_length,115
0,438,episode_reward,-637.391136
0,438,episode_length,167
0,442,episode_reward,-499.306973
0,442,episode_length,187
0,443,episode_reward,-653.603556
0,443,episode_length,160
0,445,episode_reward,-878.664481
0,445,episode_length,226
0,451,episode_reward,-383.218997
0,451,episode_length,142
0,457,episode_reward,-557.601301
0,457,episode_length,184
0,459,episode_reward,-426.17932
0,459,episode_length,103
0,461,episode_reward,-626.506931
0,461,episode_length,192
0,463,episode_reward,-517.900878
0,463,episode_length,168
0,472,episode_reward,-375.124833
0,472,episode_length,161
0,475,episode_reward,-1049.92825
0,475,episode_length,211
0,490,episode_reward,-722.295218
0,490,episode_length,160
0,494,episode_reward,-465.422937
0,494,episode_length,140
0,497,episode_reward,-551.697079
0,497,episode_length,85
0,502,episode_reward,-344.95943
0,502,episode_length,114
0,507,episode_reward,-569.181116
0,507,episode_length,116
0,524,episode_reward,-688.576369
0,524,episode_length,350
0,526,episode_reward,-493.645839
0,526,episode_length,157
0,528,episode_reward,-518.844872
0,528,episode_length,215
0,529,episode_reward,-293.893857
0,529,episode_length,118
0,533,episode_reward,-391.378139
0,533,episode_length,96
0,533,episode_reward,-108.653776
0,533,episode_length,95
0,550,episode_reward,-401.107253
0,550,episode_length,108
0,554,episode_reward,-651.04711
0,554,episode_length,111
0,554,episode_reward,-135.03323
0,554,episode_length,122
0,560,episode_reward,-614.620375
0,560,episode_length,150
0,561,episode_reward,-538.069234
0,561,episode_length,313
0,563,episode_reward,-372.001358
0,563,episode_length,236
0,573,episode_reward,-343.467119
0,573,episode_length,136
0,574,episode_reward,-490.842618
0,574,episode_length,138
0,575,episode_reward,-658.462372
0,575,episode_length,112
0,599,episode_reward,-290.130987
0,599,episode_length,105
0,601,episode_reward,-480.886966
0,601,episode_length,156
0,602,episode_reward,-328.585327
0,602,episode_length,178
0,619,episode_reward,-644.374811
0,619,episode_length,162
0,619,episode_reward,-281.67655
0,619,episode_length,95
0,621,episode_reward,-502.200803
0,621,episode_length,192
0,622,episode_reward,-404.845807
0,622,episode_length,147
0,623,episode_reward,-573.816267
0,623,episode_length,121
0,627,episode_reward,-585.793543
0,627,episode_length,120
0,630,episode_reward,-432.275258
0,630,episode_length,169
0,633,episode_reward,-935.572029
0,633,episode_length,239
0,641,episode_reward,-996.742852
0,641,episode_length,234
0,646,episode_reward,-117.620508
0,646,episode_length,195
0,653,episode_reward,-486.089097
0,653,episode_length,99
0,656,episode_reward,-699.77832
0,656,episode_length,128
0,662,episode_reward,-630.328822
0,662,episode_length,112
0,664,episode_reward,-656.145898
0,664,episode_length,167
0,676,episode_reward,-625.493911
0,676,episode_length,143
0,680,episode_reward,-1093.678726
0,680,episode_length,221
0,681,episode_reward,-930.978011
0,681,episode_length,155
0,696,episode_reward,-513.883897
0,696,episode_length,95
0,700,episode_reward,-637.318883
0,700,episode_length,167
0,703,episode_reward,-1054.39111
0,703,episode_length,213
0,704,episode_reward,-509.421894
0,704,episode_length,85
0,709,episode_reward,-758.625521
0,709,episode_length,135
0,715,episode_reward,-514.791837
0,715,episode_length,186
0,725,episode_reward,-332.685054
0,725,episode_length,123
0,728,episode_reward,-267.687505
0,728,episode_length,256
0,742,episode_reward,-227.568561
0,742,episode_length,119
0,744,episode_reward,-592.199196
0,744,episode_length,169
0,747,episode_reward,-244.44379
0,747,episode_length,128
0,758,episode_reward,-483.700677
0,758,episode_length,117
0,763,episode_reward,-589.708399
0,763,episode_length,87
0,782,episode_reward,-410.623945
0,782,episode_length,221
0,801,episode_reward,-694.550271
0,801,episode_length,121
