round,step,metric,value
0,91,episode_reward,-363.658181
0,91,episode_length,91
0,95,episode_reward,-584.745288
0,95,episode_length,95
0,97,episode_reward,-710.93923
0,97,episode_length,97
0,99,episode_reward,-558.27643
0,99,episode_length,99
0,99,episode_reward,-669.6957
0,99,episode_length,99
0,100,episode_reward,-552.213503
0,100,episode_length,100
0,100,episode_reward,-601.647864
0,100,episode_length,100
0,102,episode_reward,-459.305036
0,102,episode_length,102
0,102,episode_reward,-250.418202
0,102,episode_length,102
0,103,episode_reward,-551.35632
0,103,episode_length,103
0,105,episode_reward,-422.394953
0,105,episode_length,105
0,107,episode_reward,-608.418018
0,107,episode_length,107
0,110,episode_reward,-563.204788
0,110,episode_length,110
0,110,episode_reward,-694.120468
0,110,episode_length,110
0,111,episode_reward,-662.6168
0,111,episode_length,111
0,113,episode_reward,-655.870105
0,113,episode_length,113
0,113,episode_reward,-280.033018
0,113,episode_length,113
0,114,episode_reward,-546.795033
0,114,episode_length,114
0,116,episode_reward,-398.665464
0,116,episode_length,116
0,119,episode_reward,-531.817404
0,119,episode_length,119
0,120,episode_reward,-669.827461
0,120,episode_length,120
0,124,episode_reward,-510.692774
0,124,episode_length,124
0,125,episode_reward,-430.296394
0,125,episode_length,125
0,126,episode_reward,-541.517253
0,126,episode_length,126
0,127,episode_reward,-677.573657
0,127,episode_length,127
0,128,episode_reward,-917.696696
0,128,episode_length,128
0,129,episode_reward,-532.603419
0,129,episode_length,129
0,138,episode_reward,-685.909782
0,138,episode_length,138
0,140,episode_reward,-619.496176
0,140,episode_length,140
0,141,episode_reward,-259.795583
0,141,episode_length,141
0,142,episode_reward,-572.252276
0,142,episode_length,142
0,146,episode_reward,-477.547564
0,146,episode_length,146
0,148,episode_reward,-609.126168
0,148,episode_length,148
0,148,episode_reward,-234.991714
0,148,episode_length,148
0,150,episode_reward,-419.538155
0,150,episode_length,150
0,157,episode_reward,-875.140404
0,157,episode_length,157
0,159,episode_reward,-601.885031
0,159,episode_length,159
0,159,episode_reward,-395.182766
0,159,episode_length,159
0,161,episode_reward,-650.036552
0,161,episode_length,161
0,164,episode_reward,-605.919608
0,164,episode_length,164
0,168,episode_reward,-662.642927
0,168,episode_length,168
0,173,episode_reward,-633.193234
0,173,episode_length,173
0,180,episode_reward,-751.477601
0,180,episode_length,180
0,181,episode_reward,-489.394175
0,181,episode_length,181
0,187,episode_reward,-900.302994
0,187,episode_length,187
0,197,episode_reward,-433.644471
0,197,episode_length,97
0,199,episode_reward,-466.297644
0,199,episode_length,199
0,200,episode_reward,-534.574504
0,200,episode_length,98
0,207,episode_reward,-441.166733
0,207,episode_length,108
0,209,episode_reward,-472.179446
0,209,episode_length,110
0,213,episode_reward,-575.775182
0,213,episode_length,122
0,216,episode_reward,-881.581879
0,216,episode_length,216
0,218,episode_reward,-400.277254
0,218,episode_length,111
0,219,episode_reward,-473.431269
0,219,episode_length,108
0,220,episode_reward,-549.851821
0,220,episode_length,123
0,221,episode_reward,-569.839347
0,221,episode_length,116
0,222,episode_reward,-541.583076
0,222,episode_length,222
0,222,episode_reward,-414.363339
0,222,episode_length,222
0,234,episode_reward,-483.318927
0,234,episode_length,105
0,236,episode_reward,-573.17054
0,236,episode_length,110
0,237,episode_reward,-479.590846
0,237,episode_length,97
0,240,episode_reward,-919.659947
0,240,episode_length,240
0,240,episode_reward,-1139.918394
0,240,episode_length,240
0,241,episode_reward,-272.252925
0,241,episode_length,116
0,242,episode_reward,-712.000775
0,242,episode_length,242
0,245,episode_reward,-590.284806
0,245,episode_length,86
0,248,episode_reward,-693.221615
0,248,episode_length,102
0,248,episode_reward,-289.651127
0,248,episode_length,107
0,252,episode_reward,-779.85781
0,252,episode_length,252
0,258,episode_reward,-1023.36687
0,258,episode_length,258
0,263,episode_reward,-582.044966
0,263,episode_length,144
0,265,episode_reward,-535.522578
0,265,episode_length,97
0,266,episode_reward,-1435.760501
0,266,episode_length,266
0,276,episode_reward,-812.280594
0,276,episode_length,276
0,276,episode_reward,-734.849317
0,276,episode_length,276
0,283,episode_reward,-468.358805
0,283,episode_length,283
0,284,episode_reward,-634.482001
0,284,episode_length,142
0,286,episode_reward,-670.677179
0,286,episode_length,159
0,297,episode_reward,-400.668574
0,297,episode_length,195
0,300,episode_reward,-336.439743
0,300,episode_length,113
0,300,episode_reward,-680.002849
0,300,episode_length,100
0,307,episode_reward,-276.805484
0,307,episode_length,134
0,315,episode_reward,-643.343056
0,315,episode_length,202
0,318,episode_reward,-519.628317
0,318,episode_length,119
0,320,episode_reward,-578.213279
0,320,episode_length,104
0,320,episode_reward,-679.714096
0,320,episode_length,207
0,320,episode_reward,-741.535263
0,320,episode_length,163
0,328,episode_reward,-310.425332
0,328,episode_length,328
0,329,episode_reward,-455.664015
0,329,episode_length,181
0,330,episode_reward,-624.288716
0,330,episode_length,230
0,336,episode_reward,-537.960898
0,336,episode_length,88
0,338,episode_reward,-255.785274
0,338,episode_length,218
0,340,episode_reward,-795.395385
0,340,episode_length,245
0,344,episode_reward,-470.854771
0,344,episode_length,122
0,349,episode_reward,-501.272035
0,349,episode_length,142
0,349,episode_reward,-577.696344
0,349,episode_length,239
0,351,episode_reward,-613.066222
0,351,episode_length,190
0,357,episode_reward,-432.898509
0,357,episode_length,120
0,367,episode_reward,-594.039443
0,367,episode_length,101
0,370,episode_reward,-554.561085
0,370,episode_length,254
0,371,episode_reward,-951.801492
0,371,episode_length,257
0,373,episode_reward,-299.30516
0,373,episode_length,151
0,379,episode_reward,-416.684706
0,379,episode_length,95
0,383,episode_reward,-910.175537
0,383,episode_length,235
0,384,episode_reward,-526.098729
0,384,episode_length,87
0,386,episode_reward,-479.437076
0,386,episode_length,276
0,386,episode_reward,-491.120391
0,386,episode_length,86
0,388,episode_reward,-554.262942
0,388,episode_length,105
0,388,episode_reward,-649.25861
0,388,episode_length,167
0,390,episode_reward,-1497.526418
0,390,episode_length,390
0,397,episode_reward,-1716.53075
0,397,episode_length,397
0,408,episode_reward,-436.169439
0,408,episode_length,132
0,414,episode_reward,-1249.896998
0,414,episode_length,414
0,415,episode_reward,-457.027326
0,415,episode_length,251
0,416,episode_reward,-937.050996
0,416,episode_length,171
0,416,episode_reward,-386.047272
0,416,episode_length,116
0,418,episode_reward,-739.546561
0,418,episode_length,142
0,421,episode_reward,-1130.995618
0,421,episode_length,293
0,421,episode_reward,-527.743416
0,421,episode_length,101
0,425,episode_reward,-614.535516
0,425,episode_length,107
0,427,episode_reward,-640.178395
0,427,episode_length,141
0,431,episode_reward,-479.435934
0,431,episode_length,111
0,431,episode_reward,-612.669146
0,431,episode_length,95
0,432,episode_reward,-257.542558
0,432,episode_length,83
0,434,episode_reward,-489.194602
0,434,episode_length,106
0,441,episode_reward,-1166.294994
0,441,episode_length,221
0,442,episode_reward,-948.196007
0,442,episode_length,177
0,446,episode_reward,-1235.741634
0,446,episode_length,296
0,447,episode_reward,-562.561414
0,447,episode_length,189
0,453,episode_reward,-650.64584
0,453,episode_length,315
0,455,episode_reward,-681.238468
0,455,episode_length,215
0,456,episode_reward,-1279.198429
0,456,episode_length,332
0,456,episode_reward,-1110.682084
0,456,episode_length,275
0,457,episode_reward,-556.506073
0,457,episode_length,205
0,459,episode_reward,-780.772879
0,459,episode_length,279
0,463,episode_reward,-908.054605
0,463,episode_length,304
0,465,episode_reward,-1178.579818
0,465,episode_length,256
0,465,episode_reward,-932.759771
0,465,episode_length,465
0,469,episode_reward,-568.018411
0,469,episode_length,272
0,474,episode_reward,-450.518274
0,474,episode_length,104
0,476,episode_reward,-1208.121346
0,476,episode_length,242
0,476,episode_reward,-1140.186578
0,476,episode_length,476
0,477,episode_reward,-358.317052
0,477,episode_length,89
0,477,episode_reward,-393.49245
0,477,episode_length,237
0,481,episode_reward,-1744.31719
0,481,episode_length,378
0,485,episode_reward,-430.514889
0,485,episode_length,102
0,486,episode_reward,-614.718168
0,486,episode_length,238
0,488,episode_reward,-818.207527
0,488,episode_length,270
0,493,episode_reward,-549.592598
0,493,episode_length,142
0,506,episode_reward,-315.958559
0,506,episode_length,116
0,507,episode_reward,-420.391225
0,507,episode_length,121
0,513,episode_reward,-542.166891
0,513,episode_length,92
0,513,episode_reward,-488.765773
0,513,episode_length,142
0,519,episode_reward,-646.284402
0,519,episode_length,78
0,520,episode_reward,-656.241041
0,520,episode_length,105
0,521,episode_reward,-880.449664
0,521,episode_length,201
0,526,episode_reward,-356.591659
0,526,episode_length,84
0,531,episode_reward,-663.260666
0,531,episode_length,115
0,536,episode_reward,-638.145112
0,536,episode_length,128
0,538,episode_reward,-424.186822
0,538,episode_length,152
0,539,episode_reward,-464.368157
0,539,episode_length,105
0,544,episode_reward,-512.763359
0,544,episode_length,98
0,546,episode_reward,-1078.38127
0,546,episode_length,305
0,546,episode_reward,-827.478033
0,546,episode_length,149
0,548,episode_reward,-771.233189
0,548,episode_length,164
0,550,episode_reward,-547.13694
0,550,episode_length,206
0,550,episode_reward,-531.140092
0,550,episode_length,193
0,552,episode_reward,-608.863083
0,552,episode_length,127
0,553,episode_reward,-742.795207
0,553,episode_length,174
0,553,episode_reward,-540.803822
0,553,episode_length,122
0,554,episode_reward,-280.488664
0,554,episode_length,123
0,558,episode_reward,-452.223508
0,558,episode_length,105
0,559,episode_reward,-317.228487
0,559,episode_length,323
0,573,episode_reward,-644.713982
0,573,episode_length,99
0,574,episode_reward,-329.632077
0,574,episode_length,98
0,574,episode_reward,-992.586833
0,574,episode_length,244
0,578,episode_reward,-486.140865
0,578,episode_length,102
0,579,episode_reward,-681.615553
0,579,episode_length,239
0,579,episode_reward,-899.349185
0,579,episode_length,366
0,587,episode_reward,-542.063425
0,587,episode_length,258
0,588,episode_reward,-337.524579
0,588,episode_length,174
0,589,episode_reward,-1221.82463
0,589,episode_length,222
0,594,episode_reward,-443.083125
0,594,episode_length,101
0,596,episode_reward,-1359.718023
0,596,episode_length,354
0,597,episode_reward,-1055.917744
0,597,episode_length,209
0,598,episode_reward,-339.572226
0,598,episode_length,110
0,601,episode_reward,-405.807467
0,601,episode_length,94
0,601,episode_reward,-334.313424
0,601,episode_length,180
0,603,episode_reward,-403.902123
0,603,episode_length,118
0,607,episode_reward,-657.387618
0,607,episode_length,101
0,611,episode_reward,-506.64223
0,611,episode_length,142
0,612,episode_reward,-651.27455
0,612,episode_length,135
0,614,episode_reward,-629.224434
0,614,episode_length,94
0,618,episode_reward,-1185.737584
0,618,episode_length,161
0,618,episode_reward,-1333.376515
0,618,episode_length,245
0,621,episode_reward,-1097.470129
0,621,episode_length,283
0,622,episode_reward,-517.639067
0,622,episode_length,195
0,631,episode_reward,-915.540627
0,631,episode_length,176
0,640,episode_reward,-924.853771
0,640,episode_length,208
0,646,episode_reward,-576.278862
0,646,episode_length,108
0,650,episode_reward,-760.649101
0,650,episode_length,97
0,657,episode_reward,-242.130679
0,657,episode_length,111
0,659,episode_reward,-568.475804
0,659,episode_length,100
0,662,episode_reward,-520.830919
0,662,episode_length,108
0,669,episode_reward,-1261.029628
0,669,episode_length,213
0,672,episode_reward,-472.392375
0,672,episode_length,159
0,673,episode_reward,-561.496589
0,673,episode_length,192
0,676,episode_reward,-507.743345
0,676,episode_length,128
0,677,episode_reward,-514.344402
0,677,episode_length,88
0,687,episode_reward,-412.36756
0,687,episode_length,338
0,698,episode_reward,-323.866427
0,698,episode_length,251
0,699,episode_reward,-1249.916569
0,699,episode_length,213
0,699,episode_reward,-505.418374
0,699,episode_length,102
0,700,episode_reward,-1264.756284
0,700,episode_length,241
0,703,episode_reward,-797.772992
0,703,episode_length,238
0,708,episode_reward,-541.832567
0,708,episode_length,290
0,712,episode_reward,-563.170179
0,712,episode_length,111
0,712,episode_reward,-678.479229
0,712,episode_length,134
0,715,episode_reward,-681.734471
0,715,episode_length,141
0,718,episode_reward,-440.449783
0,718,episode_length,172
0,718,episode_reward,-496.34567
0,718,episode_length,107
0,719,episode_reward,-321.07212
0,719,episode_length,256
0,722,episode_reward,-784.080961
0,722,episode_length,148
0,724,episode_reward,-393.483716
0,724,episode_length,171
0,726,episode_reward,-594.246354
0,726,episode_length,95
0,727,episode_reward,-623.905697
0,727,episode_length,148
0,731,episode_reward,-540.380648
0,731,episode_length,254
0,733,episode_reward,-269.551914
0,733,episode_length,121
0,735,episode_reward,-711.953638
0,735,episode_length,139
0,736,episode_reward,-537.940307
0,736,episode_length,148
0,741,episode_reward,-690.689674
0,741,episode_length,189
0,741,episode_reward,-792.459704
0,741,episode_length,202
0,742,episode_reward,-672.434593
0,742,episode_length,139
0,744,episode_reward,-900.477491
0,744,episode_length,288
0,750,episode_reward,-791.726143
0,750,episode_length,143
0,752,episode_reward,-559.360282
0,752,episode_length,194
0,753,episode_reward,-505.828448
0,753,episode_length,159
0,754,episode_reward,-446.919421
0,754,episode_length,114
0,755,episode_reward,-766.341181
0,755,episode_length,339
0,756,episode_reward,-303.891309
0,756,episode_length,135
0,756,episode_reward,-2166.34718
0,756,episode_length,493
0,757,episode_reward,-614.623198
0,757,episode_length,231
0,764,episode_reward,-530.76644
0,764,episode_length,299
0,766,episode_reward,-584.568273
0,766,episode_length,104
0,775,episode_reward,-363.446883
0,775,episode_length,125
0,777,episode_reward,-910.731456
0,777,episode_length,258
0,778,episode_reward,-698.224097
0,778,episode_length,160
0,780,episode_reward,-575.969496
0,780,episode_length,134
0,784,episode_reward,-800.706966
0,784,episode_length,263
0,784,episode_reward,-394.977989
0,784,episode_length,97
0,785,episode_reward,-1195.069329
0,785,episode_length,241
0,787,episode_reward,-602.392158
0,787,episode_length,237
0,789,episode_reward,-615.428424
0,789,episode_length,171
0,799,episode_reward,-667.682924
0,799,episode_length,96
0,803,episode_reward,-720.89392
0,803,episode_length,272
0,808,episode_reward,-501.667605
0,808,episode_length,93
0,810,episode_reward,-678.671752
0,810,episode_length,92
0,811,episode_reward,-526.483655
0,811,episode_length,152
0,813,episode_reward,-639.817682
0,813,episode_length,156
0,816,episode_reward,-774.183841
0,816,episode_length,280
0,817,episode_reward,-699.278648
0,817,episode_length,98
0,819,episode_reward,-459.320463
0,819,episode_length,119
0,820,episode_reward,-311.147531
0,820,episode_length,102
0,821,episode_reward,-1647.933433
0,821,episode_length,506
0,822,episode_reward,-519.530205
0,822,episode_length,96
0,829,episode_reward,-1222.902605
0,829,episode_length,522
0,832,episode_reward,-1205.828977
0,832,episode_length,282
0,832,episode_reward,-715.036656
0,832,episode_length,110
0,835,episode_reward,-476.456673
0,835,episode_length,100
0,835,episode_reward,-640.664231
0,835,episode_length,123
0,837,episode_reward,-675.817364
0,837,episode_length,223
0,838,episode_reward,-465.774282
0,838,episode_length,162
0,847,episode_reward,-1400.566922
0,847,episode_length,274
0,849,episode_reward,-606.766685
0,849,episode_length,113
0,849,episode_reward,-687.207972
0,849,episode_length,122
0,853,episode_reward,-467.821011
0,853,episode_length,155
0,858,episode_reward,-485.132282
0,858,episode_length,106
0,860,episode_reward,-542.632097
0,860,episode_length,107
0,863,episode_reward,-713.263543
0,863,episode_length,119
0,875,episode_reward,-509.231774
0,875,episode_length,144
0,875,episode_reward,-572.034332
0,875,episode_length,176
0,880,episode_reward,-1090.418374
0,880,episode_length,258
0,881,episode_reward,-771.183934
0,881,episode_length,208
0,881,episode_reward,-701.644401
0,881,episode_length,131
0,886,episode_reward,-546.371412
0,886,episode_length,83
0,889,episode_reward,-2868.296548
0,889,episode_length,670
0,891,episode_reward,-673.687196
0,891,episode_length,127
0,895,episode_reward,-496.939607
0,895,episode_length,84
0,896,episode_reward,-344.006744
0,896,episode_length,140
0,898,episode_reward,-419.487227
0,898,episode_length,165
0,903,episode_reward,-398.89628
0,903,episode_length,123
0,904,episode_reward,-422.117054
0,904,episode_length,94
0,906,episode_reward,-2068.776208
0,906,episode_length,393
0,913,episode_reward,-390.066223
0,913,episode_length,92
0,913,episode_reward,-407.70796
0,913,episode_length,201
0,915,episode_reward,-554.798546
0,915,episode_length,246
0,915,episode_reward,-733.830758
0,915,episode_length,207
0,915,episode_reward,-555.407862
0,915,episode_length,137
0,920,episode_reward,-247.814249
0,920,episode_length,104
0,925,episode_reward,-550.127098
0,925,episode_length,93
0,933,episode_reward,-1538.881904
0,933,episode_length,335
0,936,episode_reward,-842.425913
0,936,episode_length,195
0,938,episode_reward,-1361.001955
0,938,episode_length,351
0,941,episode_reward,-638.390775
0,941,episode_length,124
0,942,episode_reward,-619.164942
0,942,episode_length,84
0,943,episode_reward,-503.577841
0,943,episode_length,96
0,944,episode_reward,-756.519348
0,944,episode_length,202
0,952,episode_reward,-710.202925
0,952,episode_length,132
0,955,episode_reward,-216.005308
0,955,episode_length,118
0,956,episode_reward,-554.243088
0,956,episode_length,202
0,957,episode_reward,-1016.706782
0,957,episode_length,216
0,961,episode_reward,-1085.146049
0,961,episode_length,176
0,965,episode_reward,-635.462677
0,965,episode_length,293
0,966,episode_reward,-539.657324
0,966,episode_length,137
0,967,episode_reward,-444.187257
0,967,episode_length,118
0,972,episode_reward,-664.992428
0,972,episode_length,185
0,975,episode_reward,-1053.754765
0,975,episode_length,176
0,979,episode_reward,-437.877096
0,979,episode_length,104
0,981,episode_reward,-476.711636
0,981,episode_length,224
0,982,episode_reward,-510.130193
0,982,episode_length,147
0,983,episode_reward,-751.270519
0,983,episode_length,130
0,989,episode_reward,-546.858058
0,989,episode_length,140
0,991,episode_reward,-618.19592
0,991,episode_length,100
0,994,episode_reward,-482.623775
0,994,episode_length,219
0,998,episode_reward,-755.867668
0,998,episode_length,163
0,999,episode_reward,-376.579494
0,999,episode_length,244
0,999,episode_reward,-1820.960356
0,999,episode_length,420
0,1005,episode_reward,-788.814258
0,1005,episode_length,186
0,1006,episode_reward,-543.580746
0,1006,episode_length,282
0,1007,episode_reward,-639.391405
0,1007,episode_length,111
0,1010,episode_reward,-356.596986
0,1010,episode_length,97
0,1013,episode_reward,-730.177504
0,1013,episode_length,229
0,1015,episode_reward,-677.998214
0,1015,episode_length,109
0,1020,episode_reward,-115.360937
0,1020,episode_length,419
0,1025,episode_reward,-629.50294
0,1025,episode_length,187
0,1025,episode_reward,-585.820027
0,1025,episode_length,136
0,1025,episode_reward,-527.409444
0,1025,episode_length,241
0,1028,episode_reward,-1014.939379
0,1028,episode_length,262
0,1030,episode_reward,-694.500866
0,1030,episode_length,105
0,1030,episode_reward,-398.621269
0,1030,episode_length,198
0,1032,episode_reward,-202.763389
0,1032,episode_length,117
0,1045,episode_reward,-626.320658
0,1045,episode_length,256
0,1046,episode_reward,-607.38413
0,1046,episode_length,142
0,1047,episode_reward,-1399.515395
0,1047,episode_length,370
0,1048,episode_reward,-890.480887
0,1048,episode_length,173
0,1050,episode_reward,-1540.132089
0,1050,episode_length,351
0,1051,episode_reward,-493.552461
0,1051,episode_length,238
0,1056,episode_reward,-483.518798
0,1056,episode_length,136
0,1056,episode_reward,-482.739174
0,1056,episode_length,99
0,1058,episode_reward,-580.211244
0,1058,episode_length,160
0,1060,episode_reward,-424.767478
0,1060,episode_length,99
0,1065,episode_reward,-976.377906
0,1065,episode_length,184
0,1066,episode_reward,-504.105465
0,1066,episode_length,123
0,1067,episode_reward,-803.850218
0,1067,episode_length,207
0,1067,episode_reward,-428.633571
0,1067,episode_length,125
0,1068,episode_reward,-603.014465
0,1068,episode_length,130
0,1069,episode_reward,-582.293134
0,1069,episode_length,125
0,1078,episode_reward,-701.084214
0,1078,episode_length,163
0,1079,episode_reward,-708.114972
0,1079,episode_length,199
0,1080,episode_reward,-673.876582
0,1080,episode_length,199
0,1081,episode_reward,-748.876008
0,1081,episode_length,98
0,1090,episode_reward,-500.960867
0,1090,episode_length,108
0,1093,episode_reward,-493.753138
0,1093,episode_length,104
0,1096,episode_reward,-1250.731967
0,1096,episode_length,233
0,1097,episode_reward,-488.48048
0,1097,episode_length,91
0,1097,episode_reward,-526.868083
0,1097,episode_length,130
0,1100,episode_reward,-636.773462
0,1100,episode_length,185
0,1100,episode_reward,-849.110514
0,1100,episode_length,144
0,1100,episode_reward,-569.529748
0,1100,episode_length,90
0,1100,episode_reward,-515.985082
0,1100,episode_length,167
0,1111,episode_reward,-439.175575
0,1111,episode_length,86
0,1115,episode_reward,-437.380444
0,1115,episode_length,212
0,1116,episode_reward,-538.655776
0,1116,episode_length,111
0,1117,episode_reward,-510.080211
0,1117,episode_length,152
0,1119,episode_reward,-490.486222
0,1119,episode_length,125
0,1123,episode_reward,-446.207107
0,1123,episode_length,103
0,1126,episode_reward,-876.36239
0,1126,episode_length,318
0,1129,episode_reward,-575.575341
0,1129,episode_length,104
0,1132,episode_reward,-1444.762018
0,1132,episode_length,376
0,1133,episode_reward,-523.526676
0,1133,episode_length,142
0,1133,episode_reward,-772.489565
0,1133,episode_length,134
0,1134,episode_reward,-725.002537
0,1134,episode_length,153
0,1139,episode_reward,-644.375822
0,1139,episode_length,109
0,1140,episode_reward,-560.826162
0,1140,episode_length,363
0,1145,episode_reward,-552.424835
0,1145,episode_length,99
0,1148,episode_reward,-564.363519
0,1148,episode_length,123
0,1149,episode_reward,-443.599132
0,1149,episode_length,98
0,1151,episode_reward,-517.598397
0,1151,episode_length,215
0,1152,episode_reward,-481.690487
0,1152,episode_length,94
0,1158,episode_reward,-527.814001
0,1158,episode_length,93
0,1159,episode_reward,-1033.839459
0,1159,episode_length,337
0,1167,episode_reward,-782.27241
0,1167,episode_length,119
0,1171,episode_reward,-1263.125732
0,1171,episode_length,219
0,1175,episode_reward,-772.35389
0,1175,episode_length,176
0,1176,episode_reward,-654.957827
0,1176,episode_length,110
0,1177,episode_reward,-501.708888
0,1177,episode_length,99
0,1188,episode_reward,-609.473965
0,1188,episode_length,143
0,1201,episode_reward,-692.292695
0,1201,episode_length,154
0,1204,episode_reward,-258.612932
0,1204,episode_length,225
0,1207,episode_reward,-615.831327
0,1207,episode_length,107
0,1207,episode_reward,-585.280881
0,1207,episode_length,107
0,1211,episode_reward,-456.94855
0,1211,episode_length,198
0,1217,episode_reward,-752.14225
0,1217,episode_length,161
0,1225,episode_reward,-534.966917
0,1225,episode_length,158
0,1226,episode_reward,-560.951507
0,1226,episode_length,146
0,1230,episode_reward,-813.063333
0,1230,episode_length,134
0,1232,episode_reward,-1593.089191
0,1232,episode_length,260
0,1233,episode_reward,-762.838529
0,1233,episode_length,143
0,1237,episode_reward,-520.611084
0,1237,episode_length,104
0,1237,episode_reward,-674.116761
0,1237,episode_length,114
0,1238,episode_reward,-1214.460319
0,1238,episode_length,297
0,1242,episode_reward,-295.275647
0,1242,episode_length,244
0,1254,episode_reward,-904.622396
0,1254,episode_length,368
0,1256,episode_reward,-801.778817
0,1256,episode_length,137
0,1258,episode_reward,-463.440407
0,1258,episode_length,113
0,1260,episode_reward,-558.330055
0,1260,episode_length,200
0,1268,episode_reward,-1407.358033
0,1268,episode_length,313
0,1282,episode_reward,-914.762969
0,1282,episode_length,201
0,1284,episode_reward,-683.703817
0,1284,episode_length,215
0,1286,episode_reward,-1058.903811
0,1286,episode_length,279
0,1289,episode_reward,-557.772664
0,1289,episode_length,221
0,1299,episode_reward,-397.153237
0,1299,episode_length,232
0,1299,episode_reward,-1135.380432
0,1299,episode_length,269
0,1303,episode_reward,-554.697599
0,1303,episode_length,96
0,1306,episode_reward,-721.094513
0,1306,episode_length,95
0,1306,episode_reward,-882.173864
0,1306,episode_length,209
0,1307,episode_reward,-334.009121
0,1307,episode_length,196
0,1313,episode_reward,-696.871361
0,1313,episode_length,180
0,1314,episode_reward,-1131.564658
0,1314,episode_length,198
0,1318,episode_reward,-1935.896587
0,1318,episode_length,423
0,1318,episode_reward,-686.826918
0,1318,episode_length,184
0,1323,episode_reward,-491.610935
0,1323,episode_length,106
0,1325,episode_reward,-957.692315
0,1325,episode_length,185
0,1327,episode_reward,-937.297519
0,1327,episode_length,248
0,1327,episode_reward,-314.471468
0,1327,episode_length,120
0,1330,episode_reward,-637.070102
0,1330,episode_length,88
0,1330,episode_reward,-420.845396
0,1330,episode_length,97
0,1331,episode_reward,-526.158291
0,1331,episode_length,231
0,1331,episode_reward,-705.08385
0,1331,episode_length,164
0,1339,episode_reward,-1362.397475
0,1339,episode_length,200
0,1343,episode_reward,-453.728638
0,1343,episode_length,117
0,1347,episode_reward,-496.010472
0,1347,episode_length,109
0,1348,episode_reward,-458.822717
0,1348,episode_length,255
0,1354,episode_reward,-1142.484899
0,1354,episode_length,196
0,1366,episode_reward,-480.706306
0,1366,episode_length,207
0,1380,episode_reward,-537.549342
0,1380,episode_length,352
0,1381,episode_reward,-1465.950804
0,1381,episode_length,281
0,1382,episode_reward,-1247.240489
0,1382,episode_length,332
0,1383,episode_reward,-597.966572
0,1383,episode_length,179
0,1384,episode_reward,-405.917111
0,1384,episode_length,130
0,1385,episode_reward,-266.832341
0,1385,episode_length,125
0,1385,episode_reward,-810.734162
0,1385,episode_length,234
0,1389,episode_reward,-579.599969
0,1389,episode_length,374
0,1392,episode_reward,-621.190973
0,1392,episode_length,244
0,1397,episode_reward,-347.18802
0,1397,episode_length,98
0,1397,episode_reward,-1320.359614
0,1397,episode_length,341
0,1402,episode_reward,-519.8347
0,1402,episode_length,214
0,1402,episode_reward,-377.048494
0,1402,episode_length,103
0,1403,episode_reward,-1273.475192
0,1403,episode_length,274
0,1403,episode_reward,-575.758632
0,1403,episode_length,271
0,1408,episode_reward,-559.104692
0,1408,episode_length,140
0,1408,episode_reward,-1357.236583
0,1408,episode_length,232
0,1409,episode_reward,-2118.967802
0,1409,episode_length,443
0,1413,episode_reward,-753.848399
0,1413,episode_length,212
0,1413,episode_reward,-497.632248
0,1413,episode_length,287
0,1417,episode_reward,-776.487984
0,1417,episode_length,185
0,1420,episode_reward,-115.036179
0,1420,episode_length,190
0,1421,episode_reward,-839.645277
0,1421,episode_length,132
0,1422,episode_reward,-684.16555
0,1422,episode_length,116
0,1427,episode_reward,-771.951032
0,1427,episode_length,124
0,1429,episode_reward,-535.834712
0,1429,episode_length,90
0,1440,episode_reward,-437.663236
0,1440,episode_length,154
0,1443,episode_reward,-668.551523
0,1443,episode_length,137
0,1448,episode_reward,-798.704213
0,1448,episode_length,121
0,1451,episode_reward,-412.434231
0,1451,episode_length,104
0,1455,episode_reward,-1209.144044
0,1455,episode_length,358
0,1460,episode_reward,-282.469841
0,1460,episode_length,112
0,1461,episode_reward,-590.08976
0,1461,episode_length,131
0,1464,episode_reward,-754.555589
0,1464,episode_length,146
0,1492,episode_reward,-702.057778
0,1492,episode_length,255
0,1497,episode_reward,-1094.497218
0,1497,episode_length,166
0,1499,episode_reward,-1026.288129
0,1499,episode_length,241
0,1500,episode_reward,-686.400159
0,1500,episode_length,92
0,1501,episode_reward,-572.750497
0,1501,episode_length,187
0,1503,episode_reward,-448.91328
0,1503,episode_length,95
0,1507,episode_reward,-732.817681
0,1507,episode_length,125
0,1507,episode_reward,-591.894114
0,1507,episode_length,200
0,1508,episode_reward,-855.730722
0,1508,episode_length,224
0,1509,episode_reward,-500.237058
0,1509,episode_length,96
0,1511,episode_reward,-459.096172
0,1511,episode_length,126
0,1513,episode_reward,-624.796987
0,1513,episode_length,110
0,1517,episode_reward,-465.870282
0,1517,episode_length,174
0,1519,episode_reward,-998.583529
0,1519,episode_length,206
0,1533,episode_reward,-1382.034667
0,1533,episode_length,210
0,1534,episode_reward,-866.999028
0,1534,episode_length,145
0,1537,episode_reward,-684.993511
0,1537,episode_length,135
0,1540,episode_reward,-719.209263
0,1540,episode_length,160
0,1541,episode_reward,-2165.816184
0,1541,episode_length,366
0,1542,episode_reward,-388.234854
0,1542,episode_length,102
