round,step,metric,value
0,60,episode_reward,-100.164228
0,60,episode_length,60
0,62,episode_reward,-197.957226
0,62,episode_length,62
0,69,episode_reward,-297.606133
0,69,episode_length,69
0,72,episode_reward,-122.642842
0,72,episode_length,72
0,74,episode_reward,-247.61076
0,74,episode_length,74
0,74,episode_reward,-179.769748
0,74,episode_length,74
0,75,episode_reward,-361.951017
0,75,episode_length,75
0,76,episode_reward,-354.800895
0,76,episode_length,76
0,77,episode_reward,-128.669984
0,77,episode_length,77
0,78,episode_reward,-285.656977
0,78,episode_length,78
0,78,episode_reward,-238.672363
0,78,episode_length,78
0,80,episode_reward,-27.838431
0,80,episode_length,80
0,81,episode_reward,-82.134683
0,81,episode_length,81
0,87,episode_reward,-344.814076
0,87,episode_length,87
0,88,episode_reward,-115.019071
0,88,episode_length,88
0,89,episode_reward,-307.444176
0,89,episode_length,89
0,89,episode_reward,-396.153046
0,89,episode_length,89
0,91,episode_reward,-323.3195
0,91,episode_length,91
0,92,episode_reward,-102.818209
0,92,episode_length,92
0,93,episode_reward,-396.144464
0,93,episode_length,93
0,100,episode_reward,-498.955973
0,100,episode_length,100
0,100,episode_reward,-562.815654
0,100,episode_length,100
0,102,episode_reward,-342.667789
0,102,episode_length,102
0,102,episode_reward,-307.459571
0,102,episode_length,102
0,103,episode_reward,-127.079617
0,103,episode_length,103
0,108,episode_reward,-281.045771
0,108,episode_length,108
0,117,episode_reward,-388.817516
0,117,episode_length,117
0,119,episode_reward,-144.339221
0,119,episode_length,119
0,123,episode_reward,-127.115214
0,123,episode_length,123
0,128,episode_reward,-123.506043
0,128,episode_length,128
0,134,episode_reward,-101.625707
0,134,episode_length,134
0,135,episode_reward,-408.332654
0,135,episode_length,135
0,137,episode_reward,-477.289929
0,137,episode_length,77
0,138,episode_reward,-263.046684
0,138,episode_length,76
0,155,episode_reward,-575.838739
0,155,episode_length,83
0,165,episode_reward,8.93795
0,165,episode_length,85
0,165,episode_reward,-198.465828
0,165,episode_length,72
0,166,episode_reward,-227.44659
0,166,episode_length,97
0,166,episode_reward,-243.636376
0,166,episode_length,78
0,168,episode_reward,-82.136582
0,168,episode_length,90
0,176,episode_reward,-114.442074
0,176,episode_length,87
0,176,episode_reward,-375.486508
0,176,episode_length,100
0,177,episode_reward,-412.335914
0,177,episode_length,103
0,177,episode_reward,-251.819652
0,177,episode_length,102
0,179,episode_reward,-398.179043
0,179,episode_length,102
0,181,episode_reward,-118.215388
0,181,episode_length,58
0,187,episode_reward,-513.854434
0,187,episode_length,113
0,190,episode_reward,-395.53217
0,190,episode_length,109
0,191,episode_reward,-541.37219
0,191,episode_length,99
0,192,episode_reward,-399.547292
0,192,episode_length,92
0,195,episode_reward,-113.959267
0,195,episode_length,67
0,198,episode_reward,-320.771921
0,198,episode_length,109
0,199,episode_reward,-275.526642
0,199,episode_length,108
0,199,episode_reward,-328.460751
0,199,episode_length,99
0,200,episode_reward,-283.556302
0,200,episode_length,113
0,201,episode_reward,-301.175727
0,201,episode_length,82
0,210,episode_reward,-363.826966
0,210,episode_length,107
0,213,episode_reward,-386.97803
0,213,episode_length,96
0,217,episode_reward,-514.14407
0,217,episode_length,83
0,220,episode_reward,-142.589796
0,220,episode_length,118
0,222,episode_reward,-322.309005
0,222,episode_length,84
0,225,episode_reward,-331.086526
0,225,episode_length,88
0,227,episode_reward,-106.934999
0,227,episode_length,59
0,229,episode_reward,-14.061991
0,229,episode_length,151
0,233,episode_reward,-137.645631
0,233,episode_length,68
0,237,episode_reward,-238.687497
0,237,episode_length,71
0,241,episode_reward,-365.308414
0,241,episode_length,139
0,243,episode_reward,-157.798066
0,243,episode_length,88
0,250,episode_reward,-88.538498
0,250,episode_length,73
0,250,episode_reward,-416.938863
0,250,episode_length,71
0,251,episode_reward,-529.111791
0,251,episode_length,85
0,253,episode_reward,-49.746894
0,253,episode_length,62
0,253,episode_reward,-411.413941
0,253,episode_length,118
0,257,episode_reward,-268.756472
0,257,episode_length,149
0,257,episode_reward,-97.891673
0,257,episode_length,62
0,259,episode_reward,-347.666737
0,259,episode_length,83
0,262,episode_reward,-97.86551
0,262,episode_length,63
0,270,episode_reward,-336.754593
0,270,episode_length,89
0,274,episode_reward,-343.177531
0,274,episode_length,109
0,275,episode_reward,-146.463463
0,275,episode_length,85
0,275,episode_reward,-470.019929
0,275,episode_length,83
0,275,episode_reward,-223.776679
0,275,episode_length,99
0,276,episode_reward,-382.059765
0,276,episode_length,78
0,279,episode_reward,-196.61905
0,279,episode_length,102
0,285,episode_reward,-86.967727
0,285,episode_length,72
0,286,episode_reward,-156.355083
0,286,episode_length,64
0,288,episode_reward,-538.814849
0,288,episode_length,87
0,290,episode_reward,-298.116298
0,290,episode_length,90
0,292,episode_reward,-417.664587
0,292,episode_length,93
0,292,episode_reward,-248.942165
0,292,episode_length,63
0,308,episode_reward,-203.899338
0,308,episode_length,121
0,311,episode_reward,-395.91834
0,311,episode_length,94
0,312,episode_reward,-99.773734
0,312,episode_length,79
0,312,episode_reward,-160.312067
0,312,episode_length,87
0,316,episode_reward,-130.692951
0,316,episode_length,75
0,316,episode_reward,-225.429051
0,316,episode_length,66
0,329,episode_reward,-83.682413
0,329,episode_length,79
0,329,episode_reward,-309.974731
0,329,episode_length,72
0,330,episode_reward,-277.770222
0,330,episode_length,103
0,330,episode_reward,-93.03222
0,330,episode_length,120
0,331,episode_reward,-133.150191
0,331,episode_length,74
0,331,episode_reward,-52.599259
0,331,episode_length,80
0,332,episode_reward,-419.901771
0,332,episode_length,112
0,336,episode_reward,-51.312551
0,336,episode_length,77
0,341,episode_reward,-452.031435
0,341,episode_length,88
0,341,episode_reward,-112.535081
0,341,episode_length,66
0,346,episode_reward,-533.360778
0,346,episode_length,103
0,346,episode_reward,-55.309745
0,346,episode_length,71
0,355,episode_reward,-184.115468
0,355,episode_length,80
0,358,episode_reward,-341.526899
0,358,episode_length,66
0,358,episode_reward,-355.888038
0,358,episode_length,96
0,358,episode_reward,-161.550234
0,358,episode_length,66
0,358,episode_reward,-560.573568
0,358,episode_length,88
0,360,episode_reward,-441.452168
0,360,episode_length,123
0,365,episode_reward,-400.112612
0,365,episode_length,80
0,373,episode_reward,-241.660699
0,373,episode_length,99
0,376,episode_reward,-187.976289
0,376,episode_length,123
0,377,episode_reward,-195.477182
0,377,episode_length,87
0,384,episode_reward,-125.015538
0,384,episode_length,105
0,387,episode_reward,-331.671507
0,387,episode_length,101
0,391,episode_reward,-474.560899
0,391,episode_length,115
0,392,episode_reward,-117.132889
0,392,episode_length,76
0,397,episode_reward,-466.828736
0,397,episode_length,109
0,397,episode_reward,-215.459375
0,397,episode_length,81
0,401,episode_reward,-446.314716
0,401,episode_length,93
0,405,episode_reward,-436.091943
0,405,episode_length,76
0,405,episode_reward,-333.828988
0,405,episode_length,69
0,412,episode_reward,-545.633466
0,412,episode_length,101
0,413,episode_reward,-174.997869
0,413,episode_length,72
0,421,episode_reward,-386.569639
0,421,episode_length,109
0,426,episode_reward,-161.088352
0,426,episode_length,95
0,429,episode_reward,-341.976905
0,429,episode_length,83
0,434,episode_reward,-577.455908
0,434,episode_length,105
0,438,episode_reward,-385.127524
0,438,episode_length,83
0,439,episode_reward,-557.943077
0,439,episode_length,107
0,439,episode_reward,-422.971145
0,439,episode_length,98
0,440,episode_reward,-452.461547
0,440,episode_length,110
0,442,episode_reward,-256.11197
0,442,episode_length,112
0,447,episode_reward,-588.145025
0,447,episode_length,89
0,447,episode_reward,-171.742546
0,447,episode_length,63
0,447,episode_reward,-168.446217
0,447,episode_length,135
0,449,episode_reward,-116.111647
0,449,episode_length,84
0,454,episode_reward,-142.46591
0,454,episode_length,96
0,455,episode_reward,-274.444415
0,455,episode_length,58
0,455,episode_reward,-331.948315
0,455,episode_length,95
0,460,episode_reward,-175.467632
0,460,episode_length,69
0,464,episode_reward,-332.144448
0,464,episode_length,67
0,468,episode_reward,-340.892201
0,468,episode_length,137
0,471,episode_reward,-465.197298
0,471,episode_length,79
0,473,episode_reward,-349.029914
0,473,episode_length,96
0,473,episode_reward,-138.370727
0,473,episode_length,72
0,473,episode_reward,-429.642178
0,473,episode_length,127
0,474,episode_reward,-188.216128
0,474,episode_length,69
0,488,episode_reward,-206.092579
0,488,episode_length,130
0,500,episode_reward,-255.227332
0,500,episode_length,142
0,500,episode_reward,-270.439094
0,500,episode_length,95
0,502,episode_reward,-177.735591
0,502,episode_length,129
0,504,episode_reward,-521.724245
0,504,episode_length,117
0,506,episode_reward,-93.011661
0,506,episode_length,67
0,509,episode_reward,-126.620009
0,509,episode_length,133
0,510,episode_reward,-116.36424
0,510,episode_length,70
0,510,episode_reward,-250.008774
0,510,episode_length,89
0,514,episode_reward,-196.904664
0,514,episode_length,60
0,523,episode_reward,-435.547489
0,523,episode_length,111
0,525,episode_reward,-306.399074
0,525,episode_length,76
0,529,episode_reward,-56.459845
0,529,episode_length,74
0,534,episode_reward,-269.776623
0,534,episode_length,100
0,534,episode_reward,-411.72558
0,534,episode_length,105
0,537,episode_reward,-286.700923
0,537,episode_length,73
0,537,episode_reward,-133.632898
0,537,episode_length,64
0,542,episode_reward,-184.422005
0,542,episode_length,103
0,542,episode_reward,-243.829125
0,542,episode_length,129
0,544,episode_reward,-511.917055
0,544,episode_length,118
0,550,episode_reward,-277.702365
0,550,episode_length,95
0,550,episode_reward,-213.018795
0,550,episode_length,108
0,552,episode_reward,-603.298904
0,552,episode_length,105
0,557,episode_reward,-443.960065
0,557,episode_length,97
0,558,episode_reward,-455.802203
0,558,episode_length,111
0,559,episode_reward,-11.647337
0,559,episode_length,121
0,567,episode_reward,-233.732947
0,567,episode_length,94
0,570,episode_reward,-83.257678
0,570,episode_length,68
0,572,episode_reward,-262.239215
0,572,episode_length,68
0,578,episode_reward,-611.450544
0,578,episode_length,104
0,582,episode_reward,-498.680247
0,582,episode_length,82
0,585,episode_reward,-157.192121
0,585,episode_length,112
0,585,episode_reward,-388.98866
0,585,episode_length,97
0,586,episode_reward,-103.693733
0,586,episode_length,76
0,591,episode_reward,-505.009349
0,591,episode_length,144
0,593,episode_reward,-65.226346
0,593,episode_length,125
0,595,episode_reward,-129.147409
0,595,episode_length,86
0,597,episode_reward,-452.607222
0,597,episode_length,87
0,602,episode_reward,-219.442278
0,602,episode_length,96
0,604,episode_reward,-321.270935
0,604,episode_length,75
0,607,episode_reward,-152.27629
0,607,episode_length,73
0,611,episode_reward,-130.508622
0,611,episode_length,111
0,612,episode_reward,-258.111341
0,612,episode_length,70
0,612,episode_reward,-364.578169
0,612,episode_length,98
0,613,episode_reward,-121.989307
0,613,episode_length,71
0,614,episode_reward,-498.678397
0,614,episode_length,143
0,615,episode_reward,-195.468004
0,615,episode_length,81
0,616,episode_reward,-238.061604
0,616,episode_length,93
0,630,episode_reward,-354.356284
0,630,episode_length,71
0,630,episode_reward,-433.770962
0,630,episode_length,105
0,645,episode_reward,-321.601894
0,645,episode_length,88
0,646,episode_reward,-324.752632
0,646,episode_length,94
0,648,episode_reward,-545.256853
0,648,episode_length,111
0,650,episode_reward,-444.771587
0,650,episode_length,68
0,658,episode_reward,-511.565692
0,658,episode_length,108
0,660,episode_reward,-423.188887
0,660,episode_length,123
0,660,episode_reward,-451.042415
0,660,episode_length,93
0,662,episode_reward,-265.276332
0,662,episode_length,77
0,662,episode_reward,-300.234764
0,662,episode_length,92
0,662,episode_reward,-256.289728
0,662,episode_length,112
0,663,episode_reward,-110.85491
0,663,episode_length,72
0,665,episode_reward,-436.826574
0,665,episode_length,121
0,668,episode_reward,-238.073596
0,668,episode_length,90
0,672,episode_reward,-488.86124
0,672,episode_length,100
0,675,episode_reward,-204.22799
0,675,episode_length,61
0,680,episode_reward,-217.49506
0,680,episode_length,94
0,683,episode_reward,-308.494484
0,683,episode_length,79
0,684,episode_reward,-78.259296
0,684,episode_length,72
0,684,episode_reward,-251.506188
0,684,episode_length,89
0,693,episode_reward,-117.34378
0,693,episode_length,91
0,699,episode_reward,-34.646049
0,699,episode_length,102
0,700,episode_reward,-525.842359
0,700,episode_length,88
0,700,episode_reward,-299.196435
0,700,episode_length,115
0,706,episode_reward,-437.280135
0,706,episode_length,113
0,710,episode_reward,-455.887685
0,710,episode_length,80
0,711,episode_reward,-136.77815
0,711,episode_length,95
0,714,episode_reward,-213.286541
0,714,episode_length,84
0,721,episode_reward,-518.217695
0,721,episode_length,114
0,722,episode_reward,-476.055939
0,722,episode_length,164
0,730,episode_reward,-172.741942
0,730,episode_length,68
0,732,episode_reward,-91.846146
0,732,episode_length,87
0,732,episode_reward,-409.353775
0,732,episode_length,117
0,734,episode_reward,-263.734499
0,734,episode_length,71
0,734,episode_reward,-259.122362
0,734,episode_length,74
0,742,episode_reward,-132.14596
0,742,episode_length,129
0,746,episode_reward,-384.655426
0,746,episode_length,96
0,746,episode_reward,-99.687281
0,746,episode_length,71
0,746,episode_reward,-374.016668
0,746,episode_length,100
0,748,episode_reward,-3.017167
0,748,episode_length,86
0,750,episode_reward,-410.013796
0,750,episode_length,90
0,754,episode_reward,-130.38291
0,754,episode_length,143
0,762,episode_reward,-76.14437
0,762,episode_length,100
0,764,episode_reward,-143.661374
0,764,episode_length,106
0,765,episode_reward,-629.72399
0,765,episode_length,97
0,766,episode_reward,-389.55847
0,766,episode_length,118
0,768,episode_reward,-565.728855
0,768,episode_length,85
0,772,episode_reward,-279.699748
0,772,episode_length,100
0,775,episode_reward,-230.495571
0,775,episode_length,110
0,775,episode_reward,-217.028586
0,775,episode_length,76
0,779,episode_reward,-164.013669
0,779,episode_length,95
0,791,episode_reward,-284.849183
0,791,episode_length,98
0,792,episode_reward,-87.348007
0,792,episode_length,60
0,793,episode_reward,-127.011876
0,793,episode_length,93
0,793,episode_reward,-4.067441
0,793,episode_length,113
0,794,episode_reward,-248.083124
0,794,episode_length,110
0,797,episode_reward,-419.537552
0,797,episode_length,91
0,798,episode_reward,-473.411308
0,798,episode_length,98
0,801,episode_reward,-426.087272
0,801,episode_length,90
0,807,episode_reward,-256.978623
0,807,episode_length,61
0,811,episode_reward,-181.943919
0,811,episode_length,77
0,812,episode_reward,-390.444364
0,812,episode_length,62
0,813,episode_reward,-175.426751
0,813,episode_length,81
0,818,episode_reward,-298.041711
0,818,episode_length,70
0,819,episode_reward,-103.293045
0,819,episode_length,65
0,823,episode_reward,-210.054006
0,823,episode_length,101
0,824,episode_reward,-186.135925
0,824,episode_length,82
0,826,episode_reward,-195.647917
0,826,episode_length,80
0,827,episode_reward,-362.16164
0,827,episode_length,81
0,827,episode_reward,-643.849057
0,827,episode_length,97
0,829,episode_reward,-241.51302
0,829,episode_length,115
0,837,episode_reward,-298.296037
0,837,episode_length,65
0,838,episode_reward,-391.275086
0,838,episode_length,74
0,843,episode_reward,-264.199301
0,843,episode_length,75
0,843,episode_reward,-268.779418
0,843,episode_length,78
0,843,episode_reward,-489.350558
0,843,episode_length,122
0,843,episode_reward,-512.356021
0,843,episode_length,133
0,855,episode_reward,-324.638087
0,855,episode_length,80
0,858,episode_reward,-74.831475
0,858,episode_length,65
0,863,episode_reward,-267.205911
0,863,episode_length,129
0,864,episode_reward,-166.959485
0,864,episode_length,98
0,866,episode_reward,-363.050714
0,866,episode_length,73
0,868,episode_reward,-87.475501
0,868,episode_length,67
0,868,episode_reward,-252.245007
0,868,episode_length,106
0,871,episode_reward,-379.675861
0,871,episode_length,79
0,874,episode_reward,-432.665801
0,874,episode_length,95
0,878,episode_reward,-202.204826
0,878,episode_length,103
0,879,episode_reward,-554.250088
0,879,episode_length,88
0,881,episode_reward,-160.979258
0,881,episode_length,57
0,882,episode_reward,-343.967581
0,882,episode_length,84
0,887,episode_reward,-202.806516
0,887,episode_length,74
0,892,episode_reward,-80.571011
0,892,episode_length,69
0,894,episode_reward,-390.313102
0,894,episode_length,75
0,895,episode_reward,-207.833071
0,895,episode_length,66
0,898,episode_reward,-138.159961
0,898,episode_length,101
0,898,episode_reward,-422.418435
0,898,episode_length,87
0,899,episode_reward,-264.759281
0,899,episode_length,61
0,900,episode_reward,-180.861237
0,900,episode_length,106
0,905,episode_reward,-167.405076
0,905,episode_length,98
0,905,episode_reward,-390.856005
0,905,episode_length,79
0,905,episode_reward,-372.434381
0,905,episode_length,87
0,907,episode_reward,-113.323079
0,907,episode_length,64
0,917,episode_reward,-149.283771
0,917,episode_length,90
0,917,episode_reward,-245.708879
0,917,episode_length,105
0,924,episode_reward,-236.308683
0,924,episode_length,69
0,925,episode_reward,-167.941059
0,925,episode_length,98
0,931,episode_reward,-387.480081
0,931,episode_length,73
0,935,episode_reward,-78.431461
0,935,episode_length,67
0,935,episode_reward,-87.678163
0,935,episode_length,69
0,945,episode_reward,-89.723897
0,945,episode_length,66
0,951,episode_reward,-352.279297
0,951,episode_length,73
0,952,episode_reward,-374.332357
0,952,episode_length,109
0,953,episode_reward,-139.098493
0,953,episode_length,66
0,954,episode_reward,-506.368131
0,954,episode_length,117
0,955,episode_reward,-212.20034
0,955,episode_length,81
0,956,episode_reward,-351.45932
0,956,episode_length,113
0,960,episode_reward,-263.574314
0,960,episode_length,117
0,960,episode_reward,-251.029958
0,960,episode_length,96
0,972,episode_reward,-452.61161
0,972,episode_length,90
0,973,episode_reward,-21.29914
0,973,episode_length,81
0,974,episode_reward,-316.520185
0,974,episode_length,106
0,974,episode_reward,-360.490031
0,974,episode_length,69
0,981,episode_reward,-210.009869
0,981,episode_length,118
0,982,episode_reward,-336.90384
0,982,episode_length,84
0,988,episode_reward,-211.472005
0,988,episode_length,117
0,991,episode_reward,-408.47104
0,991,episode_length,93
0,995,episode_reward,-442.439908
0,995,episode_length,78
0,998,episode_reward,-374.057048
0,998,episode_length,98
0,999,episode_reward,-511.020495
0,999,episode_length,105
0,1005,episode_reward,-466.47241
0,1005,episode_length,110
0,1008,episode_reward,-183.195644
0,1008,episode_length,127
0,1011,episode_reward,-576.399967
0,1011,episode_length,106
0,1013,episode_reward,-91.099234
0,1013,episode_length,96
0,1016,episode_reward,-131.869797
0,1016,episode_length,117
0,1019,episode_reward,-389.168284
0,1019,episode_length,95
0,1021,episode_reward,-336.842323
0,1021,episode_length,86
0,1022,episode_reward,-414.797452
0,1022,episode_length,91
0,1022,episode_reward,-222.404789
0,1022,episode_length,97
0,1023,episode_reward,-182.882148
0,1023,episode_length,71
0,1023,episode_reward,-99.793695
0,1023,episode_length,68
0,1024,episode_reward,0.50733
0,1024,episode_length,79
0,1030,episode_reward,-372.863819
0,1030,episode_length,125
0,1033,episode_reward,-267.964367
0,1033,episode_length,126
0,1034,episode_reward,-330.964661
0,1034,episode_length,60
0,1035,episode_reward,-365.112222
0,1035,episode_length,100
0,1037,episode_reward,-74.520391
0,1037,episode_length,63
0,1041,episode_reward,-113.072677
0,1041,episode_length,87
0,1046,episode_reward,-198.478913
0,1046,episode_length,90
0,1055,episode_reward,-365.446271
0,1055,episode_length,102
0,1064,episode_reward,-296.28449
0,1064,episode_length,76
0,1064,episode_reward,-456.323179
0,1064,episode_length,92
0,1066,episode_reward,-275.327817
0,1066,episode_length,85
0,1071,episode_reward,-135.439228
0,1071,episode_length,89
0,1077,episode_reward,-197.673879
0,1077,episode_length,104
0,1078,episode_reward,-541.585391
0,1078,episode_length,118
0,1085,episode_reward,-129.901695
0,1085,episode_length,134
0,1086,episode_reward,-163.133285
0,1086,episode_length,73
0,1087,episode_reward,-97.657927
0,1087,episode_length,65
0,1088,episode_reward,-398.996744
0,1088,episode_length,97
0,1090,episode_reward,-119.231955
0,1090,episode_length,85
0,1091,episode_reward,-495.647191
0,1091,episode_length,96
0,1092,episode_reward,-227.744852
0,1092,episode_length,132
0,1094,episode_reward,-287.290259
0,1094,episode_length,83
0,1096,episode_reward,-547.259305
0,1096,episode_length,97
0,1098,episode_reward,-240.070669
0,1098,episode_length,100
0,1099,episode_reward,-114.735387
0,1099,episode_length,75
0,1103,episode_reward,-442.425712
0,1103,episode_length,95
0,1117,episode_reward,-15.511899
0,1117,episode_length,98
0,1119,episode_reward,-172.358202
0,1119,episode_length,96
0,1119,episode_reward,-427.312401
0,1119,episode_length,85
0,1126,episode_reward,-118.758645
0,1126,episode_length,62
0,1126,episode_reward,-571.003895
0,1126,episode_length,103
0,1127,episode_reward,-218.403619
0,1127,episode_length,81
0,1130,episode_reward,-230.473728
0,1130,episode_length,75
0,1132,episode_reward,-317.697554
0,1132,episode_length,110
0,1132,episode_reward,-203.400496
0,1132,episode_length,99
0,1136,episode_reward,-331.733952
0,1136,episode_length,115
0,1140,episode_reward,-119.937333
0,1140,episode_length,62
0,1140,episode_reward,-329.688298
0,1140,episode_length,103
0,1142,episode_reward,-137.234576
0,1142,episode_length,126
0,1142,episode_reward,-208.277077
0,1142,episode_length,112
0,1144,episode_reward,-565.435976
0,1144,episode_length,103
0,1161,episode_reward,-3.140842
0,1161,episode_length,97
0,1161,episode_reward,-110.593102
0,1161,episode_length,63
0,1162,episode_reward,-198.340832
0,1162,episode_length,71
0,1169,episode_reward,-377.030864
0,1169,episode_length,98
0,1170,episode_reward,-265.590792
0,1170,episode_length,80
0,1173,episode_reward,-430.350978
0,1173,episode_length,138
0,1173,episode_reward,-149.190629
0,1173,episode_length,77
0,1174,episode_reward,-343.814983
0,1174,episode_length,88
0,1175,episode_reward,-501.08058
0,1175,episode_length,90
0,1177,episode_reward,-116.995212
0,1177,episode_length,83
0,1179,episode_reward,-122.319164
0,1179,episode_length,113
0,1190,episode_reward,-350.773197
0,1190,episode_length,113
0,1193,episode_reward,-456.579408
0,1193,episode_length,105
0,1195,episode_reward,-170.320625
0,1195,episode_length,69
0,1196,episode_reward,-632.763438
0,1196,episode_length,104
0,1201,episode_reward,-200.177547
0,1201,episode_length,69
0,1205,episode_reward,-8.963376
0,1205,episode_length,63
0,1205,episode_reward,-579.133027
0,1205,episode_length,78
0,1207,episode_reward,-147.828933
0,1207,episode_length,104
0,1210,episode_reward,-229.878098
0,1210,episode_length,78
0,1210,episode_reward,-265.140127
0,1210,episode_length,91
0,1212,episode_reward,-600.207915
0,1212,episode_length,113
0,1215,episode_reward,-507.976691
0,1215,episode_length,98
0,1216,episode_reward,-412.802527
0,1216,episode_length,129
0,1221,episode_reward,-318.881483
0,1221,episode_length,79
0,1222,episode_reward,-381.426142
0,1222,episode_length,92
0,1223,episode_reward,-106.237868
0,1223,episode_length,87
0,1225,episode_reward,-285.735845
0,1225,episode_length,85
0,1225,episode_reward,-225.408547
0,1225,episode_length,106
0,1231,episode_reward,-389.350689
0,1231,episode_length,69
0,1232,episode_reward,-196.697847
0,1232,episode_length,106
0,1233,episode_reward,-438.213431
0,1233,episode_length,93
0,1241,episode_reward,-250.730934
0,1241,episode_length,71
0,1243,episode_reward,-273.642376
0,1243,episode_length,82
0,1245,episode_reward,-328.993168
0,1245,episode_length,71
0,1252,episode_reward,-430.905958
0,1252,episode_length,75
0,1257,episode_reward,-580.164121
0,1257,episode_length,96
0,1263,episode_reward,-85.301259
0,1263,episode_length,56
0,1264,episode_reward,-478.144307
0,1264,episode_length,91
0,1265,episode_reward,-205.387838
0,1265,episode_length,55
0,1271,episode_reward,-138.861849
0,1271,episode_length,96
0,1276,episode_reward,-238.756621
0,1276,episode_length,60
0,1280,episode_reward,-117.482799
0,1280,episode_length,79
0,1282,episode_reward,-263.703231
0,1282,episode_length,77
0,1285,episode_reward,-109.440758
0,1285,episode_length,92
0,1289,episode_reward,-418.158883
0,1289,episode_length,145
0,1291,episode_reward,-443.651892
0,1291,episode_length,118
0,1296,episode_reward,-527.399205
0,1296,episode_length,127
0,1299,episode_reward,-202.559929
0,1299,episode_length,87
0,1300,episode_reward,-166.46786
0,1300,episode_length,75
0,1302,episode_reward,-2.408311
0,1302,episode_length,97
0,1308,episode_reward,-265.472367
0,1308,episode_length,118
0,1308,episode_reward,-247.267118
0,1308,episode_length,75
0,1309,episode_reward,-549.497369
0,1309,episode_length,114
0,1310,episode_reward,-144.292674
0,1310,episode_length,131
0,1313,episode_reward,-114.554459
0,1313,episode_length,117
0,1314,episode_reward,-245.978404
0,1314,episode_length,93
0,1321,episode_reward,-377.675366
0,1321,episode_length,98
0,1325,episode_reward,-246.48512
0,1325,episode_length,100
0,1326,episode_reward,-435.866242
0,1326,episode_length,104
0,1328,episode_reward,-197.305769
0,1328,episode_length,118
0,1331,episode_reward,-332.04891
0,1331,episode_length,100
0,1332,episode_reward,-264.638528
0,1332,episode_length,68
0,1338,episode_reward,-291.671861
0,1338,episode_length,123
0,1339,episode_reward,-72.716245
0,1339,episode_length,76
0,1340,episode_reward,-278.090989
0,1340,episode_length,88
0,1343,episode_reward,-137.506368
0,1343,episode_length,86
0,1344,episode_reward,-286.99969
0,1344,episode_length,101
0,1347,episode_reward,-333.224328
0,1347,episode_length,115
0,1352,episode_reward,-94.87987
0,1352,episode_length,81
0,1355,episode_reward,-193.2306
0,1355,episode_length,110
0,1366,episode_reward,-214.387244
0,1366,episode_length,70
0,1367,episode_reward,-61.173088
0,1367,episode_length,78
0,1369,episode_reward,-337.037402
0,1369,episode_length,128
0,1371,episode_reward,-165.13028
0,1371,episode_length,91
0,1372,episode_reward,-155.110156
0,1372,episode_length,90
0,1374,episode_reward,-167.888788
0,1374,episode_length,65
0,1374,episode_reward,-218.965551
0,1374,episode_length,72
0,1375,episode_reward,-100.356349
0,1375,episode_length,110
0,1379,episode_reward,-464.032439
0,1379,episode_length,88
0,1380,episode_reward,-131.650975
0,1380,episode_length,81
0,1382,episode_reward,-102.508062
0,1382,episode_length,74
0,1382,episode_reward,-561.244759
0,1382,episode_length,97
0,1382,episode_reward,-181.35152
