round,step,metric,value
0,90,episode_reward,-546.467619
0,90,episode_length,90
0,95,episode_reward,-468.06603
0,95,episode_length,95
0,99,episode_reward,-433.722697
0,99,episode_length,99
0,105,episode_reward,-582.909635
0,105,episode_length,105
0,105,episode_reward,-567.789668
0,105,episode_length,105
0,107,episode_reward,-391.226784
0,107,episode_length,107
0,113,episode_reward,-261.304723
0,113,episode_length,113
0,114,episode_reward,-425.551071
0,114,episode_length,114
0,114,episode_reward,-219.718151
0,114,episode_length,114
0,117,episode_reward,-498.573947
0,117,episode_length,117
0,120,episode_reward,-681.989445
0,120,episode_length,120
0,126,episode_reward,-339.916536
0,126,episode_length,126
0,145,episode_reward,-521.40994
0,145,episode_length,145
0,147,episode_reward,-441.278631
0,147,episode_length,147
0,149,episode_reward,-463.6406
0,149,episode_length,149
0,154,episode_reward,-518.600119
0,154,episode_length,154
0,166,episode_reward,-810.949713
0,166,episode_length,166
0,173,episode_reward,-532.662815
0,173,episode_length,173
0,175,episode_reward,-553.064191
0,175,episode_length,175
0,189,episode_reward,-671.004789
0,189,episode_length,189
0,198,episode_reward,-583.983746
0,198,episode_length,91
0,203,episode_reward,-627.835183
0,203,episode_length,203
0,216,episode_reward,-513.547554
0,216,episode_length,216
0,222,episode_reward,-542.175518
0,222,episode_length,117
0,222,episode_reward,-465.154621
0,222,episode_length,108
0,224,episode_reward,-812.294033
0,224,episode_length,224
0,227,episode_reward,-641.27745
0,227,episode_length,227
0,235,episode_reward,-455.294817
0,235,episode_length,109
0,249,episode_reward,-447.694634
0,249,episode_length,104
0,253,episode_reward,-495.488103
0,253,episode_length,148
0,253,episode_reward,-1009.117568
0,253,episode_length,253
0,261,episode_reward,-516.626141
0,261,episode_length,114
0,269,episode_reward,-468.101808
0,269,episode_length,156
0,291,episode_reward,-885.142411
0,291,episode_length,291
0,307,episode_reward,-1331.123208
0,307,episode_length,208
0,308,episode_reward,-497.57047
0,308,episode_length,105
0,310,episode_reward,-945.474948
0,310,episode_length,190
0,313,episode_reward,-535.683463
0,313,episode_length,147
0,323,episode_reward,-511.676076
0,323,episode_length,209
0,326,episode_reward,-409.191928
0,326,episode_length,104
0,330,episode_reward,-700.889539
0,330,episode_length,213
0,341,episode_reward,-1743.233648
0,341,episode_length,341
0,345,episode_reward,-647.695258
0,345,episode_length,121
0,356,episode_reward,-827.537925
0,356,episode_length,356
0,370,episode_reward,-230.367874
0,370,episode_length,275
0,377,episode_reward,-650.374006
0,377,episode_length,142
0,383,episode_reward,-1277.743273
0,383,episode_length,383
0,391,episode_reward,-506.804232
0,391,episode_length,169
0,392,episode_reward,-413.739832
0,392,episode_length,243
0,396,episode_reward,-813.876586
0,396,episode_length,169
0,397,episode_reward,-411.023606
0,397,episode_length,222
0,398,episode_reward,-465.747584
0,398,episode_length,90
0,398,episode_reward,-663.352072
0,398,episode_length,145
0,406,episode_reward,-571.657928
0,406,episode_length,83
0,408,episode_reward,-1286.15701
0,408,episode_length,408
0,422,episode_reward,-644.670528
0,422,episode_length,161
0,433,episode_reward,-577.903722
0,433,episode_length,180
0,440,episode_reward,-451.51902
0,440,episode_length,99
0,441,episode_reward,-969.691898
0,441,episode_length,441
0,451,episode_reward,-369.109819
0,451,episode_length,297
0,455,episode_reward,-498.382593
0,455,episode_length,164
0,469,episode_reward,-510.996964
0,469,episode_length,92
0,473,episode_reward,-1016.757795
0,473,episode_length,300
0,474,episode_reward,-690.774723
0,474,episode_length,161
0,478,episode_reward,-1239.841032
0,478,episode_length,229
0,481,episode_reward,-926.444591
0,481,episode_length,212
0,488,episode_reward,-1652.113034
0,488,episode_length,398
0,501,episode_reward,-869.275748
0,501,episode_length,191
0,509,episode_reward,-675.980791
0,509,episode_length,117
0,511,episode_reward,-1012.369784
0,511,episode_length,313
0,511,episode_reward,-424.865326
0,511,episode_length,114
0,519,episode_reward,-716.832084
0,519,episode_length,136
0,525,episode_reward,-489.557084
0,525,episode_length,103
0,550,episode_reward,-396.451173
0,550,episode_length,159
0,553,episode_reward,-708.253528
0,553,episode_length,145
0,568,episode_reward,-971.965412
0,568,episode_length,170
0,575,episode_reward,-666.126237
0,575,episode_length,219
0,575,episode_reward,-826.751819
0,575,episode_length,142
0,577,episode_reward,-272.308441
0,577,episode_length,179
0,583,episode_reward,-1192.469385
0,583,episode_length,257
0,588,episode_reward,-689.872209
0,588,episode_length,243
0,595,episode_reward,-725.651199
0,595,episode_length,121
0,597,episode_reward,-459.851483
0,597,episode_length,86
0,600,episode_reward,-910.226787
0,600,episode_length,411
0,600,episode_reward,-659.713095
0,600,episode_length,204
0,603,episode_reward,-963.729894
0,603,episode_length,296
0,612,episode_reward,-448.64984
0,612,episode_length,134
0,622,episode_reward,-647.65237
0,622,episode_length,167
0,632,episode_reward,-2519.516832
0,632,episode_length,632
0,634,episode_reward,-479.321394
0,634,episode_length,115
0,660,episode_reward,-844.142848
0,660,episode_length,219
0,668,episode_reward,-400.786292
0,668,episode_length,228
0,677,episode_reward,-265.747629
0,677,episode_length,168
0,692,episode_reward,-591.193683
0,692,episode_length,322
0,694,episode_reward,-598.076548
0,694,episode_length,99
0,698,episode_reward,-399.166662
0,698,episode_length,123
0,704,episode_reward,-1526.408303
0,704,episode_length,488
0,706,episode_reward,-242.819834
0,706,episode_length,131
0,713,episode_reward,-604.232633
0,713,episode_length,110
0,721,episode_reward,-835.201321
0,721,episode_length,248
0,722,episode_reward,-594.234373
0,722,episode_length,234
0,730,episode_reward,-442.111234
0,730,episode_length,162
0,732,episode_reward,-1018.417298
0,732,episode_length,221
0,733,episode_reward,-690.498981
0,733,episode_length,111
0,734,episode_reward,-473.815037
0,734,episode_length,253
0,736,episode_reward,-401.925535
0,736,episode_length,124
0,736,episode_reward,-313.862665
0,736,episode_length,406
0,750,episode_reward,-678.477952
0,750,episode_length,225
0,751,episode_reward,-408.20101
0,751,episode_length,119
0,763,episode_reward,-543.012243
0,763,episode_length,210
0,766,episode_reward,-530.653951
0,766,episode_length,169
0,769,episode_reward,-788.815634
0,769,episode_length,181
0,802,episode_reward,-1132.139012
0,802,episode_length,351
0,802,episode_reward,-652.185737
0,802,episode_length,225
0,808,episode_reward,-914.715473
0,808,episode_length,208
0,812,episode_reward,-845.418384
0,812,episode_length,311
