round,step,metric,value
0,89,episode_reward,-439.25245
0,89,episode_length,89
0,92,episode_reward,-398.605715
0,92,episode_length,92
0,95,episode_reward,-294.848995
0,95,episode_length,95
0,96,episode_reward,7.537394
0,96,episode_length,96
0,97,episode_reward,-369.464225
0,97,episode_length,97
0,98,episode_reward,-434.253021
0,98,episode_length,98
0,99,episode_reward,-346.616369
0,99,episode_length,99
0,104,episode_reward,-550.6426
0,104,episode_length,104
0,108,episode_reward,-351.198317
0,108,episode_length,108
0,112,episode_reward,-201.702904
0,112,episode_length,112
0,115,episode_reward,-414.676982
0,115,episode_length,115
0,127,episode_reward,-509.99148
0,127,episode_length,127
0,129,episode_reward,-443.581866
0,129,episode_length,129
0,138,episode_reward,-425.253488
0,138,episode_length,138
0,154,episode_reward,-444.464484
0,154,episode_length,154
0,155,episode_reward,-553.493569
0,155,episode_length,155
0,157,episode_reward,-314.094087
0,157,episode_length,157
0,166,episode_reward,-681.143301
0,166,episode_length,166
0,179,episode_reward,-756.20099
0,179,episode_length,179
0,181,episode_reward,-452.07198
0,181,episode_length,89
0,183,episode_reward,-55.548067
0,183,episode_length,183
0,183,episode_reward,-541.204021
0,183,episode_length,85
0,198,episode_reward,-661.210609
0,198,episode_length,198
0,201,episode_reward,-472.996605
0,201,episode_length,201
0,218,episode_reward,-587.873829
0,218,episode_length,119
0,225,episode_reward,-470.39768
0,225,episode_length,136
0,229,episode_reward,-628.776031
0,229,episode_length,102
0,231,episode_reward,-774.109864
0,231,episode_length,231
0,232,episode_reward,-284.865918
0,232,episode_length,120
0,235,episode_reward,-490.999225
0,235,episode_length,131
0,235,episode_reward,-671.096532
0,235,episode_length,235
0,239,episode_reward,-581.622877
0,239,episode_length,144
0,241,episode_reward,-552.146249
0,241,episode_length,241
0,248,episode_reward,-946.998222
0,248,episode_length,248
0,251,episode_reward,-495.115935
0,251,episode_length,96
0,262,episode_reward,-484.329658
0,262,episode_length,165
0,274,episode_reward,-226.291766
0,274,episode_length,145
0,282,episode_reward,-1158.262123
0,282,episode_length,282
0,282,episode_reward,-509.447957
0,282,episode_length,81
0,286,episode_reward,-518.844285
0,286,episode_length,107
0,287,episode_reward,-244.285087
0,287,episode_length,121
0,288,episode_reward,-433.653124
0,288,episode_length,288
0,300,episode_reward,-449.350684
0,300,episode_length,192
0,306,episode_reward,-570.475021
0,306,episode_length,152
0,306,episode_reward,-604.837194
0,306,episode_length,168
0,309,episode_reward,-493.844699
0,309,episode_length,152
0,318,episode_reward,-706.793555
0,318,episode_length,135
0,321,episode_reward,-596.404578
0,321,episode_length,140
0,324,episode_reward,-363.595636
0,324,episode_length,324
0,325,episode_reward,-373.682346
0,325,episode_length,96
0,329,episode_reward,-489.628086
0,329,episode_length,78
0,331,episode_reward,-211.031352
0,331,episode_length,96
0,341,episode_reward,-443.775073
0,341,episode_length,123
0,343,episode_reward,-622.529089
0,343,episode_length,145
0,348,episode_reward,-1015.374454
0,348,episode_length,348
0,361,episode_reward,-704.574573
0,361,episode_length,246
0,364,episode_reward,-643.839463
0,364,episode_length,364
0,370,episode_reward,-512.507649
0,370,episode_length,187
0,372,episode_reward,-558.198224
0,372,episode_length,276
0,373,episode_reward,-470.110307
0,373,episode_length,132
0,373,episode_reward,-372.613059
0,373,episode_length,138
0,383,episode_reward,-430.191483
0,383,episode_length,101
0,388,episode_reward,-167.213558
0,388,episode_length,100
0,392,episode_reward,-952.681961
0,392,episode_length,160
0,397,episode_reward,-573.679722
0,397,episode_length,91
0,410,episode_reward,-713.753834
0,410,episode_length,162
0,415,episode_reward,-227.280724
0,415,episode_length,106
0,421,episode_reward,-630.970279
0,421,episode_length,147
0,429,episode_reward,-407.186885
0,429,episode_length,143
0,439,episode_reward,-437.958646
0,439,episode_length,200
0,442,episode_reward,-514.0744
0,442,episode_length,211
0,443,episode_reward,-359.149329
0,443,episode_length,443
0,452,episode_reward,-481.246434
0,452,episode_length,111
0,456,episode_reward,-787.970336
0,456,episode_length,127
0,456,episode_reward,-988.279149
0,456,episode_length,194
0,460,episode_reward,-588.206783
0,460,episode_length,142
0,461,episode_reward,-487.905305
0,461,episode_length,179
0,462,episode_reward,-471.10352
0,462,episode_length,101
0,475,episode_reward,-555.650646
0,475,episode_length,150
0,476,episode_reward,-488.373674
0,476,episode_length,170
0,479,episode_reward,-515.444808
0,479,episode_length,136
0,494,episode_reward,-281.742625
0,494,episode_length,121
0,494,episode_reward,-629.63121
0,494,episode_length,121
0,496,episode_reward,-260.404059
0,496,episode_length,126
0,503,episode_reward,-550.887188
0,503,episode_length,216
0,507,episode_reward,-433.838795
0,507,episode_length,124
0,512,episode_reward,-463.457391
0,512,episode_length,191
0,523,episode_reward,-298.550885
0,523,episode_length,113
0,526,episode_reward,-553.509979
0,526,episode_length,162
0,527,episode_reward,-638.444691
0,527,episode_length,112
0,542,episode_reward,-359.031752
0,542,episode_length,242
0,547,episode_reward,-472.335087
0,547,episode_length,150
0,553,episode_reward,-445.766099
0,553,episode_length,222
0,555,episode_reward,-275.838025
0,555,episode_length,93
0,557,episode_reward,-85.02866
0,557,episode_length,96
0,558,episode_reward,-352.701782
0,558,episode_length,115
0,559,episode_reward,-434.898936
0,559,episode_length,171
0,561,episode_reward,-768.246825
0,561,episode_length,189
0,564,episode_reward,-1414.910192
0,564,episode_length,339
0,575,episode_reward,-462.852962
0,575,episode_length,100
0,589,episode_reward,-469.437751
0,589,episode_length,241
0,590,episode_reward,-340.92858
0,590,episode_length,96
0,591,episode_reward,-498.316511
0,591,episode_length,97
0,597,episode_reward,-355.830874
0,597,episode_length,273
0,598,episode_reward,-604.856782
0,598,episode_length,138
0,605,episode_reward,-655.779639
0,605,episode_length,126
0,608,episode_reward,-324.821752
0,608,episode_length,187
0,611,episode_reward,-632.320338
0,611,episode_length,104
0,614,episode_reward,-271.579963
0,614,episode_length,118
0,618,episode_reward,-1054.511524
0,618,episode_length,176
0,620,episode_reward,-403.334678
0,620,episode_length,144
0,624,episode_reward,-978.311184
0,624,episode_length,195
0,630,episode_reward,-489.625522
0,630,episode_length,88
0,636,episode_reward,-535.770574
0,636,episode_length,133
0,653,episode_reward,-364.601453
0,653,episode_length,106
0,662,episode_reward,-703.125242
0,662,episode_length,223
0,666,episode_reward,-585.4373
0,666,episode_length,140
0,674,episode_reward,-201.312419
0,674,episode_length,117
0,674,episode_reward,-373.848214
0,674,episode_length,113
0,687,episode_reward,-781.65971
0,687,episode_length,231
0,695,episode_reward,-435.059377
0,695,episode_length,98
0,699,episode_reward,-516.828624
0,699,episode_length,146
0,699,episode_reward,-345.435314
0,699,episode_length,108
0,700,episode_reward,-1189.385156
0,700,episode_length,244
0,701,episode_reward,-282.627635
0,701,episode_length,126
0,707,episode_reward,-517.820787
0,707,episode_length,99
0,708,episode_reward,-461.390216
0,708,episode_length,90
0,715,episode_reward,-472.921645
0,715,episode_length,156
0,717,episode_reward,-720.762511
0,717,episode_length,205
0,717,episode_reward,-586.959103
0,717,episode_length,153
0,718,episode_reward,-358.783703
0,718,episode_length,129
0,720,episode_reward,-1089.531838
0,720,episode_length,268
0,722,episode_reward,-500.636782
0,722,episode_length,167
0,732,episode_reward,-487.045771
0,732,episode_length,340
0,733,episode_reward,-774.339121
0,733,episode_length,210
0,736,episode_reward,-463.143773
0,736,episode_length,112
0,760,episode_reward,-418.478372
0,760,episode_length,146
0,760,episode_reward,-397.745702
0,760,episode_length,130
0,765,episode_reward,-578.801338
0,765,episode_length,207
0,770,episode_reward,-446.173619
0,770,episode_length,96
0,771,episode_reward,-584.02874
0,771,episode_length,166
0,775,episode_reward,-113.004523
0,775,episode_length,164
0,778,episode_reward,-572.389038
0,778,episode_length,116
0,782,episode_reward,-497.36963
0,782,episode_length,108
0,783,episode_reward,-488.110143
0,783,episode_length,147
0,795,episode_reward,-267.384478
0,795,episode_length,268
0,802,episode_reward,-638.35772
0,802,episode_length,149
0,802,episode_reward,-271.619617
0,802,episode_length,103
0,803,episode_reward,-356.208059
0,803,episode_length,104
0,805,episode_reward,-705.81789
0,805,episode_length,215
0,815,episode_reward,-212.52458
0,815,episode_length,217
0,820,episode_reward,-511.36451
0,820,episode_length,200
0,827,episode_reward,-166.313931
0,827,episode_length,161
0,841,episode_reward,-526.642159
0,841,episode_length,140
0,847,episode_reward,-693.178601
0,847,episode_length,139
0,847,episode_reward,-535.514415
0,847,episode_length,111
0,849,episode_reward,-536.904742
0,849,episode_length,154
0,853,episode_reward,-378.053068
0,853,episode_length,138
0,857,episode_reward,-825.54232
0,857,episode_length,157
0,865,episode_reward,-524.306237
0,865,episode_length,178
0,867,episode_reward,-375.17841
0,867,episode_length,96
0,870,episode_reward,-616.727631
0,870,episode_length,148
0,877,episode_reward,-430.280451
0,877,episode_length,160
0,877,episode_reward,-562.625792
0,877,episode_length,160
0,882,episode_reward,-297.083926
0,882,episode_length,99
0,884,episode_reward,-573.064304
0,884,episode_length,109
0,894,episode_reward,-409.011061
0,894,episode_length,161
0,896,episode_reward,-612.331288
0,896,episode_length,189
0,899,episode_reward,-183.780312
0,899,episode_length,97
0,901,episode_reward,-390.581166
0,901,episode_length,136
0,903,episode_reward,-598.679565
0,903,episode_length,185
0,905,episode_reward,-398.039208
0,905,episode_length,123
0,906,episode_reward,-282.937847
0,906,episode_length,146
0,906,episode_reward,-610.518623
0,906,episode_length,111
0,907,episode_reward,-483.807408
0,907,episode_length,105
0,919,episode_reward,-547.780115
0,919,episode_length,199
0,928,episode_reward,-930.521485
0,928,episode_length,196
0,936,episode_reward,-779.344043
0,936,episode_length,158
0,939,episode_reward,-261.690757
0,939,episode_length,134
0,952,episode_reward,-328.967281
0,952,episode_length,182
0,953,episode_reward,-342.094455
0,953,episode_length,133
0,955,episode_reward,-543.471614
0,955,episode_length,88
0,960,episode_reward,-353.238661
0,960,episode_length,145
0,963,episode_reward,-181.59335
0,963,episode_length,106
0,965,episode_reward,-630.090986
0,965,episode_length,116
0,973,episode_reward,-573.656947
0,973,episode_length,89
0,979,episode_reward,-424.043309
0,979,episode_length,102
0,990,episode_reward,-413.796953
0,990,episode_length,143
0,990,episode_reward,-726.721822
0,990,episode_length,143
0,992,episode_reward,-276.973032
0,992,episode_length,151
0,996,episode_reward,-388.333254
0,996,episode_length,119
0,998,episode_reward,-400.929233
0,998,episode_length,145
0,1010,episode_reward,-488.971844
0,1010,episode_length,91
0,1010,episode_reward,-271.748158
0,1010,episode_length,128
0,1014,episode_reward,-399.385973
0,1014,episode_length,111
0,1020,episode_reward,-377.582823
0,1020,episode_length,126
0,1022,episode_reward,-676.314475
0,1022,episode_length,121
0,1026,episode_reward,-412.125798
0,1026,episode_length,223
0,1038,episode_reward,-335.591849
0,1038,episode_length,142
0,1039,episode_reward,-431.96619
0,1039,episode_length,103
0,1040,episode_reward,-469.195319
0,1040,episode_length,280
0,1044,episode_reward,-592.50817
0,1044,episode_length,116
0,1049,episode_reward,-625.45989
0,1049,episode_length,143
0,1049,episode_reward,-637.757193
0,1049,episode_length,143
0,1074,episode_reward,-777.492293
0,1074,episode_length,204
0,1077,episode_reward,-627.847211
0,1077,episode_length,178
0,1080,episode_reward,-345.613953
0,1080,episode_length,90
0,1086,episode_reward,-209.045138
0,1086,episode_length,113
0,1090,episode_reward,-391.467011
0,1090,episode_length,111
0,1093,episode_reward,-294.213672
0,1093,episode_length,101
0,1098,episode_reward,-475.76709
0,1098,episode_length,191
0,1109,episode_reward,-384.117804
0,1109,episode_length,146
0,1114,episode_reward,-427.087686
0,1114,episode_length,88
0,1115,episode_reward,-569.467722
0,1115,episode_length,176
0,1116,episode_reward,-561.644853
0,1116,episode_length,211
0,1121,episode_reward,-508.891291
0,1121,episode_length,111
0,1122,episode_reward,-544.673853
0,1122,episode_length,83
0,1147,episode_reward,-568.522842
0,1147,episode_length,98
0,1148,episode_reward,-728.505205
0,1148,episode_length,195
0,1155,episode_reward,-517.515627
0,1155,episode_length,115
0,1162,episode_reward,-636.40793
0,1162,episode_length,210
0,1165,episode_reward,-710.033438
0,1165,episode_length,121
0,1165,episode_reward,-270.50326
0,1165,episode_length,127
0,1169,episode_reward,-725.058045
0,1169,episode_length,214
0,1172,episode_reward,-841.193446
0,1172,episode_length,212
0,1177,episode_reward,-471.430547
0,1177,episode_length,157
0,1177,episode_reward,-606.621576
0,1177,episode_length,128
0,1178,episode_reward,-726.548147
0,1178,episode_length,351
0,1184,episode_reward,-747.620597
0,1184,episode_length,162
0,1189,episode_reward,-949.638197
0,1189,episode_length,179
0,1194,episode_reward,-1132.838393
0,1194,episode_length,196
0,1201,episode_reward,-463.335581
0,1201,episode_length,115
0,1209,episode_reward,-525.578565
0,1209,episode_length,344
0,1209,episode_reward,-565.443078
0,1209,episode_length,100
0,1215,episode_reward,-506.426893
0,1215,episode_length,117
0,1231,episode_reward,-522.706145
0,1231,episode_length,151
0,1235,episode_reward,-463.308469
0,1235,episode_length,119
0,1235,episode_reward,-414.484934
0,1235,episode_length,245
0,1240,episode_reward,-198.172453
0,1240,episode_length,126
0,1240,episode_reward,-656.990341
0,1240,episode_length,163
0,1246,episode_reward,-916.439653
0,1246,episode_length,156
0,1250,episode_reward,-161.059694
0,1250,episode_length,135
0,1254,episode_reward,-294.152686
0,1254,episode_length,180
0,1258,episode_reward,-566.796917
0,1258,episode_length,89
0,1265,episode_reward,-765.447586
0,1265,episode_length,172
0,1266,episode_reward,-547.569615
0,1266,episode_length,144
0,1291,episode_reward,-632.427789
0,1291,episode_length,114
0,1291,episode_reward,-364.017835
0,1291,episode_length,144
0,1300,episode_reward,-241.290196
0,1300,episode_length,111
0,1301,episode_reward,-418.498119
0,1301,episode_length,146
0,1303,episode_reward,-350.328956
0,1303,episode_length,102
0,1308,episode_reward,-495.479299
0,1308,episode_length,130
0,1313,episode_reward,-881.768925
0,1313,episode_length,348
0,1317,episode_reward,-680.495639
0,1317,episode_length,140
0,1318,episode_reward,-450.435988
0,1318,episode_length,322
0,1318,episode_reward,-438.50275
0,1318,episode_length,109
0,1322,episode_reward,-479.013948
0,1322,episode_length,174
0,1323,episode_reward,-476.242934
0,1323,episode_length,151
0,1325,episode_reward,-490.673171
0,1325,episode_length,110
0,1333,episode_reward,-676.871767
0,1333,episode_length,212
0,1340,episode_reward,-477.365835
0,1340,episode_length,105
0,1348,episode_reward,-686.921137
0,1348,episode_length,164
0,1365,episode_reward,-561.377851
0,1365,episode_length,74
0,1371,episode_reward,-1396.929964
0,1371,episode_length,357
0,1375,episode_reward,-508.95109
0,1375,episode_length,213
0,1382,episode_reward,-328.358685
0,1382,episode_length,132
0,1386,episode_reward,-454.206407
0,1386,episode_length,128
0,1390,episode_reward,-602.382099
0,1390,episode_length,125
0,1395,episode_reward,-904.77015
0,1395,episode_length,186
0,1400,episode_reward,-1006.336861
0,1400,episode_length,169
0,1402,episode_reward,-271.869104
0,1402,episode_length,136
0,1405,episode_reward,-408.869223
0,1405,episode_length,159
0,1414,episode_reward,-280.369805
0,1414,episode_length,111
0,1424,episode_reward,-777.17874
0,1424,episode_length,230
0,1425,episode_reward,-505.159329
0,1425,episode_length,100
0,1429,episode_reward,-399.729898
0,1429,episode_length,189
0,1439,episode_reward,-227.935993
0,1439,episode_length,139
0,1441,episode_reward,-402.772295
0,1441,episode_length,108
0,1446,episode_reward,-317.13021
0,1446,episode_length,129
0,1453,episode_reward,-679.178809
0,1453,episode_length,130
0,1456,episode_reward,-436.463111
0,1456,episode_length,148
0,1456,episode_reward,-662.828176
0,1456,episode_length,138
0,1457,episode_reward,-273.384869
0,1457,episode_length,117
0,1473,episode_reward,-530.949295
0,1473,episode_length,87
0,1473,episode_reward,-448.308998
0,1473,episode_length,102
0,1476,episode_reward,-615.680059
0,1476,episode_length,185
0,1476,episode_reward,-434.094445
0,1476,episode_length,154
0,1479,episode_reward,-428.692315
0,1479,episode_length,84
0,1491,episode_reward,-590.926927
0,1491,episode_length,326
0,1495,episode_reward,-625.901533
0,1495,episode_length,130
0,1498,episode_reward,-315.544294
0,1498,episode_length,185
0,1506,episode_reward,-697.66365
0,1506,episode_length,205
0,1511,episode_reward,-631.220372
0,1511,episode_length,346
0,1514,episode_reward,-152.928931
0,1514,episode_length,112
0,1520,episode_reward,-351.883452
0,1520,episode_length,96
0,1525,episode_reward,-516.803982
0,1525,episode_length,271
