round,step,metric,value
1,88,episode_reward,-543.565008
1,88,episode_length,88
1,95,episode_reward,-311.544591
1,95,episode_length,95
1,105,episode_reward,-509.462228
1,105,episode_length,105
1,106,episode_reward,-680.311443
1,106,episode_length,106
1,110,episode_reward,-668.536785
1,110,episode_length,110
1,114,episode_reward,-459.823983
1,114,episode_length,114
1,123,episode_reward,-365.384463
1,123,episode_length,123
1,126,episode_reward,-459.371437
1,126,episode_length,126
1,130,episode_reward,-726.891435
1,130,episode_length,130
1,131,episode_reward,-352.400967
1,131,episode_length,131
1,131,episode_reward,-555.757054
1,131,episode_length,131
1,134,episode_reward,-691.554533
1,134,episode_length,134
1,141,episode_reward,-424.843621
1,141,episode_length,141
1,148,episode_reward,-329.119552
1,148,episode_length,148
1,158,episode_reward,-635.794007
1,158,episode_length,158
1,158,episode_reward,-622.409511
1,158,episode_length,158
1,159,episode_reward,-581.926548
1,159,episode_length,159
1,160,episode_reward,-473.158522
1,160,episode_length,160
1,161,episode_reward,-1051.829897
1,161,episode_length,161
1,181,episode_reward,-672.514918
1,181,episode_length,181
1,183,episode_reward,-693.210564
1,183,episode_length,95
1,187,episode_reward,-643.402012
1,187,episode_length,187
1,189,episode_reward,-858.963807
1,189,episode_length,189
1,190,episode_reward,-393.800417
1,190,episode_length,95
1,210,episode_reward,-657.208709
1,210,episode_length,210
1,219,episode_reward,-1221.616813
1,219,episode_length,219
1,220,episode_reward,-559.565016
1,220,episode_length,89
1,238,episode_reward,-995.109413
1,238,episode_length,238
1,246,episode_reward,-1355.517282
1,246,episode_length,246
1,254,episode_reward,-704.24847
1,254,episode_length,123
1,258,episode_reward,-475.932401
1,258,episode_length,100
1,260,episode_reward,-964.93353
1,260,episode_length,146
1,274,episode_reward,-831.372575
1,274,episode_length,114
1,284,episode_reward,-780.684423
1,284,episode_length,136
1,291,episode_reward,-483.475775
1,291,episode_length,101
1,301,episode_reward,-585.253029
1,301,episode_length,120
1,315,episode_reward,-1143.108509
1,315,episode_length,315
1,317,episode_reward,-729.448956
1,317,episode_length,317
1,318,episode_reward,-556.814107
1,318,episode_length,129
1,321,episode_reward,-512.928487
1,321,episode_length,162
1,321,episode_reward,-684.377246
1,321,episode_length,134
1,324,episode_reward,-957.285685
1,324,episode_length,218
1,330,episode_reward,-171.127663
1,330,episode_length,111
1,335,episode_reward,-548.955982
1,335,episode_length,97
1,349,episode_reward,-497.12001
1,349,episode_length,103
1,351,episode_reward,-1168.624082
1,351,episode_length,228
1,362,episode_reward,-1709.598253
1,362,episode_length,362
1,372,episode_reward,-645.741261
1,372,episode_length,118
1,391,episode_reward,-604.737946
1,391,episode_length,133
1,397,episode_reward,-1318.881049
1,397,episode_length,239
1,401,episode_reward,-544.004553
1,401,episode_length,100
1,405,episode_reward,-1327.456161
1,405,episode_length,185
1,422,episode_reward,-527.030337
1,422,episode_length,92
1,425,episode_reward,-502.498728
1,425,episode_length,108
1,435,episode_reward,-579.495086
1,435,episode_length,117
1,442,episode_reward,-2360.384792
1,442,episode_length,312
1,450,episode_reward,-1743.675207
1,450,episode_length,450
1,452,episode_reward,-280.96529
1,452,episode_length,101
1,467,episode_reward,-416.191907
1,467,episode_length,132
1,472,episode_reward,-2248.242118
1,472,episode_length,289
1,473,episode_reward,-366.300505
1,473,episode_length,124
1,475,episode_reward,-1185.022025
1,475,episode_length,265
1,485,episode_reward,-1205.300553
1,485,episode_length,194
1,487,episode_reward,-3206.762324
1,487,episode_length,377
1,504,episode_reward,-537.676003
1,504,episode_length,183
1,504,episode_reward,-2233.553494
1,504,episode_length,399
1,504,episode_reward,-657.258935
1,504,episode_length,99
1,511,episode_reward,-398.582586
1,511,episode_length,139
1,513,episode_reward,-1118.420703
1,513,episode_length,189
1,513,episode_reward,-562.753629
1,513,episode_length,112
1,517,episode_reward,-2064.277622
1,517,episode_length,257
1,518,episode_reward,-1151.34773
1,518,episode_length,197
1,530,episode_reward,-778.891043
1,530,episode_length,246
1,531,episode_reward,-907.877633
1,531,episode_length,216
1,541,episode_reward,-696.458258
1,541,episode_length,116
1,542,episode_reward,-643.217806
1,542,episode_length,145
1,542,episode_reward,-2811.318829
1,542,episode_length,381
1,544,episode_reward,-659.567398
1,544,episode_length,109
1,551,episode_reward,-991.098008
1,551,episode_length,277
1,552,episode_reward,-568.761705
1,552,episode_length,102
1,555,episode_reward,-511.158936
1,555,episode_length,113
1,560,episode_reward,-927.548646
1,560,episode_length,138
1,574,episode_reward,-3565.324567
1,574,episode_length,574
1,575,episode_reward,-360.463021
1,575,episode_length,102
1,582,episode_reward,-205.596373
1,582,episode_length,110
1,589,episode_reward,-4128.638467
1,589,episode_length,463
1,590,episode_reward,-760.592898
1,590,episode_length,103
1,594,episode_reward,-258.366309
1,594,episode_length,127
1,596,episode_reward,-5350.641891
1,596,episode_length,596
1,608,episode_reward,-746.535238
1,608,episode_length,156
1,619,episode_reward,-587.955618
1,619,episode_length,101
1,636,episode_reward,-1372.39733
1,636,episode_length,274
1,638,episode_reward,-380.561538
1,638,episode_length,163
1,646,episode_reward,-358.40048
1,646,episode_length,104
1,650,episode_reward,-323.521178
1,650,episode_length,90
1,660,episode_reward,-2295.053646
1,660,episode_length,526
1,661,episode_reward,-701.449326
1,661,episode_length,106
1,662,episode_reward,-233.956444
1,662,episode_length,132
1,678,episode_reward,-737.815015
1,678,episode_length,89
1,680,episode_reward,-1368.812964
1,680,episode_length,289
1,686,episode_reward,-285.236809
1,686,episode_length,111
1,697,episode_reward,-707.927142
1,697,episode_length,107
1,698,episode_reward,-849.717177
1,698,episode_length,167
1,702,episode_reward,-645.585447
1,702,episode_length,189
1,709,episode_reward,-1110.192464
1,709,episode_length,157
1,718,episode_reward,-670.584471
1,718,episode_length,110
1,726,episode_reward,-1035.450409
1,726,episode_length,222
1,732,episode_reward,-795.51209
1,732,episode_length,150
1,744,episode_reward,-2574.029659
