round,step,metric,value
0,81,episode_reward,-428.619877
0,81,episode_length,81
0,90,episode_reward,-636.73583
0,90,episode_length,90
0,98,episode_reward,-375.083751
0,98,episode_length,98
0,99,episode_reward,-662.230657
0,99,episode_length,99
0,99,episode_reward,-262.206235
0,99,episode_length,99
0,105,episode_reward,-382.909956
0,105,episode_length,105
0,106,episode_reward,-440.567738
0,106,episode_length,106
0,112,episode_reward,-443.948702
0,112,episode_length,112
0,116,episode_reward,-650.144708
0,116,episode_length,116
0,118,episode_reward,-363.563901
0,118,episode_length,118
0,119,episode_reward,-367.689821
0,119,episode_length,119
0,119,episode_reward,-664.770325
0,119,episode_length,119
0,119,episode_reward,-635.622728
0,119,episode_length,119
0,123,episode_reward,-830.533634
0,123,episode_length,123
0,125,episode_reward,-560.528098
0,125,episode_length,125
0,128,episode_reward,-539.83123
0,128,episode_length,128
0,130,episode_reward,-666.650642
0,130,episode_length,130
0,133,episode_reward,-612.388085
0,133,episode_length,133
0,144,episode_reward,-79.861901
0,144,episode_length,144
0,144,episode_reward,-289.664596
0,144,episode_length,144
0,145,episode_reward,-218.446725
0,145,episode_length,145
0,153,episode_reward,-572.224113
0,153,episode_length,153
0,161,episode_reward,-615.405949
0,161,episode_length,161
0,165,episode_reward,-300.528769
0,165,episode_length,165
0,199,episode_reward,-328.873607
0,199,episode_length,109
0,200,episode_reward,-435.492737
0,200,episode_length,200
0,201,episode_reward,-594.859923
0,201,episode_length,89
0,201,episode_reward,-504.58389
0,201,episode_length,201
0,216,episode_reward,-642.815184
0,216,episode_length,117
0,219,episode_reward,-478.866937
0,219,episode_length,219
0,226,episode_reward,-401.126796
0,226,episode_length,128
0,226,episode_reward,-586.263117
0,226,episode_length,110
0,228,episode_reward,-376.792456
0,228,episode_length,84
0,235,episode_reward,-665.984684
0,235,episode_length,235
0,238,episode_reward,-604.033674
0,238,episode_length,238
0,238,episode_reward,-458.112266
0,238,episode_length,113
0,242,episode_reward,-272.458287
0,242,episode_length,242
0,250,episode_reward,-491.299546
0,250,episode_length,117
0,250,episode_reward,-571.366083
0,250,episode_length,85
0,250,episode_reward,-512.789105
0,250,episode_length,122
0,251,episode_reward,-481.517982
0,251,episode_length,133
0,255,episode_reward,-245.139984
0,255,episode_length,136
0,269,episode_reward,-552.450137
0,269,episode_length,164
0,270,episode_reward,-389.858769
0,270,episode_length,117
0,272,episode_reward,-1252.94923
0,272,episode_length,272
0,279,episode_reward,-775.394854
0,279,episode_length,160
0,280,episode_reward,-704.138042
0,280,episode_length,119
0,288,episode_reward,-250.918131
