round,step,metric,value
0,63,episode_reward,-325.069495
0,63,episode_length,63
0,66,episode_reward,-185.352004
0,66,episode_length,66
0,67,episode_reward,-117.53641
0,67,episode_length,67
0,68,episode_reward,-337.315327
0,68,episode_length,68
0,71,episode_reward,-165.028282
0,71,episode_length,71
0,75,episode_reward,-221.442675
0,75,episode_length,75
0,76,episode_reward,-317.358912
0,76,episode_length,76
0,76,episode_reward,-167.440082
0,76,episode_length,76
0,77,episode_reward,-532.323007
0,77,episode_length,77
0,81,episode_reward,-211.56952
0,81,episode_length,81
0,84,episode_reward,-222.157276
0,84,episode_length,84
0,86,episode_reward,-196.090306
0,86,episode_length,86
0,86,episode_reward,-398.133532
0,86,episode_length,86
0,86,episode_reward,-586.969493
0,86,episode_length,86
0,87,episode_reward,-163.495007
0,87,episode_length,87
0,89,episode_reward,-309.204597
0,89,episode_length,89
0,91,episode_reward,-291.198435
0,91,episode_length,91
0,92,episode_reward,-528.999056
0,92,episode_length,92
0,94,episode_reward,-262.67406
0,94,episode_length,94
0,94,episode_reward,-148.833722
0,94,episode_length,94
0,94,episode_reward,-250.556503
0,94,episode_length,94
0,95,episode_reward,-514.37191
0,95,episode_length,95
0,97,episode_reward,-253.465028
0,97,episode_length,97
0,97,episode_reward,-569.260363
0,97,episode_length,97
0,97,episode_reward,-486.271387
0,97,episode_length,97
0,103,episode_reward,-271.911795
0,103,episode_length,103
0,105,episode_reward,-256.468095
0,105,episode_length,105
0,106,episode_reward,-198.362027
0,106,episode_length,106
0,107,episode_reward,-335.615609
0,107,episode_length,107
0,122,episode_reward,-330.927542
0,122,episode_length,122
0,123,episode_reward,-171.730601
0,123,episode_length,56
0,123,episode_reward,-314.237101
0,123,episode_length,123
0,124,episode_reward,-509.179875
0,124,episode_length,124
0,137,episode_reward,-93.724361
0,137,episode_length,69
0,155,episode_reward,-374.710841
0,155,episode_length,68
0,158,episode_reward,-151.138978
0,158,episode_length,66
0,159,episode_reward,-78.672731
0,159,episode_length,64
0,165,episode_reward,-188.648552
0,165,episode_length,71
0,165,episode_reward,-122.479477
0,165,episode_length,79
0,167,episode_reward,-131.588303
0,167,episode_length,90
0,167,episode_reward,-436.760597
0,167,episode_length,86
0,167,episode_reward,-394.492457
0,167,episode_length,83
0,172,episode_reward,-559.257185
0,172,episode_length,101
0,173,episode_reward,-332.544401
0,173,episode_length,87
0,174,episode_reward,-183.207999
0,174,episode_length,71
0,177,episode_reward,-130.657587
0,177,episode_length,80
0,178,episode_reward,-236.036226
0,178,episode_length,92
0,178,episode_reward,-130.380693
0,178,episode_length,71
0,179,episode_reward,-449.858688
0,179,episode_length,103
0,181,episode_reward,-552.635286
