round,step,metric,value
0,89,episode_reward,-345.285087
0,89,episode_length,89
0,91,episode_reward,-317.068322
0,91,episode_length,91
0,97,episode_reward,-530.227287
0,97,episode_length,97
0,102,episode_reward,-252.422476
0,102,episode_length,102
0,103,episode_reward,-563.54012
0,103,episode_length,103
0,104,episode_reward,-507.054814
0,104,episode_length,104
0,109,episode_reward,-212.850721
0,109,episode_length,109
0,116,episode_reward,-608.048693
0,116,episode_length,116
0,118,episode_reward,-594.34583
0,118,episode_length,118
0,122,episode_reward,-431.659467
0,122,episode_length,122
0,124,episode_reward,-616.317344
0,124,episode_length,124
0,124,episode_reward,-363.818442
0,124,episode_length,124
0,131,episode_reward,-548.626415
0,131,episode_length,131
0,133,episode_reward,-164.975422
0,133,episode_length,133
0,135,episode_reward,-361.291003
0,135,episode_length,135
0,138,episode_reward,-605.936184
0,138,episode_length,138
0,139,episode_reward,-416.422894
0,139,episode_length,139
0,144,episode_reward,-722.496405
0,144,episode_length,144
0,156,episode_reward,-412.912008
0,156,episode_length,156
0,160,episode_reward,-230.248273
0,160,episode_length,160
0,163,episode_reward,-488.920896
0,163,episode_length,163
0,172,episode_reward,-305.229082
0,172,episode_length,172
0,179,episode_reward,-557.447988
0,179,episode_length,179
0,179,episode_reward,-988.306516
0,179,episode_length,179
0,184,episode_reward,-315.916987
0,184,episode_length,184
0,192,episode_reward,-725.715304
0,192,episode_length,192
0,198,episode_reward,-776.430136
0,198,episode_length,198
0,210,episode_reward,-347.268632
0,210,episode_length,210
0,220,episode_reward,-625.781658
0,220,episode_length,117
0,225,episode_reward,-352.888475
0,225,episode_length,109
0,227,episode_reward,-205.571586
0,227,episode_length,125
0,236,episode_reward,-447.476522
0,236,episode_length,112
0,236,episode_reward,-396.134475
0,236,episode_length,236
0,238,episode_reward,-358.786155
0,238,episode_length,141
0,245,episode_reward,-566.352092
0,245,episode_length,154
0,246,episode_reward,-473.84027
0,246,episode_length,113
0,248,episode_reward,-399.712145
0,248,episode_length,144
0,251,episode_reward,-618.875911
0,251,episode_length,142
0,253,episode_reward,-513.241727
0,253,episode_length,122
0,255,episode_reward,-514.058623
0,255,episode_length,117
0,256,episode_reward,-603.478899
0,256,episode_length,256
0,262,episode_reward,-448.889011
0,262,episode_length,90
0,270,episode_reward,-351.420863
0,270,episode_length,91
0,270,episode_reward,-513.322388
0,270,episode_length,181
0,273,episode_reward,-556.71966
0,273,episode_length,273
0,277,episode_reward,-514.957436
0,277,episode_length,138
0,280,episode_reward,-556.52927
0,280,episode_length,156
0,284,episode_reward,-528.963325
0,284,episode_length,128
0,284,episode_reward,-494.24153
0,284,episode_length,284
0,295,episode_reward,-469.703931
0,295,episode_length,132
0,297,episode_reward,-262.525891
0,297,episode_length,137
0,314,episode_reward,-538.559545
0,314,episode_length,196
0,325,episode_reward,-200.719726
0,325,episode_length,127
0,325,episode_reward,-324.328908
0,325,episode_length,141
0,340,episode_reward,-212.616421
0,340,episode_length,115
0,345,episode_reward,-571.649594
0,345,episode_length,201
0,348,episode_reward,33.801738
0,348,episode_length,112
0,352,episode_reward,-559.58479
0,352,episode_length,101
0,352,episode_reward,-711.718568
0,352,episode_length,160
0,355,episode_reward,-462.634989
0,355,episode_length,109
0,362,episode_reward,-389.202815
0,362,episode_length,109
0,366,episode_reward,-249.463766
0,366,episode_length,130
0,368,episode_reward,-292.757678
0,368,episode_length,113
0,372,episode_reward,-366.528932
0,372,episode_length,250
0,373,episode_reward,-441.256192
0,373,episode_length,146
0,374,episode_reward,-578.771705
0,374,episode_length,90
0,376,episode_reward,-448.938593
0,376,episode_length,128
0,378,episode_reward,-620.44467
0,378,episode_length,243
0,381,episode_reward,-378.546299
0,381,episode_length,125
0,395,episode_reward,-468.38608
0,395,episode_length,125
0,398,episode_reward,-604.271785
0,398,episode_length,219
0,415,episode_reward,-861.997401
0,415,episode_length,120
0,416,episode_reward,-408.395459
0,416,episode_length,143
0,419,episode_reward,-363.119211
0,419,episode_length,139
0,424,episode_reward,-560.794656
0,424,episode_length,154
0,427,episode_reward,-283.728032
0,427,episode_length,143
0,439,episode_reward,-313.634368
0,439,episode_length,177
0,441,episode_reward,-312.684633
0,441,episode_length,101
0,452,episode_reward,-589.743841
0,452,episode_length,214
0,459,episode_reward,-609.766787
0,459,episode_length,145
0,461,episode_reward,-531.726596
0,461,episode_length,216
0,463,episode_reward,-526.938032
0,463,episode_length,89
0,464,episode_reward,-649.338553
0,464,episode_length,139
0,466,episode_reward,-519.354742
0,466,episode_length,104
0,473,episode_reward,-444.576834
0,473,episode_length,95
0,486,episode_reward,-306.31727
0,486,episode_length,91
0,487,episode_reward,-606.783831
0,487,episode_length,119
0,492,episode_reward,-155.361657
0,492,episode_length,119
0,497,episode_reward,-528.26057
0,497,episode_length,149
0,497,episode_reward,-465.700103
0,497,episode_length,152
0,502,episode_reward,-530.317676
0,502,episode_length,205
0,507,episode_reward,-538.164199
0,507,episode_length,155
0,511,episode_reward,-217.267278
0,511,episode_length,156
0,512,episode_reward,-725.873416
0,512,episode_length,114
0,521,episode_reward,-460.025723
0,521,episode_length,106
0,532,episode_reward,-305.762344
0,532,episode_length,105
0,541,episode_reward,-419.533675
0,541,episode_length,160
0,545,episode_reward,25.362848
0,545,episode_length,104
0,546,episode_reward,-275.657182
0,546,episode_length,269
0,554,episode_reward,-327.9361
0,554,episode_length,102
0,559,episode_reward,-370.536822
0,559,episode_length,140
0,560,episode_reward,-497.832481
0,560,episode_length,136
0,561,episode_reward,-502.599424
0,561,episode_length,145
0,564,episode_reward,-520.019867
0,564,episode_length,105
0,566,episode_reward,-499.541752
0,566,episode_length,93
0,569,episode_reward,-1049.535069
0,569,episode_length,193
0,579,episode_reward,-456.20728
0,579,episode_length,359
0,583,episode_reward,-512.012077
0,583,episode_length,231
0,584,episode_reward,-425.291734
0,584,episode_length,374
0,589,episode_reward,-369.80171
0,589,episode_length,126
0,604,episode_reward,-562.799979
0,604,episode_length,83
0,605,episode_reward,-1095.345645
0,605,episode_length,233
0,612,episode_reward,-542.109098
0,612,episode_length,115
0,620,episode_reward,-1144.175152
0,620,episode_length,295
0,622,episode_reward,-143.039503
0,622,episode_length,183
