round,step,metric,value
9,65,episode_reward,-54.641084
9,65,episode_length,65
9,71,episode_reward,-41.731057
9,71,episode_length,71
9,72,episode_reward,-58.197619
9,72,episode_length,72
9,75,episode_reward,-113.53786
9,75,episode_length,75
9,77,episode_reward,-73.181301
9,77,episode_length,77
9,77,episode_reward,-115.423966
9,77,episode_length,77
9,80,episode_reward,-44.552319
9,80,episode_length,80
9,81,episode_reward,-95.82208
9,81,episode_length,81
9,84,episode_reward,-12.838096
9,84,episode_length,84
9,84,episode_reward,-37.609647
9,84,episode_length,84
9,85,episode_reward,-55.791185
9,85,episode_length,85
9,86,episode_reward,-149.928772
9,86,episode_length,86
9,87,episode_reward,-125.560673
9,87,episode_length,87
9,90,episode_reward,-30.203233
9,90,episode_length,90
9,96,episode_reward,10.254201
9,96,episode_length,96
9,103,episode_reward,-46.247467
9,103,episode_length,103
9,147,episode_reward,-84.554812
9,147,episode_length,70
9,150,episode_reward,-28.7829
9,150,episode_length,85
9,153,episode_reward,-24.734786
9,153,episode_length,67
9,154,episode_reward,-71.832064
9,154,episode_length,70
9,157,episode_reward,-30.511887
9,157,episode_length,72
9,162,episode_reward,-56.038052
9,162,episode_length,87
9,169,episode_reward,-89.602762
9,169,episode_length,97
9,175,episode_reward,-63.524882
9,175,episode_length,88
9,175,episode_reward,-49.149077
9,175,episode_length,85
9,175,episode_reward,-83.011654
9,175,episode_length,104
9,176,episode_reward,-221.720669
9,176,episode_length,96
9,176,episode_reward,-74.370396
9,176,episode_length,99
9,186,episode_reward,-63.216079
9,186,episode_length,105
9,188,episode_reward,-7.602677
9,188,episode_length,92
9,190,episode_reward,-68.662495
9,190,episode_length,87
9,200,episode_reward,-156.161859
9,200,episode_length,116
9,226,episode_reward,-98.919206
9,226,episode_length,79
9,236,episode_reward,-47.16241
9,236,episode_length,82
9,238,episode_reward,-48.064494
9,238,episode_length,85
9,243,episode_reward,-3.391102
9,243,episode_length,67
9,246,episode_reward,-76.449183
9,246,episode_length,89
9,261,episode_reward,-91.063902
9,261,episode_length,92
9,262,episode_reward,-31.2809
9,262,episode_length,87
9,266,episode_reward,-122.717983
9,266,episode_length,104
9,267,episode_reward,-55.33341
9,267,episode_length,77
9,270,episode_reward,-16.58942
9,270,episode_length,120
9,274,episode_reward,-71.96648
9,274,episode_length,99
9,275,episode_reward,-121.946254
9,275,episode_length,87
9,278,episode_reward,-88.378767
9,278,episode_length,92
9,280,episode_reward,-155.339689
9,280,episode_length,80
9,287,episode_reward,-17.785369
9,287,episode_length,111
9,293,episode_reward,-72.84278
9,293,episode_length,118
9,317,episode_reward,-63.461016
9,317,episode_length,81
9,320,episode_reward,-65.599998
9,320,episode_length,94
9,332,episode_reward,-65.141322
9,332,episode_length,65
9,334,episode_reward,-92.919076
9,334,episode_length,96
9,334,episode_reward,-31.941511
9,334,episode_length,88
9,343,episode_reward,-55.533329
9,343,episode_length,82
9,345,episode_reward,-67.725058
9,345,episode_length,65
9,351,episode_reward,-81.699864
9,351,episode_length,77
9,352,episode_reward,-29.059804
9,352,episode_length,82
9,354,episode_reward,-49.497932
9,354,episode_length,92
9,357,episode_reward,-59.922139
9,357,episode_length,70
9,364,episode_reward,-5.765347
9,364,episode_length,121
9,370,episode_reward,-69.196492
9,370,episode_length,104
9,376,episode_reward,-68.727573
9,376,episode_length,101
9,385,episode_reward,-7.054865
9,385,episode_length,107
9,390,episode_reward,-66.707831
9,390,episode_length,97
9,413,episode_reward,-119.946191
9,413,episode_length,93
9,417,episode_reward,-86.792228
9,417,episode_length,85
9,419,episode_reward,-92.772794
9,419,episode_length,85
9,425,episode_reward,-37.43902
9,425,episode_length,108
9,433,episode_reward,-83.20815
9,433,episode_length,90
9,433,episode_reward,-27.474466
9,433,episode_length,82
9,440,episode_reward,-6.695944
9,440,episode_length,106
9,446,episode_reward,-49.663499
9,446,episode_length,101
9,458,episode_reward,-27.477663
9,458,episode_length,101
9,458,episode_reward,-122.554131
9,458,episode_length,104
9,459,episode_reward,-28.760438
9,459,episode_length,83
9,460,episode_reward,-56.223555
9,460,episode_length,108
9,470,episode_reward,-84.87725
9,470,episode_length,106
9,474,episode_reward,-13.023345
9,474,episode_length,89
9,482,episode_reward,-69.039456
9,482,episode_length,63
9,486,episode_reward,-106.611442
9,486,episode_length,116
9,492,episode_reward,-27.504836
9,492,episode_length,102
9,514,episode_reward,-8.521826
9,514,episode_length,101
9,514,episode_reward,-14.596586
9,514,episode_length,81
9,516,episode_reward,-118.294639
9,516,episode_length,83
9,517,episode_reward,-6.54398
9,517,episode_length,71
9,519,episode_reward,-49.893816
9,519,episode_length,79
9,528,episode_reward,-91.188292
9,528,episode_length,111
9,542,episode_reward,-51.00203
9,542,episode_length,82
9,547,episode_reward,-163.939745
9,547,episode_length,122
9,560,episode_reward,-64.087951
9,560,episode_length,68
9,564,episode_reward,-48.461951
9,564,episode_length,94
9,565,episode_reward,-59.134119
9,565,episode_length,107
9,565,episode_reward,-22.414401
9,565,episode_length,106
9,565,episode_reward,-55.952853
9,565,episode_length,107
9,566,episode_reward,-66.249096
9,566,episode_length,92
9,572,episode_reward,-116.035289
9,572,episode_length,90
9,576,episode_reward,-39.951003
9,576,episode_length,90
9,592,episode_reward,-79.957415
9,592,episode_length,73
9,597,episode_reward,-122.630618
9,597,episode_length,83
9,612,episode_reward,-31.297089
9,612,episode_length,98
9,615,episode_reward,-55.148738
9,615,episode_length,98
9,626,episode_reward,-86.882393
9,626,episode_length,110
9,629,episode_reward,-225.656869
9,629,episode_length,101
9,639,episode_reward,-41.289503
9,639,episode_length,74
9,642,episode_reward,-117.023467
9,642,episode_length,100
9,645,episode_reward,-101.896041
9,645,episode_length,98
9,645,episode_reward,-78.625748
9,645,episode_length,85
9,647,episode_reward,-122.631373
9,647,episode_length,81
9,648,episode_reward,-93.785522
9,648,episode_length,84
9,654,episode_reward,-28.253178
9,654,episode_length,89
9,656,episode_reward,-32.88965
9,656,episode_length,91
9,657,episode_reward,-66.910823
9,657,episode_length,81
9,657,episode_reward,-11.788283
9,657,episode_length,85
9,673,episode_reward,-37.656791
9,673,episode_length,76
9,682,episode_reward,-29.818588
9,682,episode_length,90
9,692,episode_reward,-19.85298
9,692,episode_length,80
9,704,episode_reward,-97.505989
9,704,episode_length,89
9,706,episode_reward,-38.67527
9,706,episode_length,80
9,711,episode_reward,-93.886997
9,711,episode_length,66
9,718,episode_reward,6.033451
9,718,episode_length,79
9,731,episode_reward,-76.197209
9,731,episode_length,77
9,732,episode_reward,-14.85653
9,732,episode_length,103
9,740,episode_reward,-53.028299
9,740,episode_length,83
9,740,episode_reward,-132.017376
9,740,episode_length,95
9,744,episode_reward,-121.57892
9,744,episode_length,88
9,745,episode_reward,-25.075188
9,745,episode_length,98
9,747,episode_reward,-75.840013
9,747,episode_length,99
9,748,episode_reward,-82.83536
9,748,episode_length,106
9,766,episode_reward,-17.789633
9,766,episode_length,74
9,771,episode_reward,-68.117323
9,771,episode_length,114
9,783,episode_reward,-75.145067
9,783,episode_length,110
9,804,episode_reward,-37.572123
9,804,episode_length,100
9,804,episode_reward,-92.350598
9,804,episode_length,122
9,806,episode_reward,-59.243632
9,806,episode_length,88
9,811,episode_reward,-142.688967
9,811,episode_length,100
9,823,episode_reward,-44.965949
9,823,episode_length,91
9,825,episode_reward,-147.187859
9,825,episode_length,85
9,830,episode_reward,-127.953415
9,830,episode_length,83
9,832,episode_reward,-169.948325
9,832,episode_length,126
9,835,episode_reward,-15.025554
9,835,episode_length,104
9,836,episode_reward,-33.909591
9,836,episode_length,88
9,842,episode_reward,-96.672776
9,842,episode_length,97
9,843,episode_reward,-105.216915
9,843,episode_length,99
9,844,episode_reward,-49.231515
9,844,episode_length,104
9,867,episode_reward,-34.88403
9,867,episode_length,101
9,869,episode_reward,-109.487716
9,869,episode_length,86
9,878,episode_reward,-67.301547
9,878,episode_length,67
9,882,episode_reward,-72.146971
9,882,episode_length,78
9,883,episode_reward,-61.403837
9,883,episode_length,112
9,890,episode_reward,-45.903494
9,890,episode_length,86
9,893,episode_reward,-52.103671
9,893,episode_length,63
9,907,episode_reward,-88.597528
9,907,episode_length,101
9,908,episode_reward,-144.758098
9,908,episode_length,66
9,911,episode_reward,-84.787961
9,911,episode_length,88
9,912,episode_reward,-51.15037
9,912,episode_length,77
9,925,episode_reward,-139.789437
9,925,episode_length,81
9,928,episode_reward,-34.615802
9,928,episode_length,103
9,934,episode_reward,-51.527193
9,934,episode_length,102
9,939,episode_reward,-46.080474
9,939,episode_length,103
9,940,episode_reward,-60.08429
9,940,episode_length,97
9,954,episode_reward,-51.049926
9,954,episode_length,87
9,959,episode_reward,-110.782053
9,959,episode_length,76
