round,step,metric,value
0,83,episode_reward,-508.492336
0,83,episode_length,83
0,90,episode_reward,-423.637084
0,90,episode_length,90
0,93,episode_reward,-377.036536
0,93,episode_length,93
0,96,episode_reward,-387.302666
0,96,episode_length,96
0,101,episode_reward,-635.513875
0,101,episode_length,101
0,105,episode_reward,-515.56403
0,105,episode_length,105
0,122,episode_reward,-464.003796
0,122,episode_length,122
0,145,episode_reward,-460.322943
0,145,episode_length,145
0,146,episode_reward,-506.774987
0,146,episode_length,146
0,147,episode_reward,-317.608582
0,147,episode_length,147
0,154,episode_reward,-346.895073
0,154,episode_length,154
0,169,episode_reward,-179.711635
0,169,episode_length,169
0,172,episode_reward,-875.72124
0,172,episode_length,172
0,180,episode_reward,-409.289397
0,180,episode_length,97
0,184,episode_reward,-463.960835
0,184,episode_length,184
0,213,episode_reward,-467.858481
0,213,episode_length,91
0,222,episode_reward,-313.86338
0,222,episode_length,117
0,222,episode_reward,-432.089043
0,222,episode_length,126
0,227,episode_reward,-573.443451
0,227,episode_length,134
0,230,episode_reward,-811.275893
0,230,episode_length,140
0,252,episode_reward,-178.61245
0,252,episode_length,107
0,253,episode_reward,-366.308944
0,253,episode_length,106
0,253,episode_reward,-371.627205
0,253,episode_length,107
0,304,episode_reward,-499.32673
0,304,episode_length,124
0,305,episode_reward,-555.37719
0,305,episode_length,133
0,310,episode_reward,-525.232835
0,310,episode_length,126
0,319,episode_reward,-847.217135
0,319,episode_length,165
0,324,episode_reward,-819.553631
0,324,episode_length,324
0,364,episode_reward,-491.412059
0,364,episode_length,151
0,365,episode_reward,-682.198486
0,365,episode_length,196
0,368,episode_reward,-478.331947
0,368,episode_length,115
0,374,episode_reward,-577.056109
0,374,episode_length,122
0,382,episode_reward,-494.566632
0,382,episode_length,155
0,389,episode_reward,-719.65923
0,389,episode_length,288
0,401,episode_reward,-562.990484
0,401,episode_length,179
0,406,episode_reward,-482.465101
0,406,episode_length,176
0,407,episode_reward,-449.088847
0,407,episode_length,407
0,411,episode_reward,-321.693233
0,411,episode_length,101
0,411,episode_reward,-537.037544
0,411,episode_length,107
0,412,episode_reward,-350.600112
0,412,episode_length,107
0,422,episode_reward,-420.147785
0,422,episode_length,98
0,424,episode_reward,-444.731506
0,424,episode_length,105
0,485,episode_reward,-568.008594
0,485,episode_length,263
0,489,episode_reward,-486.162672
0,489,episode_length,83
0,491,episode_reward,-415.536582
0,491,episode_length,123
0,491,episode_reward,-274.139374
0,491,episode_length,126
0,496,episode_reward,-456.480023
0,496,episode_length,122
0,500,episode_reward,-437.2268
0,500,episode_length,78
0,502,episode_reward,-673.595999
0,502,episode_length,113
0,510,episode_reward,-435.166517
0,510,episode_length,109
0,518,episode_reward,-546.330921
0,518,episode_length,107
0,533,episode_reward,-614.144458
0,533,episode_length,126
0,535,episode_reward,-304.323816
0,535,episode_length,123
0,567,episode_reward,-329.363465
0,567,episode_length,156
0,582,episode_reward,-377.300358
0,582,episode_length,329
0,583,episode_reward,-574.535983
0,583,episode_length,201
0,601,episode_reward,-370.944581
0,601,episode_length,101
0,602,episode_reward,-495.991781
0,602,episode_length,111
0,615,episode_reward,-706.101649
0,615,episode_length,251
0,615,episode_reward,-366.644509
0,615,episode_length,105
0,616,episode_reward,-242.45398
0,616,episode_length,125
0,627,episode_reward,-556.605797
0,627,episode_length,142
0,633,episode_reward,-209.495901
0,633,episode_length,131
0,659,episode_reward,-418.653942
0,659,episode_length,235
0,677,episode_reward,-934.373328
0,677,episode_length,188
0,679,episode_reward,-893.91558
0,679,episode_length,183
0,681,episode_reward,-438.117873
0,681,episode_length,98
0,682,episode_reward,-412.179224
0,682,episode_length,164
0,691,episode_reward,-536.578207
0,691,episode_length,109
0,710,episode_reward,-803.316929
0,710,episode_length,143
0,727,episode_reward,-705.305292
0,727,episode_length,192
0,735,episode_reward,-401.326122
0,735,episode_length,119
0,745,episode_reward,-557.60976
0,745,episode_length,112
0,749,episode_reward,-767.435592
0,749,episode_length,148
0,757,episode_reward,-313.987122
0,757,episode_length,142
0,773,episode_reward,-530.775144
0,773,episode_length,158
0,776,episode_reward,-547.736972
0,776,episode_length,149
0,789,episode_reward,-446.619244
0,789,episode_length,256
0,796,episode_reward,-638.560913
0,796,episode_length,119
0,806,episode_reward,-377.855243
0,806,episode_length,127
0,846,episode_reward,-279.084711
0,846,episode_length,97
0,858,episode_reward,-445.367434
0,858,episode_length,167
0,859,episode_reward,-498.203047
0,859,episode_length,86
0,862,episode_reward,-853.754933
0,862,episode_length,152
0,864,episode_reward,-412.434137
0,864,episode_length,107
0,872,episode_reward,-240.388737
0,872,episode_length,213
0,891,episode_reward,-591.695744
0,891,episode_length,102
0,892,episode_reward,-616.15256
0,892,episode_length,116
0,912,episode_reward,-307.848625
0,912,episode_length,231
0,928,episode_reward,-368.215929
0,928,episode_length,122
0,932,episode_reward,-44.467704
0,932,episode_length,205
0,933,episode_reward,-94.302235
0,933,episode_length,198
0,948,episode_reward,-374.19486
0,948,episode_length,76
0,950,episode_reward,-525.676293
0,950,episode_length,91
0,951,episode_reward,-183.027926
0,951,episode_length,206
0,956,episode_reward,-874.861815
0,956,episode_length,354
0,983,episode_reward,-686.808152
0,983,episode_length,301
0,993,episode_reward,-465.845288
0,993,episode_length,197
0,1017,episode_reward,-940.207202
0,1017,episode_length,159
0,1024,episode_reward,-573.505806
0,1024,episode_length,112
0,1029,episode_reward,-428.920441
0,1029,episode_length,81
0,1031,episode_reward,-854.807801
0,1031,episode_length,169
0,1058,episode_reward,-199.622096
0,1058,episode_length,212
0,1063,episode_reward,-597.575813
0,1063,episode_length,172
0,1070,episode_reward,-635.647437
0,1070,episode_length,178
0,1078,episode_reward,-537.105308
0,1078,episode_length,145
0,1087,episode_reward,-426.309188
0,1087,episode_length,223
0,1110,episode_reward,-431.066172
0,1110,episode_length,81
0,1111,episode_reward,-477.933364
0,1111,episode_length,183
0,1133,episode_reward,-590.911557
0,1133,episode_length,116
0,1146,episode_reward,-303.514754
0,1146,episode_length,122
0,1163,episode_reward,-509.794835
0,1163,episode_length,93
0,1169,episode_reward,-342.4864
0,1169,episode_length,138
0,1173,episode_reward,-1043.947562
0,1173,episode_length,241
0,1183,episode_reward,-418.26219
