round,step,metric,value
1,105,episode_reward,-403.94184
1,105,episode_length,105
1,110,episode_reward,-310.999229
1,110,episode_length,110
1,115,episode_reward,-361.328398
1,115,episode_length,115
1,123,episode_reward,-320.85001
1,123,episode_length,123
1,123,episode_reward,-542.993536
1,123,episode_length,123
1,125,episode_reward,-255.398844
1,125,episode_length,125
1,173,episode_reward,-173.509462
1,173,episode_length,173
1,180,episode_reward,-488.746742
1,180,episode_length,180
1,183,episode_reward,-356.964481
1,183,episode_length,183
1,195,episode_reward,-847.71418
1,195,episode_length,195
1,202,episode_reward,-452.547874
1,202,episode_length,202
1,208,episode_reward,-307.875143
1,208,episode_length,208
1,219,episode_reward,-347.704953
1,219,episode_length,114
1,230,episode_reward,8.145554
1,230,episode_length,120
1,243,episode_reward,-243.134231
1,243,episode_length,120
1,248,episode_reward,-677.903908
1,248,episode_length,248
1,250,episode_reward,-404.800745
1,250,episode_length,250
1,259,episode_reward,-143.155934
1,259,episode_length,134
1,273,episode_reward,-253.511973
1,273,episode_length,90
1,284,episode_reward,-550.48811
1,284,episode_length,284
1,295,episode_reward,-382.012213
1,295,episode_length,100
1,307,episode_reward,-566.257341
1,307,episode_length,127
1,330,episode_reward,-287.485976
1,330,episode_length,122
1,341,episode_reward,-363.1596
1,341,episode_length,111
1,364,episode_reward,-404.744981
1,364,episode_length,364
1,365,episode_reward,-427.690605
1,365,episode_length,192
1,365,episode_reward,-558.856602
1,365,episode_length,250
1,380,episode_reward,-131.029376
1,380,episode_length,107
1,392,episode_reward,-308.146118
1,392,episode_length,269
1,402,episode_reward,-561.107286
1,402,episode_length,107
1,404,episode_reward,-526.315873
1,404,episode_length,161
1,407,episode_reward,-255.906627
1,407,episode_length,188
1,418,episode_reward,-336.801293
1,418,episode_length,159
1,424,episode_reward,-488.360646
1,424,episode_length,176
1,433,episode_reward,-468.675907
1,433,episode_length,149
1,447,episode_reward,-585.461351
1,447,episode_length,197
1,449,episode_reward,-20.060903
1,449,episode_length,84
1,474,episode_reward,-222.570405
1,474,episode_length,109
1,478,episode_reward,-241.946366
1,478,episode_length,148
1,486,episode_reward,-393.694672
1,486,episode_length,284
1,497,episode_reward,-540.613257
1,497,episode_length,133
1,511,episode_reward,-154.420816
1,511,episode_length,204
1,513,episode_reward,-206.260502
1,513,episode_length,133
1,525,episode_reward,-500.943511
1,525,episode_length,184
1,525,episode_reward,-730.841924
1,525,episode_length,121
1,543,episode_reward,-416.288622
1,543,episode_length,151
1,548,episode_reward,-366.638026
1,548,episode_length,130
1,549,episode_reward,-549.330154
1,549,episode_length,142
1,564,episode_reward,-12.131479
1,564,episode_length,117
1,565,episode_reward,-545.031248
1,565,episode_length,141
1,581,episode_reward,-389.955572
1,581,episode_length,148
1,595,episode_reward,-436.662137
1,595,episode_length,193
1,613,episode_reward,-296.302918
1,613,episode_length,127
1,629,episode_reward,-295.548678
1,629,episode_length,116
1,652,episode_reward,-564.955645
1,652,episode_length,155
1,660,episode_reward,-496.047775
1,660,episode_length,135
1,662,episode_reward,-287.783621
1,662,episode_length,184
1,667,episode_reward,-322.838204
1,667,episode_length,103
1,669,episode_reward,-313.021874
1,669,episode_length,104
1,682,episode_reward,-336.755448
1,682,episode_length,133
1,692,episode_reward,-818.389931
1,692,episode_length,149
1,697,episode_reward,-254.738996
1,697,episode_length,223
1,703,episode_reward,-589.689032
1,703,episode_length,122
1,723,episode_reward,-377.277372
1,723,episode_length,128
1,724,episode_reward,-456.640585
1,724,episode_length,176
1,725,episode_reward,-553.202332
1,725,episode_length,200
1,739,episode_reward,-177.448965
1,739,episode_length,87
1,740,episode_reward,-528.427561
1,740,episode_length,291
1,760,episode_reward,-242.128216
1,760,episode_length,100
1,804,episode_reward,-271.097025
1,804,episode_length,191
1,818,episode_reward,-253.455403
1,818,episode_length,136
1,826,episode_reward,-402.228476
1,826,episode_length,159
1,832,episode_reward,-247.743779
1,832,episode_length,140
1,835,episode_reward,-473.006344
1,835,episode_length,166
1,840,episode_reward,-591.547842
1,840,episode_length,100
1,842,episode_reward,-470.544789
1,842,episode_length,139
1,846,episode_reward,-493.363229
1,846,episode_length,335
1,850,episode_reward,-259.251988
1,850,episode_length,127
1,851,episode_reward,-11.774389
1,851,episode_length,222
1,854,episode_reward,-35.664661
1,854,episode_length,129
1,867,episode_reward,-556.4527
1,867,episode_length,128
1,878,episode_reward,-159.454646
1,878,episode_length,181
1,904,episode_reward,-447.143881
1,904,episode_length,180
1,907,episode_reward,-413.884381
1,907,episode_length,103
1,919,episode_reward,-288.10584
1,919,episode_length,159
1,926,episode_reward,-209.60185
1,926,episode_length,100
1,930,episode_reward,-421.085724
1,930,episode_length,112
1,944,episode_reward,-551.976464
1,944,episode_length,104
1,959,episode_reward,-200.15018
1,959,episode_length,297
