round,step,metric,value
0,62,episode_reward,-117.961558
0,62,episode_length,62
0,63,episode_reward,-39.562004
0,63,episode_length,63
0,69,episode_reward,-302.239226
0,69,episode_length,69
0,77,episode_reward,-439.924601
0,77,episode_length,77
0,80,episode_reward,-330.480442
0,80,episode_length,80
0,84,episode_reward,-167.434942
0,84,episode_length,84
0,84,episode_reward,-291.357881
0,84,episode_length,84
0,86,episode_reward,-92.550309
0,86,episode_length,86
0,94,episode_reward,-359.783937
0,94,episode_length,94
0,95,episode_reward,-65.965977
0,95,episode_length,95
0,96,episode_reward,-238.693654
0,96,episode_length,96
0,99,episode_reward,-217.963041
0,99,episode_length,99
0,101,episode_reward,-518.973323
0,101,episode_length,101
0,105,episode_reward,-151.104172
0,105,episode_length,105
0,109,episode_reward,-365.870407
0,109,episode_length,109
0,110,episode_reward,-273.538046
0,110,episode_length,110
0,138,episode_reward,-337.355379
0,138,episode_length,61
0,155,episode_reward,-97.515531
0,155,episode_length,75
0,158,episode_reward,-183.039893
0,158,episode_length,74
0,161,episode_reward,-249.40803
0,161,episode_length,75
0,161,episode_reward,-405.76841
0,161,episode_length,77
0,162,episode_reward,-138.624335
0,162,episode_length,67
0,162,episode_reward,-390.023204
0,162,episode_length,100
0,165,episode_reward,-88.588471
0,165,episode_length,66
0,176,episode_reward,-75.075231
0,176,episode_length,82
0,179,episode_reward,-149.253704
0,179,episode_length,78
0,183,episode_reward,-305.450201
0,183,episode_length,114
0,184,episode_reward,-103.375022
0,184,episode_length,121
0,187,episode_reward,-85.900758
0,187,episode_length,77
0,193,episode_reward,-260.433922
0,193,episode_length,97
0,197,episode_reward,-574.596386
0,197,episode_length,88
0,207,episode_reward,-549.851103
0,207,episode_length,102
0,217,episode_reward,-210.727321
0,217,episode_length,62
0,225,episode_reward,-319.343358
0,225,episode_length,64
0,228,episode_reward,-100.138568
0,228,episode_length,63
0,242,episode_reward,-155.065792
0,242,episode_length,104
0,243,episode_reward,-250.284911
0,243,episode_length,85
0,256,episode_reward,-116.176994
0,256,episode_length,59
0,261,episode_reward,-389.944451
0,261,episode_length,99
0,268,episode_reward,-292.632966
0,268,episode_length,92
0,269,episode_reward,-387.588355
0,269,episode_length,82
0,270,episode_reward,12.150264
0,270,episode_length,109
0,271,episode_reward,-179.481217
0,271,episode_length,88
0,273,episode_reward,-111.481341
0,273,episode_length,94
0,281,episode_reward,-125.442458
0,281,episode_length,119
0,291,episode_reward,-98.727556
0,291,episode_length,107
0,298,episode_reward,-196.349564
0,298,episode_length,91
0,304,episode_reward,-472.358783
0,304,episode_length,79
0,312,episode_reward,-354.140574
0,312,episode_length,95
0,315,episode_reward,-626.74121
0,315,episode_length,122
0,317,episode_reward,-329.809913
0,317,episode_length,89
0,324,episode_reward,-119.273107
0,324,episode_length,63
0,339,episode_reward,-231.444155
0,339,episode_length,83
0,341,episode_reward,-408.973013
0,341,episode_length,73
0,342,episode_reward,-323.959452
0,342,episode_length,69
0,345,episode_reward,8.264241
0,345,episode_length,102
0,358,episode_reward,-432.525805
0,358,episode_length,116
0,361,episode_reward,-413.404728
0,361,episode_length,92
0,368,episode_reward,-100.05286
0,368,episode_length,64
0,378,episode_reward,-233.382883
0,378,episode_length,61
0,378,episode_reward,-192.380739
0,378,episode_length,66
0,379,episode_reward,43.699596
0,379,episode_length,81
0,381,episode_reward,-140.313715
0,381,episode_length,66
0,385,episode_reward,-193.450798
0,385,episode_length,115
0,388,episode_reward,-421.583821
0,388,episode_length,97
0,404,episode_reward,-325.719944
0,404,episode_length,80
0,406,episode_reward,-297.220076
0,406,episode_length,125
0,415,episode_reward,-241.311471
0,415,episode_length,57
0,416,episode_reward,-416.7767
0,416,episode_length,145
0,417,episode_reward,-350.301076
0,417,episode_length,75
0,447,episode_reward,36.001749
0,447,episode_length,106
0,451,episode_reward,-117.485693
0,451,episode_length,106
0,452,episode_reward,-407.913368
0,452,episode_length,113
0,452,episode_reward,-310.314683
0,452,episode_length,74
0,456,episode_reward,-511.727573
0,456,episode_length,95
0,471,episode_reward,-218.739544
0,471,episode_length,103
0,475,episode_reward,-140.679667
0,475,episode_length,96
0,477,episode_reward,-366.676982
0,477,episode_length,89
0,480,episode_reward,-481.810377
0,480,episode_length,99
0,484,episode_reward,-383.851162
0,484,episode_length,78
0,489,episode_reward,-123.635859
0,489,episode_length,74
0,493,episode_reward,-367.423734
0,493,episode_length,89
0,499,episode_reward,-170.128408
0,499,episode_length,83
0,503,episode_reward,-191.046726
0,503,episode_length,118
0,507,episode_reward,-146.016995
0,507,episode_length,129
0,538,episode_reward,-404.756603
0,538,episode_length,121
0,548,episode_reward,-112.696826
0,548,episode_length,77
0,550,episode_reward,-416.080707
0,550,episode_length,103
0,556,episode_reward,-322.541345
0,556,episode_length,81
0,556,episode_reward,-240.061924
0,556,episode_length,100
0,563,episode_reward,-363.819107
0,563,episode_length,111
0,563,episode_reward,-122.571392
0,563,episode_length,83
0,571,episode_reward,-314.265338
0,571,episode_length,82
0,571,episode_reward,-107.769362
0,571,episode_length,119
0,579,episode_reward,-491.314943
0,579,episode_length,86
0,579,episode_reward,-339.282249
0,579,episode_length,80
0,582,episode_reward,-438.058509
0,582,episode_length,105
0,587,episode_reward,-394.109039
0,587,episode_length,103
0,590,episode_reward,-272.255079
0,590,episode_length,139
0,595,episode_reward,-286.059636
0,595,episode_length,88
0,612,episode_reward,-261.257987
0,612,episode_length,109
0,624,episode_reward,-240.932567
0,624,episode_length,68
0,625,episode_reward,-119.125037
0,625,episode_length,75
0,641,episode_reward,-428.298644
0,641,episode_length,103
0,643,episode_reward,-96.357261
0,643,episode_length,95
0,644,episode_reward,-363.594656
0,644,episode_length,81
0,645,episode_reward,-174.130798
0,645,episode_length,89
0,651,episode_reward,-114.304808
0,651,episode_length,88
0,660,episode_reward,-327.039127
0,660,episode_length,89
0,667,episode_reward,-297.409851
0,667,episode_length,88
0,672,episode_reward,-155.710634
0,672,episode_length,90
0,691,episode_reward,-162.934225
0,691,episode_length,120
0,692,episode_reward,-462.529984
0,692,episode_length,113
0,694,episode_reward,-95.162502
0,694,episode_length,82
0,698,episode_reward,-138.253079
0,698,episode_length,73
0,704,episode_reward,-10.151288
0,704,episode_length,80
0,705,episode_reward,-356.313564
0,705,episode_length,110
0,711,episode_reward,-386.636352
0,711,episode_length,70
0,713,episode_reward,-498.961049
0,713,episode_length,123
0,719,episode_reward,-239.521512
0,719,episode_length,74
0,729,episode_reward,-223.915682
0,729,episode_length,85
0,730,episode_reward,-105.916647
0,730,episode_length,87
0,738,episode_reward,-279.56764
0,738,episode_length,66
0,764,episode_reward,-234.695526
0,764,episode_length,73
0,765,episode_reward,-121.106573
0,765,episode_length,60
0,778,episode_reward,-581.124645
0,778,episode_length,127
0,779,episode_reward,-277.574955
0,779,episode_length,119
0,785,episode_reward,-564.608219
0,785,episode_length,87
0,789,episode_reward,-134.456737
0,789,episode_length,70
0,790,episode_reward,-235.663972
0,790,episode_length,79
0,797,episode_reward,-300.919197
0,797,episode_length,103
0,798,episode_reward,-312.383361
0,798,episode_length,85
0,799,episode_reward,-104.330681
0,799,episode_length,107
0,803,episode_reward,-200.125153
0,803,episode_length,136
0,815,episode_reward,-57.954211
0,815,episode_length,86
0,817,episode_reward,-467.394628
0,817,episode_length,113
0,826,episode_reward,-384.338968
0,826,episode_length,88
0,849,episode_reward,-345.713722
0,849,episode_length,71
0,855,episode_reward,-232.972044
0,855,episode_length,125
0,855,episode_reward,-203.94899
0,855,episode_length,76
0,861,episode_reward,-160.285569
0,861,episode_length,76
0,862,episode_reward,-297.364007
0,862,episode_length,73
0,863,episode_reward,-246.921611
0,863,episode_length,65
0,863,episode_reward,-222.596277
0,863,episode_length,73
0,867,episode_reward,-487.392371
0,867,episode_length,102
0,878,episode_reward,-390.103557
0,878,episode_length,79
0,879,episode_reward,-148.755566
0,879,episode_length,62
0,879,episode_reward,-278.877496
0,879,episode_length,115
0,880,episode_reward,-97.424111
0,880,episode_length,83
0,902,episode_reward,-197.826097
0,902,episode_length,76
0,903,episode_reward,-590.90414
0,903,episode_length,100
0,910,episode_reward,-168.99024
0,910,episode_length,95
0,919,episode_reward,-303.552171
0,919,episode_length,70
0,922,episode_reward,-185.792323
0,922,episode_length,67
0,946,episode_reward,-105.806362
0,946,episode_length,66
0,948,episode_reward,-61.771283
0,948,episode_length,70
0,949,episode_reward,-122.089061
0,949,episode_length,94
0,956,episode_reward,-389.985572
0,956,episode_length,95
0,957,episode_reward,-311.821184
0,957,episode_length,78
0,962,episode_reward,-131.328755
0,962,episode_length,100
0,968,episode_reward,-98.221554
0,968,episode_length,105
0,968,episode_reward,-316.023415
0,968,episode_length,89
0,970,episode_reward,-58.109403
0,970,episode_length,67
0,979,episode_reward,-369.898857
0,979,episode_length,69
0,985,episode_reward,-416.937167
0,985,episode_length,83
0,997,episode_reward,-225.818101
0,997,episode_length,134
0,999,episode_reward,7.883875
0,999,episode_length,132
0,1004,episode_reward,-225.015932
0,1004,episode_length,82
0,1014,episode_reward,-384.330946
0,1014,episode_length,65
0,1020,episode_reward,-173.231378
0,1020,episode_length,101
0,1020,episode_reward,-539.978094
0,1020,episode_length,74
0,1023,episode_reward,-81.671947
0,1023,episode_length,67
0,1025,episode_reward,-72.566594
0,1025,episode_length,68
0,1038,episode_reward,-188.483976
0,1038,episode_length,90
0,1042,episode_reward,-141.371719
0,1042,episode_length,80
0,1045,episode_reward,-257.211931
0,1045,episode_length,77
0,1059,episode_reward,-115.003383
0,1059,episode_length,89
0,1060,episode_reward,-321.420556
0,1060,episode_length,92
0,1065,episode_reward,-407.447301
0,1065,episode_length,80
0,1069,episode_reward,-198.70887
0,1069,episode_length,70
0,1069,episode_reward,-79.872183
0,1069,episode_length,65
0,1074,episode_reward,-153.292912
0,1074,episode_length,95
0,1084,episode_reward,-219.660597
0,1084,episode_length,59
0,1089,episode_reward,-113.81077
0,1089,episode_length,69
0,1097,episode_reward,-380.220769
0,1097,episode_length,83
0,1099,episode_reward,-329.663391
0,1099,episode_length,102
0,1102,episode_reward,-147.995739
0,1102,episode_length,79
0,1116,episode_reward,-518.368304
0,1116,episode_length,96
0,1117,episode_reward,-84.162618
0,1117,episode_length,79
0,1132,episode_reward,-270.006535
0,1132,episode_length,73
0,1136,episode_reward,-105.429314
0,1136,episode_length,62
0,1137,episode_reward,-259.913415
0,1137,episode_length,95
0,1147,episode_reward,-308.267789
0,1147,episode_length,78
0,1148,episode_reward,-247.848215
0,1148,episode_length,88
0,1157,episode_reward,-212.840907
0,1157,episode_length,92
0,1158,episode_reward,-167.640024
0,1158,episode_length,113
0,1175,episode_reward,-400.421622
0,1175,episode_length,91
0,1179,episode_reward,-283.055482
0,1179,episode_length,63
0,1182,episode_reward,-82.824646
0,1182,episode_length,83
0,1184,episode_reward,-376.487209
0,1184,episode_length,115
0,1194,episode_reward,-396.556827
0,1194,episode_length,97
0,1195,episode_reward,-164.568335
0,1195,episode_length,93
0,1201,episode_reward,-466.863644
0,1201,episode_length,84
0,1202,episode_reward,-187.535338
0,1202,episode_length,113
0,1217,episode_reward,-68.67484
0,1217,episode_length,81
0,1228,episode_reward,-365.113456
0,1228,episode_length,71
0,1229,episode_reward,-252.361155
0,1229,episode_length,97
0,1229,episode_reward,-357.767647
0,1229,episode_length,81
0,1242,episode_reward,-345.601277
0,1242,episode_length,84
0,1252,episode_reward,-294.78742
0,1252,episode_length,57
0,1259,episode_reward,-89.840035
0,1259,episode_length,80
0,1261,episode_reward,-601.512102
