round,step,metric,value
2,80,episode_reward,-308.582101
2,80,episode_length,80
2,98,episode_reward,-445.364201
2,98,episode_length,98
2,105,episode_reward,-286.429521
2,105,episode_length,105
2,106,episode_reward,-381.197456
2,106,episode_length,106
2,111,episode_reward,-180.947072
2,111,episode_length,111
2,125,episode_reward,-594.049828
2,125,episode_length,125
2,146,episode_reward,-500.559387
2,146,episode_length,146
2,156,episode_reward,-655.986628
2,156,episode_length,156
2,165,episode_reward,-450.331662
2,165,episode_length,165
2,169,episode_reward,-382.23026
2,169,episode_length,169
2,193,episode_reward,-409.886782
2,193,episode_length,95
2,227,episode_reward,-500.883906
2,227,episode_length,102
2,277,episode_reward,-546.927653
2,277,episode_length,166
2,294,episode_reward,-979.128981
2,294,episode_length,294
2,314,episode_reward,-406.449425
2,314,episode_length,314
2,322,episode_reward,-383.117766
2,322,episode_length,166
2,322,episode_reward,-642.25251
2,322,episode_length,322
2,332,episode_reward,-459.033888
2,332,episode_length,139
2,338,episode_reward,-278.770784
2,338,episode_length,338
2,338,episode_reward,-339.696379
2,338,episode_length,232
2,360,episode_reward,-532.008447
2,360,episode_length,195
2,377,episode_reward,-618.208857
2,377,episode_length,150
2,401,episode_reward,-578.577532
2,401,episode_length,255
2,403,episode_reward,-633.723234
2,403,episode_length,323
2,406,episode_reward,-220.858569
2,406,episode_length,237
2,412,episode_reward,-406.446507
2,412,episode_length,307
2,449,episode_reward,-887.526008
2,449,episode_length,449
2,469,episode_reward,-197.654247
2,469,episode_length,131
2,490,episode_reward,-1916.569885
2,490,episode_length,490
2,516,episode_reward,-234.303112
2,516,episode_length,115
2,528,episode_reward,-534.461802
2,528,episode_length,214
2,528,episode_reward,-184.987101
2,528,episode_length,168
2,536,episode_reward,-752.847287
2,536,episode_length,214
2,590,episode_reward,-345.754985
2,590,episode_length,178
2,601,episode_reward,-838.050349
2,601,episode_length,307
2,602,episode_reward,-426.792271
2,602,episode_length,86
2,605,episode_reward,-676.170198
2,605,episode_length,228
2,608,episode_reward,-453.384468
2,608,episode_length,202
2,612,episode_reward,-584.674988
2,612,episode_length,290
2,619,episode_reward,-531.190826
2,619,episode_length,216
2,628,episode_reward,-319.856816
2,628,episode_length,179
2,629,episode_reward,-970.504643
2,629,episode_length,352
2,648,episode_reward,-313.888095
2,648,episode_length,120
2,664,episode_reward,-385.676597
2,664,episode_length,136
2,679,episode_reward,-456.645046
2,679,episode_length,210
2,693,episode_reward,-207.689844
2,693,episode_length,203
2,708,episode_reward,-815.841543
2,708,episode_length,370
2,737,episode_reward,-221.490245
2,737,episode_length,109
2,754,episode_reward,-606.416679
2,754,episode_length,135
2,763,episode_reward,-470.568106
2,763,episode_length,115
2,765,episode_reward,-263.668703
2,765,episode_length,163
2,771,episode_reward,-541.18499
2,771,episode_length,235
2,780,episode_reward,-437.845861
2,780,episode_length,116
2,808,episode_reward,-429.843023
2,808,episode_length,196
2,825,episode_reward,-652.202571
2,825,episode_length,196
2,829,episode_reward,-482.064157
2,829,episode_length,239
2,836,episode_reward,-470.105798
2,836,episode_length,231
2,870,episode_reward,-293.901172
2,870,episode_length,177
2,877,episode_reward,-943.301168
2,877,episode_length,545
2,880,episode_reward,-515.716269
2,880,episode_length,279
2,881,episode_reward,-337.185456
2,881,episode_length,118
2,894,episode_reward,-275.935835
2,894,episode_length,140
2,896,episode_reward,-470.801412
2,896,episode_length,288
2,922,episode_reward,-554.017821
2,922,episode_length,243
2,925,episode_reward,-383.86141
2,925,episode_length,89
2,949,episode_reward,-577.923348
2,949,episode_length,79
2,952,episode_reward,-491.104548
2,952,episode_length,187
2,962,episode_reward,-563.884709
2,962,episode_length,191
2,964,episode_reward,-425.896466
2,964,episode_length,184
2,1006,episode_reward,-410.21182
2,1006,episode_length,126
2,1018,episode_reward,-599.916449
2,1018,episode_length,210
2,1028,episode_reward,-352.408725
2,1028,episode_length,132
2,1052,episode_reward,-540.684335
2,1052,episode_length,223
2,1074,episode_reward,-418.479465
2,1074,episode_length,122
2,1076,episode_reward,-876.667815
2,1076,episode_length,368
2,1080,episode_reward,-449.546507
2,1080,episode_length,158
2,1094,episode_reward,-546.248295
2,1094,episode_length,217
2,1107,episode_reward,-1101.321197
2,1107,episode_length,370
2,1116,episode_reward,-417.508543
2,1116,episode_length,88
2,1136,episode_reward,-618.176578
2,1136,episode_length,172
2,1158,episode_reward,-504.300498
2,1158,episode_length,152
2,1176,episode_reward,-255.661071
2,1176,episode_length,102
2,1178,episode_reward,-396.341388
2,1178,episode_length,253
2,1191,episode_reward,-514.48049
2,1191,episode_length,366
2,1217,episode_reward,-253.471835
2,1217,episode_length,165
2,1238,episode_reward,-709.349674
2,1238,episode_length,357
2,1238,episode_reward,-762.173587
2,1238,episode_length,220
2,1239,episode_reward,-599.678631
2,1239,episode_length,277
2,1243,episode_reward,-333.617465
2,1243,episode_length,107
2,1266,episode_reward,-427.368835
2,1266,episode_length,190
2,1290,episode_reward,-612.703856
2,1290,episode_length,196
2,1311,episode_reward,-444.948796
2,1311,episode_length,94
2,1331,episode_reward,-220.954245
2,1331,episode_length,93
2,1341,episode_reward,-289.788599
2,1341,episode_length,102
2,1375,episode_reward,-500.93345
2,1375,episode_length,184
2,1392,episode_reward,-1123.268945
2,1392,episode_length,443
2,1417,episode_reward,-442.166207
2,1417,episode_length,301
2,1459,episode_reward,-273.02067
2,1459,episode_length,216
2,1465,episode_reward,-705.049365
2,1465,episode_length,175
2,1467,episode_reward,-920.998649
2,1467,episode_length,309
2,1493,episode_reward,-1427.612314
2,1493,episode_length,599
2,1529,episode_reward,-82.07158
2,1529,episode_length,351
2,1542,episode_reward,-324.936264
2,1542,episode_length,304
2,1559,episode_reward,-408.449618
2,1559,episode_length,452
2,1567,episode_reward,-198.659732
2,1567,episode_length,192
2,1581,episode_reward,-677.472606
2,1581,episode_length,501
2,1599,episode_reward,-509.745618
2,1599,episode_length,268
2,1603,episode_reward,-348.489162
2,1603,episode_length,262
2,1617,episode_reward,-495.663596
2,1617,episode_length,306
2,1657,episode_reward,-570.793258
2,1657,episode_length,240
2,1664,episode_reward,-625.696012
2,1664,episode_length,199
2,1667,episode_reward,-508.155514
2,1667,episode_length,86
2,1672,episode_reward,-653.641444
2,1672,episode_length,130
2,1695,episode_reward,-408.702215
2,1695,episode_length,429
2,1705,episode_reward,-482.304476
2,1705,episode_length,529
2,1728,episode_reward,-301.330856
2,1728,episode_length,199
2,1747,episode_reward,-569.475342
2,1747,episode_length,188
2,1758,episode_reward,-405.940802
2,1758,episode_length,94
2,1789,episode_reward,-427.479958
2,1789,episode_length,186
2,1796,episode_reward,-456.832596
2,1796,episode_length,404
2,1798,episode_reward,-473.527471
2,1798,episode_length,93
2,1799,episode_reward,-709.021876
2,1799,episode_length,232
2,1807,episode_reward,-867.986061
2,1807,episode_length,314
2,1839,episode_reward,-291.667833
2,1839,episode_length,111
2,1864,episode_reward,-43.590067
2,1864,episode_length,397
2,1882,episode_reward,-647.794617
2,1882,episode_length,265
2,1883,episode_reward,-178.729281
2,1883,episode_length,211
2,1887,episode_reward,-274.919908
2,1887,episode_length,98
2,1893,episode_reward,-311.92218
2,1893,episode_length,95
2,1898,episode_reward,-699.340425
2,1898,episode_length,299
2,1925,episode_reward,-260.122863
2,1925,episode_length,118
2,1940,episode_reward,-322.518738
2,1940,episode_length,283
2,1943,episode_reward,-693.310832
2,1943,episode_length,147
2,1959,episode_reward,-431.796868
2,1959,episode_length,120
2,2003,episode_reward,-507.67742
2,2003,episode_length,116
2,2008,episode_reward,-447.260528
2,2008,episode_length,209
2,2014,episode_reward,-311.288632
2,2014,episode_length,132
2,2015,episode_reward,-1039.586036
2,2015,episode_length,268
2,2021,episode_reward,-985.000129
2,2021,episode_length,263
4,88,episode_reward,-341.365928
4,88,episode_length,88
4,101,episode_reward,-279.086066
4,101,episode_length,101
4,132,episode_reward,-406.730962
4,132,episode_length,132
4,190,episode_reward,-551.289578
4,190,episode_length,190
4,211,episode_reward,-203.543057
4,211,episode_length,211
4,216,episode_reward,-263.767533
4,216,episode_length,216
4,227,episode_reward,-123.060024
4,227,episode_length,227
4,257,episode_reward,-425.487418
4,257,episode_length,169
4,286,episode_reward,-457.047033
4,286,episode_length,286
4,287,episode_reward,-157.086328
4,287,episode_length,287
4,300,episode_reward,-225.632233
4,300,episode_length,199
4,356,episode_reward,-265.547193
4,356,episode_length,356
4,402,episode_reward,-239.736367
4,402,episode_length,212
4,469,episode_reward,-247.911344
4,469,episode_length,337
4,500,episode_reward,-310.937855
4,500,episode_length,284
4,541,episode_reward,-275.806356
4,541,episode_length,541
4,546,episode_reward,-256.657243
4,546,episode_length,190
4,661,episode_reward,-986.651746
4,661,episode_length,661
4,675,episode_reward,-351.151569
4,675,episode_length,134
4,723,episode_reward,-970.651194
4,723,episode_length,723
4,769,episode_reward,-706.804177
4,769,episode_length,469
4,890,episode_reward,-141.540515
4,890,episode_length,121
4,908,episode_reward,-1812.704738
4,908,episode_length,908
4,951,episode_reward,-1056.279823
4,951,episode_length,451
4,962,episode_reward,-358.083711
4,962,episode_length,751
4,962,episode_reward,-2036.488583
4,962,episode_length,962
4,986,episode_reward,-284.442673
4,986,episode_length,96
4,1043,episode_reward,-548.361509
4,1043,episode_length,574
4,1062,episode_reward,-1026.531319
4,1062,episode_length,805
4,1107,episode_reward,-147.080129
4,1107,episode_length,384
4,1112,episode_reward,-1025.7413
4,1112,episode_length,1112
4,1126,episode_reward,-510.776762
4,1126,episode_length,899
4,1153,episode_reward,-556.206465
4,1153,episode_length,191
4,1188,episode_reward,-384.83599
4,1188,episode_length,126
4,1248,episode_reward,-605.566056
4,1248,episode_length,262
4,1269,episode_reward,-169.893438
4,1269,episode_length,361
4,1334,episode_reward,-343.296781
4,1334,episode_length,181
4,1336,episode_reward,-260.063606
4,1336,episode_length,385
4,1344,episode_reward,-7.092141
4,1344,episode_length,156
4,1347,episode_reward,-278.735566
4,1347,episode_length,304
4,1353,episode_reward,-326.938304
4,1353,episode_length,105
4,1370,episode_reward,-965.214866
4,1370,episode_length,709
4,1384,episode_reward,-2617.806963
4,1384,episode_length,1097
4,1388,episode_reward,-101.073608
4,1388,episode_length,276
4,1415,episode_reward,-305.671078
4,1415,episode_length,146
4,1454,episode_reward,-285.803683
4,1454,episode_length,120
4,1465,episode_reward,-376.403129
4,1465,episode_length,112
4,1473,episode_reward,-377.554893
4,1473,episode_length,129
4,1535,episode_reward,-336.759521
4,1535,episode_length,409
4,1566,episode_reward,-241.251434
4,1566,episode_length,459
4,1572,episode_reward,-201.19253
4,1572,episode_length,99
4,1577,episode_reward,-1257.148934
4,1577,episode_length,1291
4,1591,episode_reward,-607.010553
4,1591,episode_length,629
4,1640,episode_reward,-582.628496
4,1640,episode_length,225
4,1647,episode_reward,-375.165277
4,1647,episode_length,182
4,1666,episode_reward,-217.683208
4,1666,episode_length,89
4,1800,episode_reward,-350.344627
4,1800,episode_length,153
4,1806,episode_reward,-643.459073
4,1806,episode_length,436
4,1813,episode_reward,-3127.013987
4,1813,episode_length,1267
4,1925,episode_reward,-257.313266
4,1925,episode_length,390
4,1982,episode_reward,-1029.986525
4,1982,episode_length,416
4,1983,episode_reward,-1280.821765
4,1983,episode_length,1308
4,2032,episode_reward,-1404.121822
4,2032,episode_length,644
6,106,episode_reward,-110.056883
6,106,episode_length,106
6,113,episode_reward,-177.368315
6,113,episode_length,113
6,117,episode_reward,-284.217068
6,117,episode_length,117
6,140,episode_reward,-176.074487
6,140,episode_length,140
6,164,episode_reward,-86.356318
6,164,episode_length,164
6,179,episode_reward,-178.886384
6,179,episode_length,179
6,184,episode_reward,-174.219383
6,184,episode_length,184
6,195,episode_reward,-175.583481
6,195,episode_length,195
6,220,episode_reward,-300.205225
6,220,episode_length,220
6,226,episode_reward,-120.126485
6,226,episode_length,226
6,256,episode_reward,-235.587453
6,256,episode_length,256
6,260,episode_reward,-140.600171
6,260,episode_length,260
6,284,episode_reward,-225.744659
6,284,episode_length,178
6,289,episode_reward,-277.412452
6,289,episode_length,105
6,308,episode_reward,-215.186248
6,308,episode_length,113
6,342,episode_reward,-179.94322
6,342,episode_length,342
6,343,episode_reward,-305.296305
6,343,episode_length,343
6,372,episode_reward,-394.814902
6,372,episode_length,232
6,401,episode_reward,-235.436743
6,401,episode_length,117
6,440,episode_reward,-283.522278
6,440,episode_length,151
6,445,episode_reward,-27.462811
6,445,episode_length,137
6,512,episode_reward,-81.255272
6,512,episode_length,348
6,538,episode_reward,-290.381042
6,538,episode_length,166
6,544,episode_reward,-156.545989
6,544,episode_length,284
6,562,episode_reward,-206.672434
6,562,episode_length,161
6,566,episode_reward,-209.189472
6,566,episode_length,387
6,586,episode_reward,-122.676386
6,586,episode_length,586
6,654,episode_reward,-288.707453
6,654,episode_length,398
6,656,episode_reward,-174.404587
6,656,episode_length,539
6,661,episode_reward,-330.60022
6,661,episode_length,548
6,674,episode_reward,-101.778699
6,674,episode_length,229
6,708,episode_reward,-219.914886
6,708,episode_length,196
6,715,episode_reward,-201.500033
6,715,episode_length,177
6,724,episode_reward,-160.952065
6,724,episode_length,382
6,727,episode_reward,-269.735777
6,727,episode_length,141
6,739,episode_reward,-328.368087
6,739,episode_length,195
6,747,episode_reward,-176.389559
6,747,episode_length,181
6,755,episode_reward,-353.187742
6,755,episode_length,99
6,856,episode_reward,-305.924917
6,856,episode_length,117
6,857,episode_reward,-62.26856
6,857,episode_length,183
6,957,episode_reward,-172.857619
6,957,episode_length,737
6,966,episode_reward,-453.931197
6,966,episode_length,404
6,1025,episode_reward,-98.496329
6,1025,episode_length,298
6,1128,episode_reward,-201.336563
6,1128,episode_length,162
6,1205,episode_reward,-440.682827
6,1205,episode_length,450
6,1222,episode_reward,-164.660425
6,1222,episode_length,197
6,1276,episode_reward,-113.218462
6,1276,episode_length,1276
6,1287,episode_reward,-238.703917
6,1287,episode_length,431
6,1328,episode_reward,-202.234536
6,1328,episode_length,371
6,1447,episode_reward,-318.346863
6,1447,episode_length,1221
6,1458,episode_reward,-292.794445
6,1458,episode_length,182
6,1472,episode_reward,-105.471657
6,1472,episode_length,185
6,1519,episode_reward,-228.598352
6,1519,episode_length,858
6,1576,episode_reward,-150.540407
6,1576,episode_length,118
6,1606,episode_reward,-290.104217
6,1606,episode_length,898
6,1608,episode_reward,-147.132427
6,1608,episode_length,751
6,1642,episode_reward,-146.949941
6,1642,episode_length,123
6,1697,episode_reward,-232.910745
6,1697,episode_length,492
6,1845,episode_reward,-146.696242
6,1845,episode_length,373
6,1899,episode_reward,-89.810984
6,1899,episode_length,291
6,1977,episode_reward,-150.900014
6,1977,episode_length,1323
7,107,episode_reward,-309.33725
7,107,episode_length,107
7,119,episode_reward,-274.471726
7,119,episode_length,119
7,122,episode_reward,-123.178666
7,122,episode_length,122
7,210,episode_reward,-283.756185
7,210,episode_length,210
7,262,episode_reward,-75.06126
7,262,episode_length,262
7,298,episode_reward,-258.955122
7,298,episode_length,298
7,298,episode_reward,-118.153468
7,298,episode_length,298
7,310,episode_reward,-195.361426
7,310,episode_length,203
7,417,episode_reward,-163.0558
7,417,episode_length,119
7,449,episode_reward,8.394886
7,449,episode_length,139
7,472,episode_reward,-105.932738
7,472,episode_length,262
7,566,episode_reward,-213.567531
7,566,episode_length,304
7,783,episode_reward,-156.485197
7,783,episode_length,664
7,872,episode_reward,-139.666064
7,872,episode_length,872
7,984,episode_reward,-98.145433
7,984,episode_length,984
7,1029,episode_reward,-217.469608
7,1029,episode_length,1029
7,1068,episode_reward,-156.20937
7,1068,episode_length,196
7,1120,episode_reward,-174.570881
7,1120,episode_length,1120
7,1168,episode_reward,1.38696
7,1168,episode_length,139
7,1185,episode_reward,-181.877875
7,1185,episode_length,117
7,1308,episode_reward,-176.079054
7,1308,episode_length,123
7,1318,episode_reward,-112.366403
7,1318,episode_length,535
7,1368,episode_reward,-171.558111
7,1368,episode_length,200
