round,step,metric,value
1,94,episode_reward,-375.154494
1,94,episode_length,94
1,96,episode_reward,-416.051647
1,96,episode_length,96
1,98,episode_reward,-211.800348
1,98,episode_length,98
1,100,episode_reward,-550.683226
1,100,episode_length,100
1,100,episode_reward,-168.690506
1,100,episode_length,100
1,109,episode_reward,-361.222211
1,109,episode_length,109
1,120,episode_reward,-135.768449
1,120,episode_length,120
1,131,episode_reward,-210.811338
1,131,episode_length,131
1,138,episode_reward,-364.486157
1,138,episode_length,138
1,141,episode_reward,-535.398671
1,141,episode_length,141
1,149,episode_reward,-350.458966
1,149,episode_length,149
1,170,episode_reward,-250.790242
1,170,episode_length,170
1,183,episode_reward,-498.580553
1,183,episode_length,183
1,200,episode_reward,-302.799322
1,200,episode_length,200
1,218,episode_reward,-404.320182
1,218,episode_length,218
1,218,episode_reward,-113.505156
1,218,episode_length,120
1,224,episode_reward,-378.628097
1,224,episode_length,115
1,233,episode_reward,-457.434998
1,233,episode_length,102
1,233,episode_reward,-355.576996
1,233,episode_length,139
1,245,episode_reward,-347.802067
1,245,episode_length,125
1,254,episode_reward,-398.162048
1,254,episode_length,113
1,256,episode_reward,-157.951502
1,256,episode_length,107
1,278,episode_reward,-497.51451
1,278,episode_length,140
1,284,episode_reward,-570.79604
1,284,episode_length,188
1,291,episode_reward,-576.515932
1,291,episode_length,191
1,291,episode_reward,-579.125733
1,291,episode_length,191
1,326,episode_reward,-460.463939
1,326,episode_length,108
1,331,episode_reward,-325.755057
1,331,episode_length,98
1,334,episode_reward,-293.399172
1,334,episode_length,164
1,354,episode_reward,-521.823663
1,354,episode_length,98
1,367,episode_reward,-466.97817
1,367,episode_length,143
1,370,episode_reward,-383.796631
1,370,episode_length,170
1,373,episode_reward,-586.752343
1,373,episode_length,373
1,399,episode_reward,-542.263706
1,399,episode_length,145
1,418,episode_reward,-587.079427
1,418,episode_length,185
1,423,episode_reward,-190.166484
1,423,episode_length,178
1,429,episode_reward,-503.393243
1,429,episode_length,246
1,448,episode_reward,-500.860293
1,448,episode_length,157
1,464,episode_reward,-469.912108
1,464,episode_length,138
1,469,episode_reward,-477.82636
1,469,episode_length,135
1,469,episode_reward,-400.505633
1,469,episode_length,138
