round,step,metric,value
1,94,episode_reward,-521.950969
1,94,episode_length,94
1,116,episode_reward,-651.904423
1,116,episode_length,116
1,120,episode_reward,-259.014993
1,120,episode_length,120
1,121,episode_reward,-303.963568
1,121,episode_length,121
1,143,episode_reward,-694.165099
1,143,episode_length,143
1,144,episode_reward,-267.82509
1,144,episode_length,144
1,169,episode_reward,-381.865141
1,169,episode_length,169
1,172,episode_reward,-805.585471
1,172,episode_length,172
1,176,episode_reward,-479.228931
1,176,episode_length,176
1,183,episode_reward,-661.613364
1,183,episode_length,183
1,235,episode_reward,-849.802585
1,235,episode_length,235
1,239,episode_reward,-373.274414
1,239,episode_length,239
1,240,episode_reward,-539.108352
1,240,episode_length,146
1,240,episode_reward,-476.46081
1,240,episode_length,119
1,241,episode_reward,-462.706737
1,241,episode_length,241
1,266,episode_reward,-400.338785
1,266,episode_length,266
1,271,episode_reward,-678.098919
1,271,episode_length,127
1,315,episode_reward,-432.022519
1,315,episode_length,315
1,315,episode_reward,-578.812802
1,315,episode_length,172
1,327,episode_reward,-926.398857
1,327,episode_length,155
1,341,episode_reward,-399.697291
1,341,episode_length,100
1,354,episode_reward,-518.230276
1,354,episode_length,238
1,354,episode_reward,-392.683792
1,354,episode_length,171
1,362,episode_reward,-479.394871
1,362,episode_length,242
1,385,episode_reward,-1242.646904
1,385,episode_length,216
1,391,episode_reward,-368.263738
1,391,episode_length,120
1,420,episode_reward,-117.684154
1,420,episode_length,105
1,428,episode_reward,-407.663214
1,428,episode_length,188
1,434,episode_reward,-804.581797
1,434,episode_length,194
1,461,episode_reward,-471.511807
1,461,episode_length,107
1,468,episode_reward,-606.456786
1,468,episode_length,114
1,491,episode_reward,-441.364886
1,491,episode_length,256
1,499,episode_reward,-394.660469
1,499,episode_length,260
1,515,episode_reward,-448.652095
1,515,episode_length,174
1,529,episode_reward,-933.444583
1,529,episode_length,214
1,533,episode_reward,-575.32584
1,533,episode_length,171
1,541,episode_reward,-545.206404
1,541,episode_length,214
1,546,episode_reward,-463.511558
1,546,episode_length,112
1,547,episode_reward,-578.222198
1,547,episode_length,127
1,556,episode_reward,-512.649824
1,556,episode_length,171
1,557,episode_reward,-393.315601
1,557,episode_length,557
1,584,episode_reward,-892.089435
1,584,episode_length,156
