round,step,metric,value
1,59,episode_reward,-313.529959
1,59,episode_length,59
1,62,episode_reward,-215.909247
1,62,episode_length,62
1,65,episode_reward,-105.043759
1,65,episode_length,65
1,70,episode_reward,-406.78493
1,70,episode_length,70
1,72,episode_reward,-95.577706
1,72,episode_length,72
1,76,episode_reward,-144.973772
1,76,episode_length,76
1,77,episode_reward,-147.086856
1,77,episode_length,77
1,80,episode_reward,-329.835529
1,80,episode_length,80
1,89,episode_reward,-102.442752
1,89,episode_length,89
1,90,episode_reward,-191.466574
1,90,episode_length,90
1,94,episode_reward,-271.002005
1,94,episode_length,94
1,96,episode_reward,-193.802088
1,96,episode_length,96
1,97,episode_reward,-564.585517
1,97,episode_length,97
1,104,episode_reward,-444.498552
1,104,episode_length,104
1,109,episode_reward,-410.626445
1,109,episode_length,109
1,112,episode_reward,-138.544225
1,112,episode_length,112
1,132,episode_reward,-131.243412
1,132,episode_length,62
1,149,episode_reward,-302.818904
1,149,episode_length,90
1,167,episode_reward,-241.763992
1,167,episode_length,105
1,167,episode_reward,-90.024856
1,167,episode_length,63
1,168,episode_reward,-159.555531
1,168,episode_length,91
1,168,episode_reward,-195.797874
1,168,episode_length,96
1,168,episode_reward,-225.721403
1,168,episode_length,71
1,168,episode_reward,-353.441601
1,168,episode_length,92
1,174,episode_reward,-157.710629
1,174,episode_length,62
1,178,episode_reward,-66.927613
1,178,episode_length,69
1,178,episode_reward,-590.912566
1,178,episode_length,113
1,185,episode_reward,-375.053845
1,185,episode_length,89
1,187,episode_reward,-215.031999
1,187,episode_length,93
1,194,episode_reward,-264.487782
1,194,episode_length,114
1,197,episode_reward,-351.84522
1,197,episode_length,108
1,213,episode_reward,-253.310502
1,213,episode_length,123
1,228,episode_reward,-143.007901
1,228,episode_length,96
1,228,episode_reward,-80.27807
1,228,episode_length,54
1,231,episode_reward,-138.498323
1,231,episode_length,82
1,235,episode_reward,-72.998856
1,235,episode_length,68
1,242,episode_reward,-183.215898
1,242,episode_length,75
1,248,episode_reward,-275.077611
1,248,episode_length,80
1,252,episode_reward,-119.162336
1,252,episode_length,67
