round,step,metric,value
1,98,episode_reward,-376.613475
1,98,episode_length,98
1,100,episode_reward,-211.418166
1,100,episode_length,100
1,102,episode_reward,-410.688968
1,102,episode_length,102
1,107,episode_reward,-120.469072
1,107,episode_length,107
1,108,episode_reward,-489.101546
1,108,episode_length,108
1,110,episode_reward,-307.658558
1,110,episode_length,110
1,118,episode_reward,-148.459038
1,118,episode_length,118
1,119,episode_reward,-558.264351
1,119,episode_length,119
1,130,episode_reward,-367.744289
1,130,episode_length,130
1,133,episode_reward,-373.514406
1,133,episode_length,133
1,134,episode_reward,-522.150512
1,134,episode_length,134
1,138,episode_reward,-614.507933
1,138,episode_length,138
1,158,episode_reward,-513.213323
1,158,episode_length,158
1,163,episode_reward,-280.694259
1,163,episode_length,163
1,164,episode_reward,-638.854882
1,164,episode_length,164
1,187,episode_reward,-476.28463
1,187,episode_length,87
1,212,episode_reward,-443.761118
1,212,episode_length,102
1,227,episode_reward,-208.081856
1,227,episode_length,129
1,229,episode_reward,-325.144349
1,229,episode_length,95
1,246,episode_reward,-430.799164
1,246,episode_length,139
1,252,episode_reward,-480.199855
1,252,episode_length,133
1,259,episode_reward,-403.184797
1,259,episode_length,126
1,280,episode_reward,-489.469505
1,280,episode_length,178
1,286,episode_reward,-446.018773
1,286,episode_length,178
1,290,episode_reward,-450.191747
1,290,episode_length,290
1,298,episode_reward,-384.401766
1,298,episode_length,168
1,302,episode_reward,-389.436036
1,302,episode_length,184
1,302,episode_reward,-233.91027
1,302,episode_length,138
1,308,episode_reward,-179.691357
1,308,episode_length,121
1,337,episode_reward,0.511109
1,337,episode_length,174
1,367,episode_reward,-315.959859
1,367,episode_length,87
1,377,episode_reward,-533.847538
1,377,episode_length,148
1,383,episode_reward,-386.555798
1,383,episode_length,171
1,387,episode_reward,-496.011712
1,387,episode_length,249
1,402,episode_reward,-508.73016
1,402,episode_length,175
1,408,episode_reward,-513.986389
1,408,episode_length,156
1,426,episode_reward,-102.889272
1,426,episode_length,124
1,447,episode_reward,-457.61404
1,447,episode_length,149
1,453,episode_reward,-370.195639
1,453,episode_length,167
1,460,episode_reward,-335.37053
1,460,episode_length,214
1,469,episode_reward,-370.61319
1,469,episode_length,210
1,470,episode_reward,-31.164224
1,470,episode_length,180
1,483,episode_reward,-221.121046
1,483,episode_length,181
1,505,episode_reward,-168.485373
1,505,episode_length,103
1,508,episode_reward,-491.601302
1,508,episode_length,350
1,540,episode_reward,-79.622541
1,540,episode_length,203
1,577,episode_reward,-465.535397
1,577,episode_length,194
1,588,episode_reward,-430.796397
1,588,episode_length,180
1,589,episode_reward,-386.172548
1,589,episode_length,222
1,606,episode_reward,-33.79115
1,606,episode_length,153
1,618,episode_reward,-200.496915
1,618,episode_length,110
1,624,episode_reward,-549.039263
1,624,episode_length,247
1,625,episode_reward,-486.139052
1,625,episode_length,120
1,625,episode_reward,-213.146914
1,625,episode_length,238
1,639,episode_reward,-142.523928
1,639,episode_length,331
1,650,episode_reward,-388.804383
1,650,episode_length,224
1,652,episode_reward,-535.920524
1,652,episode_length,182
1,653,episode_reward,-292.219832
1,653,episode_length,206
1,660,episode_reward,-460.29824
1,660,episode_length,200
1,675,episode_reward,-605.663685
1,675,episode_length,192
1,684,episode_reward,-322.538612
1,684,episode_length,144
1,701,episode_reward,-531.816032
1,701,episode_length,124
1,714,episode_reward,-264.609778
1,714,episode_length,125
1,722,episode_reward,-24.794009
1,722,episode_length,134
1,728,episode_reward,-295.350753
1,728,episode_length,89
1,754,episode_reward,-311.895755
1,754,episode_length,101
1,760,episode_reward,-269.861615
1,760,episode_length,136
1,769,episode_reward,-574.829281
1,769,episode_length,144
1,775,episode_reward,-532.599854
1,775,episode_length,157
1,776,episode_reward,-618.641248
1,776,episode_length,307
1,784,episode_reward,-231.509129
1,784,episode_length,159
1,792,episode_reward,-510.352551
1,792,episode_length,142
1,793,episode_reward,-699.319523
1,793,episode_length,141
1,794,episode_reward,13.919362
1,794,episode_length,119
1,801,episode_reward,-161.516698
1,801,episode_length,195
1,806,episode_reward,-271.409923
1,806,episode_length,146
1,830,episode_reward,-524.164506
1,830,episode_length,146
1,830,episode_reward,-394.690788
1,830,episode_length,102
1,835,episode_reward,-270.06097
1,835,episode_length,121
1,841,episode_reward,-446.868584
1,841,episode_length,87
1,868,episode_reward,-433.568507
1,868,episode_length,99
1,900,episode_reward,-466.937358
1,900,episode_length,108
1,901,episode_reward,-394.53792
1,901,episode_length,179
1,912,episode_reward,-430.18135
1,912,episode_length,128
1,914,episode_reward,-368.086632
1,914,episode_length,139
1,916,episode_reward,-250.819953
1,916,episode_length,110
1,927,episode_reward,-180.967668
1,927,episode_length,134
1,942,episode_reward,-582.533192
1,942,episode_length,141
1,948,episode_reward,-429.138924
1,948,episode_length,154
1,952,episode_reward,-491.885498
1,952,episode_length,111
1,963,episode_reward,-418.678599
1,963,episode_length,187
1,982,episode_reward,-321.708817
1,982,episode_length,147
1,984,episode_reward,-496.24441
1,984,episode_length,154
1,1004,episode_reward,-414.42737
1,1004,episode_length,244
1,1018,episode_reward,-321.47016
1,1018,episode_length,106
1,1025,episode_reward,-443.881588
1,1025,episode_length,324
1,1033,episode_reward,-623.390767
1,1033,episode_length,91
1,1042,episode_reward,-398.254391
1,1042,episode_length,142
1,1061,episode_reward,-460.674025
1,1061,episode_length,145
1,1065,episode_reward,-476.410941
1,1065,episode_length,164
1,1071,episode_reward,-530.622615
1,1071,episode_length,203
1,1083,episode_reward,-399.456521
1,1083,episode_length,135
1,1094,episode_reward,-331.545662
1,1094,episode_length,180
1,1103,episode_reward,-295.729781
1,1103,episode_length,140
1,1104,episode_reward,-559.986392
1,1104,episode_length,274
1,1107,episode_reward,-200.375478
1,1107,episode_length,103
1,1109,episode_reward,-411.58225
1,1109,episode_length,182
1,1121,episode_reward,-301.473342
1,1121,episode_length,96
1,1128,episode_reward,-622.445925
1,1128,episode_length,95
1,1141,episode_reward,-532.856633
1,1141,episode_length,123
1,1156,episode_reward,-176.610787
1,1156,episode_length,204
1,1177,episode_reward,-480.766201
1,1177,episode_length,195
1,1189,episode_reward,-353.905719
1,1189,episode_length,106
1,1195,episode_reward,-261.317163
1,1195,episode_length,91
1,1210,episode_reward,-243.391286
1,1210,episode_length,139
1,1220,episode_reward,-192.035251
1,1220,episode_length,178
1,1223,episode_reward,-408.836149
1,1223,episode_length,162
1,1244,episode_reward,-265.526778
1,1244,episode_length,116
1,1270,episode_reward,-265.463028
1,1270,episode_length,149
1,1281,episode_reward,-1.59105
1,1281,episode_length,104
1,1282,episode_reward,-645.152606
1,1282,episode_length,217
1,1306,episode_reward,-205.318733
1,1306,episode_length,150
1,1310,episode_reward,-563.329377
1,1310,episode_length,216
1,1311,episode_reward,-319.432379
1,1311,episode_length,204
1,1320,episode_reward,-262.183661
1,1320,episode_length,179
1,1335,episode_reward,-368.78729
1,1335,episode_length,125
1,1339,episode_reward,-281.49638
1,1339,episode_length,144
1,1358,episode_reward,-604.717885
1,1358,episode_length,249
1,1364,episode_reward,-579.361362
1,1364,episode_length,120
1,1367,episode_reward,-58.356803
1,1367,episode_length,86
1,1372,episode_reward,-331.139505
1,1372,episode_length,269
1,1375,episode_reward,-352.340751
1,1375,episode_length,105
1,1384,episode_reward,-525.013271
1,1384,episode_length,164
1,1412,episode_reward,-483.713085
1,1412,episode_length,102
1,1414,episode_reward,-195.582371
1,1414,episode_length,191
1,1420,episode_reward,-236.215514
1,1420,episode_length,109
1,1425,episode_reward,-531.734475
1,1425,episode_length,143
1,1434,episode_reward,-313.332477
1,1434,episode_length,450
1,1455,episode_reward,-518.71442
1,1455,episode_length,116
1,1474,episode_reward,-300.889359
1,1474,episode_length,116
1,1475,episode_reward,-301.109925
1,1475,episode_length,155
1,1481,episode_reward,-422.249428
1,1481,episode_length,114
1,1486,episode_reward,-236.883229
1,1486,episode_length,111
1,1488,episode_reward,-45.613608
1,1488,episode_length,153
1,1498,episode_reward,-888.120048
1,1498,episode_length,192
1,1505,episode_reward,-242.021342
1,1505,episode_length,141
1,1512,episode_reward,-385.459871
1,1512,episode_length,87
1,1514,episode_reward,-401.085106
1,1514,episode_length,100
1,1525,episode_reward,-356.646306
1,1525,episode_length,105
1,1558,episode_reward,-385.954644
1,1558,episode_length,103
1,1565,episode_reward,-758.132294
1,1565,episode_length,181
1,1579,episode_reward,-452.617751
1,1579,episode_length,105
1,1601,episode_reward,-401.315269
1,1601,episode_length,120
1,1601,episode_reward,-298.209442
1,1601,episode_length,115
1,1612,episode_reward,-458.016941
1,1612,episode_length,137
1,1616,episode_reward,-337.54832
1,1616,episode_length,182
1,1622,episode_reward,-534.493448
1,1622,episode_length,433
1,1622,episode_reward,-420.664739
1,1622,episode_length,124
1,1643,episode_reward,-341.555552
1,1643,episode_length,85
