round,step,metric,value
0,78,episode_reward,-659.871485
0,78,episode_length,78
0,83,episode_reward,-270.792578
0,83,episode_length,83
0,104,episode_reward,-343.522476
0,104,episode_length,104
0,108,episode_reward,-667.025366
0,108,episode_length,108
0,110,episode_reward,-529.785259
0,110,episode_length,110
0,128,episode_reward,-348.828841
0,128,episode_length,128
0,129,episode_reward,-719.975303
0,129,episode_length,129
0,131,episode_reward,-597.578714
0,131,episode_length,131
0,133,episode_reward,-629.932007
0,133,episode_length,133
0,160,episode_reward,-697.105506
0,160,episode_length,160
0,166,episode_reward,-563.626784
0,166,episode_length,166
0,204,episode_reward,-461.068593
0,204,episode_length,204
0,226,episode_reward,-454.535153
0,226,episode_length,93
0,231,episode_reward,-529.403335
0,231,episode_length,127
0,245,episode_reward,-594.256492
0,245,episode_length,135
0,266,episode_reward,-238.098353
0,266,episode_length,106
0,268,episode_reward,-1344.540138
0,268,episode_length,268
0,273,episode_reward,-769.679507
0,273,episode_length,145
0,276,episode_reward,-257.410461
0,276,episode_length,193
0,282,episode_reward,-391.457835
0,282,episode_length,204
0,316,episode_reward,-483.10378
0,316,episode_length,208
0,340,episode_reward,-1192.095467
0,340,episode_length,340
0,341,episode_reward,-335.811442
0,341,episode_length,115
0,378,episode_reward,-958.641988
0,378,episode_length,378
0,379,episode_reward,-467.728317
0,379,episode_length,103
0,388,episode_reward,-370.610333
0,388,episode_length,259
0,389,episode_reward,-292.353378
0,389,episode_length,107
0,390,episode_reward,-462.343851
0,390,episode_length,145
0,405,episode_reward,-622.492018
0,405,episode_length,174
0,409,episode_reward,-1885.804437
0,409,episode_length,409
0,440,episode_reward,-439.375398
0,440,episode_length,99
0,442,episode_reward,-725.120062
0,442,episode_length,126
0,480,episode_reward,-995.611492
0,480,episode_length,314
0,487,episode_reward,-619.44617
0,487,episode_length,221
0,488,episode_reward,-617.959275
0,488,episode_length,220
0,489,episode_reward,-1974.768811
0,489,episode_length,358
0,502,episode_reward,-651.784584
0,502,episode_length,123
0,503,episode_reward,-1251.721058
0,503,episode_length,299
0,507,episode_reward,-683.517725
0,507,episode_length,98
0,547,episode_reward,-966.373757
0,547,episode_length,142
0,551,episode_reward,-433.110247
0,551,episode_length,111
0,568,episode_reward,-763.206014
0,568,episode_length,179
0,577,episode_reward,-626.309055
0,577,episode_length,187
0,582,episode_reward,-587.468865
0,582,episode_length,75
0,587,episode_reward,-465.673988
0,587,episode_length,85
0,587,episode_reward,-794.709003
0,587,episode_length,209
0,603,episode_reward,-318.535397
0,603,episode_length,330
0,623,episode_reward,-813.120422
0,623,episode_length,181
0,635,episode_reward,-635.025942
0,635,episode_length,146
0,648,episode_reward,-784.951459
0,648,episode_length,308
0,652,episode_reward,-1020.713644
0,652,episode_length,172
0,668,episode_reward,-335.682564
0,668,episode_length,121
0,671,episode_reward,-1477.659033
0,671,episode_length,283
0,674,episode_reward,-683.994508
0,674,episode_length,97
0,684,episode_reward,-491.413517
0,684,episode_length,133
0,708,episode_reward,-517.566003
0,708,episode_length,105
0,720,episode_reward,-354.117882
0,720,episode_length,232
0,721,episode_reward,-717.417895
0,721,episode_length,98
0,730,episode_reward,-304.463947
0,730,episode_length,243
0,777,episode_reward,-444.057975
0,777,episode_length,106
0,778,episode_reward,-317.539797
0,778,episode_length,130
0,793,episode_reward,-1089.602758
0,793,episode_length,290
0,794,episode_reward,-708.710014
0,794,episode_length,120
0,796,episode_reward,-628.409289
0,796,episode_length,112
0,797,episode_reward,-1199.271925
0,797,episode_length,210
0,820,episode_reward,-351.429576
0,820,episode_length,238
0,827,episode_reward,-589.134249
0,827,episode_length,192
0,875,episode_reward,-714.372087
0,875,episode_length,288
0,876,episode_reward,-759.176834
0,876,episode_length,168
0,898,episode_reward,-681.843945
0,898,episode_length,120
0,930,episode_reward,-672.91042
0,930,episode_length,137
0,934,episode_reward,-365.90036
0,934,episode_length,213
0,935,episode_reward,-688.311824
0,935,episode_length,215
0,939,episode_reward,-339.567532
0,939,episode_length,119
0,949,episode_reward,-573.951687
0,949,episode_length,122
0,951,episode_reward,-714.219092
0,951,episode_length,174
0,953,episode_reward,-250.714769
0,953,episode_length,157
0,958,episode_reward,-558.27682
0,958,episode_length,161
0,979,episode_reward,-335.164406
0,979,episode_length,104
0,990,episode_reward,-1031.606828
0,990,episode_length,338
0,997,episode_reward,-798.308488
0,997,episode_length,329
0,1011,episode_reward,-271.262971
0,1011,episode_length,113
0,1036,episode_reward,-1044.416843
0,1036,episode_length,306
0,1042,episode_reward,-947.726346
0,1042,episode_length,166
0,1045,episode_reward,-504.714188
0,1045,episode_length,94
0,1046,episode_reward,-417.571042
0,1046,episode_length,111
0,1053,episode_reward,-554.482454
0,1053,episode_length,123
0,1069,episode_reward,-570.675024
0,1069,episode_length,120
0,1090,episode_reward,-219.296911
0,1090,episode_length,132
0,1111,episode_reward,-614.92398
0,1111,episode_length,100
0,1118,episode_reward,-620.871686
0,1118,episode_length,121
0,1136,episode_reward,-542.202582
0,1136,episode_length,94
0,1165,episode_reward,-515.798627
0,1165,episode_length,119
0,1179,episode_reward,-610.696559
0,1179,episode_length,134
0,1184,episode_reward,-940.140399
0,1184,episode_length,231
0,1209,episode_reward,-901.892069
0,1209,episode_length,173
0,1213,episode_reward,-941.855108
0,1213,episode_length,234
0,1219,episode_reward,-981.389034
0,1219,episode_length,229
0,1230,episode_reward,-1443.014111
0,1230,episode_length,436
0,1241,episode_reward,-1335.098931
0,1241,episode_length,307
0,1242,episode_reward,-534.190783
0,1242,episode_length,173
0,1252,episode_reward,-654.182758
0,1252,episode_length,162
0,1258,episode_reward,-676.327929
0,1258,episode_length,122
0,1306,episode_reward,-532.467721
0,1306,episode_length,87
0,1315,episode_reward,-582.780512
0,1315,episode_length,136
0,1319,episode_reward,-2708.508557
0,1319,episode_length,751
0,1336,episode_reward,-697.359975
0,1336,episode_length,123
0,1347,episode_reward,-860.153197
0,1347,episode_length,117
0,1350,episode_reward,-747.123142
0,1350,episode_length,185
0,1358,episode_reward,-547.361851
0,1358,episode_length,106
0,1369,episode_reward,-1066.627475
0,1369,episode_length,316
0,1378,episode_reward,-613.303694
0,1378,episode_length,120
0,1400,episode_reward,-527.162324
0,1400,episode_length,191
0,1434,episode_reward,-1911.776561
0,1434,episode_length,495
0,1434,episode_reward,-339.934805
0,1434,episode_length,98
0,1441,episode_reward,-876.131799
0,1441,episode_length,200
0,1461,episode_reward,-926.711362
0,1461,episode_length,146
0,1473,episode_reward,-670.47336
0,1473,episode_length,231
0,1500,episode_reward,-382.805282
0,1500,episode_length,153
0,1516,episode_reward,-550.865978
0,1516,episode_length,138
0,1522,episode_reward,-1350.901198
0,1522,episode_length,404
0,1524,episode_reward,-1041.713615
0,1524,episode_length,205
0,1545,episode_reward,-1689.80678
0,1545,episode_length,434
0,1550,episode_reward,-272.504879
0,1550,episode_length,109
0,1589,episode_reward,-721.847017
0,1589,episode_length,155
0,1644,episode_reward,-570.726943
0,1644,episode_length,94
0,1644,episode_reward,-1051.646127
0,1644,episode_length,183
0,1653,episode_reward,-526.363745
0,1653,episode_length,180
0,1654,episode_reward,-611.852534
0,1654,episode_length,470
0,1661,episode_reward,-837.211695
0,1661,episode_length,292
0,1668,episode_reward,-972.566868
0,1668,episode_length,268
0,1677,episode_reward,-456.049595
0,1677,episode_length,161
0,1690,episode_reward,-1135.077393
0,1690,episode_length,340
0,1691,episode_reward,-715.226865
0,1691,episode_length,167
0,1708,episode_reward,-552.810618
0,1708,episode_length,163
0,1710,episode_reward,-584.653061
0,1710,episode_length,121
0,1713,episode_reward,-1030.563301
0,1713,episode_length,213
0,1714,episode_reward,-416.120545
0,1714,episode_length,408
0,1739,episode_reward,-1659.660885
0,1739,episode_length,381
0,1785,episode_reward,-628.193052
0,1785,episode_length,131
0,1787,episode_reward,-320.250256
0,1787,episode_length,110
0,1788,episode_reward,-612.849835
0,1788,episode_length,74
0,1789,episode_reward,-325.066375
0,1789,episode_length,98
0,1807,episode_reward,-1394.313318
0,1807,episode_length,373
0,1817,episode_reward,-280.53853
0,1817,episode_length,104
0,1840,episode_reward,-772.504274
0,1840,episode_length,150
0,1842,episode_reward,-364.593569
0,1842,episode_length,134
0,1847,episode_reward,-764.837932
0,1847,episode_length,203
0,1850,episode_reward,-609.166369
0,1850,episode_length,206
0,1890,episode_reward,-512.907363
0,1890,episode_length,105
0,1892,episode_reward,-465.227866
