round,step,metric,value
0,59,episode_reward,-273.599286
0,59,episode_length,59
0,72,episode_reward,-162.384907
0,72,episode_length,72
0,77,episode_reward,-301.406676
0,77,episode_length,77
0,78,episode_reward,-304.213544
0,78,episode_length,78
0,79,episode_reward,-87.421374
0,79,episode_length,79
0,91,episode_reward,-152.576877
0,91,episode_length,91
0,93,episode_reward,-387.466974
0,93,episode_length,93
0,94,episode_reward,-524.868491
0,94,episode_length,94
0,94,episode_reward,-553.848119
0,94,episode_length,94
0,98,episode_reward,25.734817
0,98,episode_length,98
0,99,episode_reward,-458.076745
0,99,episode_length,99
0,99,episode_reward,-321.372475
0,99,episode_length,99
0,106,episode_reward,-476.963391
0,106,episode_length,106
0,109,episode_reward,-575.171242
0,109,episode_length,109
0,112,episode_reward,-274.211445
0,112,episode_length,112
0,115,episode_reward,-340.424687
0,115,episode_length,56
0,119,episode_reward,-252.357233
0,119,episode_length,119
0,153,episode_reward,-120.579345
0,153,episode_length,76
0,155,episode_reward,-262.394818
0,155,episode_length,56
0,158,episode_reward,-207.602088
0,158,episode_length,79
0,164,episode_reward,-263.054091
0,164,episode_length,92
0,174,episode_reward,-213.433725
0,174,episode_length,76
0,178,episode_reward,-225.951078
0,178,episode_length,84
0,181,episode_reward,-187.475211
0,181,episode_length,66
0,181,episode_reward,-353.38411
0,181,episode_length,90
0,184,episode_reward,-230.137057
0,184,episode_length,65
0,186,episode_reward,-80.655962
0,186,episode_length,77
0,187,episode_reward,-190.154847
0,187,episode_length,75
0,196,episode_reward,-366.60022
0,196,episode_length,118
0,208,episode_reward,-373.707786
0,208,episode_length,102
0,212,episode_reward,-571.865495
0,212,episode_length,118
0,218,episode_reward,-214.590147
0,218,episode_length,65
0,221,episode_reward,-262.941809
0,221,episode_length,122
0,232,episode_reward,-357.302994
0,232,episode_length,77
0,234,episode_reward,-198.196542
0,234,episode_length,76
0,235,episode_reward,-310.012576
0,235,episode_length,142
0,237,episode_reward,-391.004217
0,237,episode_length,73
0,246,episode_reward,-462.527332
0,246,episode_length,59
0,249,episode_reward,-222.343872
0,249,episode_length,68
0,260,episode_reward,-352.705002
0,260,episode_length,82
0,265,episode_reward,-242.181669
0,265,episode_length,79
0,274,episode_reward,-467.016374
0,274,episode_length,100
0,276,episode_reward,-266.489085
0,276,episode_length,68
0,282,episode_reward,-169.019062
0,282,episode_length,86
0,285,episode_reward,-194.308819
0,285,episode_length,104
0,292,episode_reward,-249.580776
0,292,episode_length,74
0,298,episode_reward,-50.756078
0,298,episode_length,63
0,306,episode_reward,-252.762624
0,306,episode_length,60
0,307,episode_reward,-100.51726
0,307,episode_length,58
0,308,episode_reward,-268.385643
0,308,episode_length,76
0,313,episode_reward,-18.910125
0,313,episode_length,76
0,314,episode_reward,-16.504761
0,314,episode_length,93
0,316,episode_reward,-600.792431
0,316,episode_length,104
0,318,episode_reward,-490.854555
0,318,episode_length,84
0,327,episode_reward,-357.632136
0,327,episode_length,143
0,341,episode_reward,-494.971641
0,341,episode_length,76
0,347,episode_reward,-218.441541
0,347,episode_length,65
0,350,episode_reward,-218.143118
0,350,episode_length,90
0,351,episode_reward,-347.614426
0,351,episode_length,75
0,362,episode_reward,-421.446888
0,362,episode_length,77
0,362,episode_reward,-121.33182
0,362,episode_length,88
0,389,episode_reward,-231.526257
0,389,episode_length,73
0,392,episode_reward,-141.22183
0,392,episode_length,65
0,399,episode_reward,-131.593645
0,399,episode_length,93
0,400,episode_reward,-448.248783
