round,step,metric,value
0,97,episode_reward,-411.505605
0,97,episode_length,97
0,125,episode_reward,-704.539255
0,125,episode_length,125
0,127,episode_reward,-346.759128
0,127,episode_length,127
0,137,episode_reward,-695.87782
0,137,episode_length,137
0,137,episode_reward,-752.987063
0,137,episode_length,137
0,141,episode_reward,-789.640877
0,141,episode_length,141
0,143,episode_reward,-555.395717
0,143,episode_length,143
0,150,episode_reward,-335.352407
0,150,episode_length,150
0,189,episode_reward,-846.833202
0,189,episode_length,189
0,191,episode_reward,-429.745186
0,191,episode_length,191
0,196,episode_reward,-367.623233
0,196,episode_length,99
0,212,episode_reward,-737.634402
0,212,episode_length,212
0,230,episode_reward,-436.621552
0,230,episode_length,230
0,237,episode_reward,-554.256568
0,237,episode_length,112
0,244,episode_reward,-415.336684
0,244,episode_length,244
0,259,episode_reward,-585.950976
0,259,episode_length,122
0,264,episode_reward,-163.137835
0,264,episode_length,114
0,273,episode_reward,-500.867411
0,273,episode_length,146
0,291,episode_reward,-474.951493
0,291,episode_length,102
0,301,episode_reward,-626.047449
0,301,episode_length,164
0,307,episode_reward,-779.318235
0,307,episode_length,307
0,311,episode_reward,-815.642836
0,311,episode_length,311
0,338,episode_reward,-476.060507
0,338,episode_length,197
0,341,episode_reward,-655.480743
0,341,episode_length,150
0,341,episode_reward,-542.362423
0,341,episode_length,97
0,342,episode_reward,-833.034882
0,342,episode_length,112
0,344,episode_reward,-638.654824
0,344,episode_length,107
0,366,episode_reward,-413.38543
0,366,episode_length,107
0,379,episode_reward,-507.612528
0,379,episode_length,183
0,410,episode_reward,-779.174639
0,410,episode_length,137
0,411,episode_reward,-467.482421
0,411,episode_length,100
0,424,episode_reward,-1157.230091
0,424,episode_length,424
0,436,episode_reward,-427.154519
0,436,episode_length,98
0,471,episode_reward,-788.893331
0,471,episode_length,207
0,484,episode_reward,-561.151063
0,484,episode_length,143
0,493,episode_reward,-621.024109
0,493,episode_length,152
0,500,episode_reward,-502.006711
0,500,episode_length,134
0,507,episode_reward,-1665.023439
0,507,episode_length,364
0,521,episode_reward,-512.558933
0,521,episode_length,214
0,523,episode_reward,-476.847866
0,523,episode_length,87
0,567,episode_reward,-734.680836
0,567,episode_length,157
0,585,episode_reward,-400.486845
0,585,episode_length,101
0,590,episode_reward,-784.771735
0,590,episode_length,166
0,597,episode_reward,-406.415831
0,597,episode_length,90
0,603,episode_reward,-535.538819
0,603,episode_length,259
0,619,episode_reward,-432.92887
0,619,episode_length,96
0,622,episode_reward,-580.597039
0,622,episode_length,101
0,625,episode_reward,-559.139381
0,625,episode_length,132
0,631,episode_reward,-839.592239
0,631,episode_length,220
0,651,episode_reward,-301.201762
0,651,episode_length,151
0,653,episode_reward,-1669.618475
0,653,episode_length,441
0,688,episode_reward,-919.544554
0,688,episode_length,217
0,706,episode_reward,-1326.843889
0,706,episode_length,364
0,740,episode_reward,-362.556884
0,740,episode_length,118
0,742,episode_reward,-1595.6657
0,742,episode_length,441
0,751,episode_reward,-1104.888686
0,751,episode_length,372
0,753,episode_reward,-408.659329
0,753,episode_length,163
0,753,episode_reward,-2161.67225
0,753,episode_length,462
0,766,episode_reward,-825.266319
0,766,episode_length,199
0,783,episode_reward,-794.550335
0,783,episode_length,132
0,790,episode_reward,-370.095885
0,790,episode_length,159
0,819,episode_reward,-902.737046
0,819,episode_length,166
0,824,episode_reward,-789.214177
0,824,episode_length,227
0,840,episode_reward,-819.154923
0,840,episode_length,152
0,843,episode_reward,-673.711261
0,843,episode_length,218
0,844,episode_reward,-385.598065
0,844,episode_length,102
0,855,episode_reward,-454.657767
0,855,episode_length,115
0,883,episode_reward,-683.119877
0,883,episode_length,130
0,887,episode_reward,-446.580171
0,887,episode_length,181
0,896,episode_reward,-1166.28261
0,896,episode_length,311
0,906,episode_reward,-601.044796
0,906,episode_length,155
0,906,episode_reward,-595.932879
0,906,episode_length,153
0,933,episode_reward,-277.084538
0,933,episode_length,150
0,940,episode_reward,-497.859031
0,940,episode_length,116
0,958,episode_reward,-411.209897
0,958,episode_length,139
0,963,episode_reward,-564.134671
0,963,episode_length,108
0,966,episode_reward,-384.787167
0,966,episode_length,200
0,969,episode_reward,-814.006437
0,969,episode_length,179
0,991,episode_reward,-559.343148
0,991,episode_length,151
0,1026,episode_reward,-697.332228
0,1026,episode_length,130
0,1028,episode_reward,-517.600117
0,1028,episode_length,145
0,1036,episode_reward,-579.342666
0,1036,episode_length,103
0,1043,episode_reward,-440.872418
0,1043,episode_length,156
0,1050,episode_reward,-577.062943
0,1050,episode_length,144
0,1051,episode_reward,-1212.552507
0,1051,episode_length,207
0,1064,episode_reward,-388.637607
0,1064,episode_length,106
0,1109,episode_reward,-591.480397
0,1109,episode_length,266
0,1132,episode_reward,-416.996536
0,1132,episode_length,106
0,1136,episode_reward,-338.246434
0,1136,episode_length,93
0,1145,episode_reward,-507.101121
0,1145,episode_length,182
0,1149,episode_reward,-534.032478
0,1149,episode_length,158
0,1161,episode_reward,-511.303213
0,1161,episode_length,195
0,1161,episode_reward,-677.683173
0,1161,episode_length,111
0,1183,episode_reward,-514.536191
0,1183,episode_length,155
0,1189,episode_reward,-2575.340444
0,1189,episode_length,570
0,1210,episode_reward,-448.254646
0,1210,episode_length,241
0,1231,episode_reward,-845.348557
0,1231,episode_length,195
0,1250,episode_reward,-1189.55913
0,1250,episode_length,310
0,1259,episode_reward,-267.983067
0,1259,episode_length,127
0,1268,episode_reward,-432.978694
0,1268,episode_length,217
0,1268,episode_reward,-391.684461
0,1268,episode_length,159
0,1279,episode_reward,-744.12378
0,1279,episode_length,130
0,1292,episode_reward,-1375.114389
0,1292,episode_length,228
0,1319,episode_reward,-1426.297161
0,1319,episode_length,413
0,1341,episode_reward,-500.95196
0,1341,episode_length,196
0,1360,episode_reward,-601.329523
0,1360,episode_length,110
0,1382,episode_reward,-541.141407
0,1382,episode_length,221
0,1396,episode_reward,-684.182446
0,1396,episode_length,165
0,1414,episode_reward,-532.447462
0,1414,episode_length,146
0,1435,episode_reward,-357.970986
0,1435,episode_length,274
0,1491,episode_reward,-707.772273
0,1491,episode_length,355
0,1491,episode_reward,-594.388435
0,1491,episode_length,109
0,1492,episode_reward,-573.213024
0,1492,episode_length,96
0,1497,episode_reward,-608.448467
0,1497,episode_length,314
0,1527,episode_reward,-795.085028
0,1527,episode_length,248
0,1533,episode_reward,-1031.313675
0,1533,episode_length,241
0,1551,episode_reward,-630.696528
0,1551,episode_length,116
0,1566,episode_reward,-711.771754
0,1566,episode_length,152
0,1566,episode_reward,-319.908249
0,1566,episode_length,377
0,1569,episode_reward,-556.538912
0,1569,episode_length,78
0,1572,episode_reward,-1294.59946
0,1572,episode_length,362
0,1584,episode_reward,-1186.630173
0,1584,episode_length,325
0,1598,episode_reward,-1566.437649
0,1598,episode_length,330
0,1618,episode_reward,-296.464574
0,1618,episode_length,127
0,1622,episode_reward,-545.210415
0,1622,episode_length,125
0,1640,episode_reward,-1254.40211
0,1640,episode_length,299
0,1654,episode_reward,-1205.09495
0,1654,episode_length,294
0,1664,episode_reward,-969.497174
0,1664,episode_length,345
0,1665,episode_reward,-539.026006
0,1665,episode_length,99
0,1685,episode_reward,-718.542723
0,1685,episode_length,101
0,1702,episode_reward,-566.314179
0,1702,episode_length,104
0,1740,episode_reward,-661.268907
0,1740,episode_length,100
0,1751,episode_reward,-534.349833
0,1751,episode_length,182
0,1752,episode_reward,-680.323184
0,1752,episode_length,201
0,1758,episode_reward,-544.243612
0,1758,episode_length,104
0,1758,episode_reward,-677.618163
0,1758,episode_length,140
0,1767,episode_reward,-1188.201121
0,1767,episode_length,195
0,1777,episode_reward,-756.756543
0,1777,episode_length,250
0,1778,episode_reward,-672.694819
0,1778,episode_length,212
0,1780,episode_reward,-5663.078978
0,1780,episode_length,1177
0,1781,episode_reward,-440.657845
0,1781,episode_length,96
0,1798,episode_reward,-428.66175
0,1798,episode_length,134
0,1799,episode_reward,-762.934757
0,1799,episode_length,307
0,1846,episode_reward,-1375.440769
0,1846,episode_length,313
0,1869,episode_reward,-535.058353
0,1869,episode_length,89
0,1874,episode_reward,-527.764355
0,1874,episode_length,93
0,1874,episode_reward,-631.330314
0,1874,episode_length,96
0,1876,episode_reward,-343.770396
0,1876,episode_length,136
0,1877,episode_reward,-470.963337
0,1877,episode_length,126
0,1917,episode_reward,-674.286366
0,1917,episode_length,140
0,1950,episode_reward,-1017.066364
0,1950,episode_length,183
0,1962,episode_reward,-796.210591
0,1962,episode_length,204
0,1972,episode_reward,-757.182402
0,1972,episode_length,126
0,1981,episode_reward,-472.154765
0,1981,episode_length,105
0,1983,episode_reward,-937.87313
0,1983,episode_length,281
0,1984,episode_reward,-418.474608
0,1984,episode_length,110
0,2034,episode_reward,-946.134111
0,2034,episode_length,369
2,130,episode_reward,-268.183975
2,130,episode_length,130
2,132,episode_reward,-400.542564
2,132,episode_length,132
2,160,episode_reward,-465.611139
2,160,episode_length,160
2,176,episode_reward,-353.89897
2,176,episode_length,176
2,181,episode_reward,-380.35161
2,181,episode_length,181
2,194,episode_reward,-538.864075
2,194,episode_length,194
2,214,episode_reward,-432.006779
2,214,episode_length,214
2,248,episode_reward,-42.359168
2,248,episode_length,248
2,265,episode_reward,-357.492343
2,265,episode_length,265
2,292,episode_reward,-292.034894
2,292,episode_length,292
2,304,episode_reward,-513.983876
2,304,episode_length,304
2,311,episode_reward,-348.408417
2,311,episode_length,181
2,313,episode_reward,-955.263626
2,313,episode_length,313
2,317,episode_reward,-465.498069
2,317,episode_length,317
2,337,episode_reward,-314.15707
2,337,episode_length,337
2,367,episode_reward,-512.737662
2,367,episode_length,153
2,390,episode_reward,-912.638188
2,390,episode_length,390
2,420,episode_reward,-1015.357217
2,420,episode_length,260
2,432,episode_reward,-502.330095
2,432,episode_length,167
2,446,episode_reward,-743.501874
2,446,episode_length,270
2,458,episode_reward,-181.630356
2,458,episode_length,145
2,470,episode_reward,-422.133683
2,470,episode_length,470
2,489,episode_reward,-425.374028
2,489,episode_length,99
2,501,episode_reward,-671.833228
2,501,episode_length,209
2,592,episode_reward,-415.866616
2,592,episode_length,172
2,601,episode_reward,-325.450147
2,601,episode_length,112
2,616,episode_reward,-502.452883
