round,step,metric,value
0,109,episode_reward,-571.240643
0,109,episode_length,109
0,119,episode_reward,-598.565607
0,119,episode_length,119
0,121,episode_reward,-622.392215
0,121,episode_length,121
0,123,episode_reward,-290.088186
0,123,episode_length,123
0,129,episode_reward,-323.506106
0,129,episode_length,129
0,132,episode_reward,-498.94116
0,132,episode_length,132
0,133,episode_reward,-640.679776
0,133,episode_length,133
0,141,episode_reward,-470.909332
0,141,episode_length,141
0,150,episode_reward,-682.183588
0,150,episode_length,150
0,175,episode_reward,-655.118619
0,175,episode_length,175
0,192,episode_reward,-770.475599
0,192,episode_length,192
0,207,episode_reward,-636.634224
0,207,episode_length,207
0,235,episode_reward,-646.958213
0,235,episode_length,112
0,235,episode_reward,-554.984926
0,235,episode_length,116
0,244,episode_reward,-711.437016
0,244,episode_length,115
0,248,episode_reward,-549.074714
0,248,episode_length,248
0,273,episode_reward,-791.064664
0,273,episode_length,132
0,317,episode_reward,-777.257682
0,317,episode_length,317
0,322,episode_reward,-732.911444
0,322,episode_length,172
0,338,episode_reward,-516.343903
0,338,episode_length,103
0,353,episode_reward,-794.389503
0,353,episode_length,221
0,369,episode_reward,-556.843428
0,369,episode_length,96
0,373,episode_reward,-1683.587932
0,373,episode_length,373
0,378,episode_reward,-1451.966988
0,378,episode_length,269
0,380,episode_reward,-567.075687
0,380,episode_length,173
0,390,episode_reward,-1116.988842
0,390,episode_length,257
0,414,episode_reward,-661.333337
0,414,episode_length,222
0,423,episode_reward,-824.366724
0,423,episode_length,248
0,425,episode_reward,-702.828709
0,425,episode_length,190
0,463,episode_reward,-1104.355901
0,463,episode_length,463
0,465,episode_reward,-632.27186
0,465,episode_length,112
0,471,episode_reward,-510.072984
0,471,episode_length,93
0,483,episode_reward,-464.237688
0,483,episode_length,93
0,486,episode_reward,-773.274289
0,486,episode_length,164
0,497,episode_reward,-535.980647
0,497,episode_length,83
0,517,episode_reward,-632.939814
0,517,episode_length,179
0,518,episode_reward,-716.875702
0,518,episode_length,138
0,520,episode_reward,-329.11475
0,520,episode_length,97
0,538,episode_reward,-868.850947
0,538,episode_length,290
0,560,episode_reward,-511.467084
0,560,episode_length,89
0,561,episode_reward,-779.978272
0,561,episode_length,188
0,567,episode_reward,-1877.412971
0,567,episode_length,446
0,586,episode_reward,-556.449236
0,586,episode_length,121
0,587,episode_reward,-274.150771
0,587,episode_length,104
0,627,episode_reward,-1330.535656
0,627,episode_length,310
0,649,episode_reward,-587.588513
0,649,episode_length,186
0,666,episode_reward,-534.149275
0,666,episode_length,149
0,676,episode_reward,-590.743575
0,676,episode_length,156
0,684,episode_reward,-397.262529
0,684,episode_length,124
0,688,episode_reward,-805.408115
0,688,episode_length,121
0,701,episode_reward,-639.526432
0,701,episode_length,140
0,705,episode_reward,-811.67435
0,705,episode_length,461
0,710,episode_reward,-827.918394
0,710,episode_length,285
0,756,episode_reward,-448.140642
0,756,episode_length,387
0,756,episode_reward,-1213.336203
0,756,episode_length,259
0,775,episode_reward,-396.532905
0,775,episode_length,99
0,791,episode_reward,-350.086517
0,791,episode_length,205
0,794,episode_reward,-826.071958
0,794,episode_length,145
0,801,episode_reward,-857.300768
0,801,episode_length,283
0,803,episode_reward,-1079.557813
0,803,episode_length,317
0,806,episode_reward,-463.398136
0,806,episode_length,96
0,821,episode_reward,-496.264787
0,821,episode_length,120
0,837,episode_reward,-529.424491
0,837,episode_length,210
0,850,episode_reward,-593.438558
0,850,episode_length,184
0,874,episode_reward,-355.462053
0,874,episode_length,186
0,881,episode_reward,-583.798358
0,881,episode_length,90
0,881,episode_reward,-448.782758
0,881,episode_length,125
0,884,episode_reward,-1487.259503
0,884,episode_length,346
0,939,episode_reward,-582.878856
0,939,episode_length,136
0,950,episode_reward,-570.018146
0,950,episode_length,149
0,953,episode_reward,-624.94567
0,953,episode_length,178
0,969,episode_reward,-911.296943
0,969,episode_length,148
0,975,episode_reward,-1882.310715
