round,step,metric,value
0,62,episode_reward,-88.943583
0,62,episode_length,62
0,64,episode_reward,-97.564479
0,64,episode_length,64
0,66,episode_reward,-293.466338
0,66,episode_length,66
0,68,episode_reward,-330.691463
0,68,episode_length,68
0,68,episode_reward,-281.725276
0,68,episode_length,68
0,73,episode_reward,-127.138391
0,73,episode_length,73
0,80,episode_reward,-39.892103
0,80,episode_length,80
0,84,episode_reward,-217.51025
0,84,episode_length,84
0,84,episode_reward,-168.566495
0,84,episode_length,84
0,85,episode_reward,-246.308885
0,85,episode_length,85
0,90,episode_reward,-482.309464
0,90,episode_length,90
0,91,episode_reward,-159.233329
0,91,episode_length,91
0,94,episode_reward,-311.878108
0,94,episode_length,94
0,97,episode_reward,-257.15646
0,97,episode_length,97
0,121,episode_reward,-344.297478
0,121,episode_length,121
0,127,episode_reward,-97.919658
0,127,episode_length,127
0,132,episode_reward,-91.073427
0,132,episode_length,66
0,134,episode_reward,-217.534756
0,134,episode_length,66
0,138,episode_reward,-293.202066
0,138,episode_length,76
0,150,episode_reward,-420.672302
0,150,episode_length,82
0,152,episode_reward,-203.773139
0,152,episode_length,88
0,158,episode_reward,1.480095
0,158,episode_length,68
0,160,episode_reward,-109.204791
0,160,episode_length,66
0,161,episode_reward,-126.434466
0,161,episode_length,64
0,184,episode_reward,-213.93235
0,184,episode_length,104
0,193,episode_reward,-117.722914
0,193,episode_length,120
0,195,episode_reward,-362.877514
0,195,episode_length,111
0,202,episode_reward,-46.436899
0,202,episode_length,117
0,203,episode_reward,-270.335061
0,203,episode_length,119
0,204,episode_reward,-78.017803
0,204,episode_length,77
0,206,episode_reward,-177.88241
0,206,episode_length,115
0,213,episode_reward,-137.7911
0,213,episode_length,92
0,221,episode_reward,-274.571087
0,221,episode_length,87
0,234,episode_reward,-72.763793
0,234,episode_length,76
0,238,episode_reward,-131.174186
0,238,episode_length,106
0,241,episode_reward,-544.177299
0,241,episode_length,103
0,256,episode_reward,-98.606033
0,256,episode_length,61
0,256,episode_reward,-154.098646
0,256,episode_length,104
0,257,episode_reward,-395.342142
0,257,episode_length,107
0,257,episode_reward,-497.312232
0,257,episode_length,96
0,271,episode_reward,-321.165994
0,271,episode_length,65
0,277,episode_reward,-152.120049
0,277,episode_length,93
0,277,episode_reward,-420.632974
0,277,episode_length,117
0,278,episode_reward,-313.722566
0,278,episode_length,85
0,302,episode_reward,-166.0494
0,302,episode_length,64
0,303,episode_reward,-130.569875
0,303,episode_length,99
0,304,episode_reward,-144.070905
0,304,episode_length,101
0,310,episode_reward,-78.11165
0,310,episode_length,69
0,316,episode_reward,-107.05083
0,316,episode_length,95
0,320,episode_reward,-331.358538
0,320,episode_length,63
0,329,episode_reward,-370.847764
0,329,episode_length,127
0,330,episode_reward,-191.30074
0,330,episode_length,117
0,331,episode_reward,15.094788
0,331,episode_length,74
0,343,episode_reward,-331.46544
0,343,episode_length,65
0,345,episode_reward,-186.897145
0,345,episode_length,111
0,347,episode_reward,-37.784833
0,347,episode_length,91
0,369,episode_reward,-109.565923
0,369,episode_length,67
0,371,episode_reward,-126.497653
0,371,episode_length,94
0,372,episode_reward,-269.477706
0,372,episode_length,68
0,375,episode_reward,-103.095394
0,375,episode_length,119
0,385,episode_reward,-406.334837
0,385,episode_length,69
0,392,episode_reward,-664.62956
0,392,episode_length,115
0,393,episode_reward,-323.033743
0,393,episode_length,122
0,404,episode_reward,-119.956717
0,404,episode_length,73
0,413,episode_reward,-107.855096
0,413,episode_length,83
0,416,episode_reward,-666.395249
0,416,episode_length,113
0,420,episode_reward,-309.456113
0,420,episode_length,100
0,427,episode_reward,-542.742498
0,427,episode_length,84
0,429,episode_reward,-292.244237
0,429,episode_length,119
0,430,episode_reward,-486.719219
0,430,episode_length,101
0,431,episode_reward,-204.268474
0,431,episode_length,86
0,440,episode_reward,-448.257576
0,440,episode_length,93
0,456,episode_reward,-406.205817
0,456,episode_length,84
0,457,episode_reward,-99.761793
0,457,episode_length,64
0,466,episode_reward,-301.545995
0,466,episode_length,97
0,468,episode_reward,-151.756424
0,468,episode_length,93
0,471,episode_reward,-201.13446
0,471,episode_length,100
0,480,episode_reward,-325.335162
0,480,episode_length,95
0,491,episode_reward,-355.33656
0,491,episode_length,87
0,499,episode_reward,-191.933542
0,499,episode_length,107
0,502,episode_reward,-229.197211
0,502,episode_length,75
0,512,episode_reward,-92.005651
0,512,episode_length,82
0,524,episode_reward,-262.98494
0,524,episode_length,95
0,527,episode_reward,-489.595367
0,527,episode_length,96
0,528,episode_reward,-260.481068
0,528,episode_length,108
0,530,episode_reward,-284.928617
0,530,episode_length,117
0,534,episode_reward,-81.277928
0,534,episode_length,68
0,534,episode_reward,-376.451911
0,534,episode_length,94
0,539,episode_reward,-338.569056
0,539,episode_length,71
0,546,episode_reward,-414.534357
0,546,episode_length,89
0,552,episode_reward,-87.408399
0,552,episode_length,72
0,552,episode_reward,-107.369496
0,552,episode_length,136
0,566,episode_reward,-349.186529
0,566,episode_length,67
0,567,episode_reward,-263.884741
0,567,episode_length,111
0,574,episode_reward,-570.813291
0,574,episode_length,103
0,574,episode_reward,-384.572004
0,574,episode_length,83
0,604,episode_reward,-226.846954
0,604,episode_length,102
0,605,episode_reward,-322.475093
0,605,episode_length,81
0,611,episode_reward,-278.888108
0,611,episode_length,99
0,617,episode_reward,-395.041402
0,617,episode_length,65
0,620,episode_reward,-271.080956
0,620,episode_length,68
0,621,episode_reward,-127.303734
0,621,episode_length,82
0,625,episode_reward,-245.48178
0,625,episode_length,97
0,625,episode_reward,-265.154013
0,625,episode_length,91
0,633,episode_reward,-203.983646
0,633,episode_length,99
0,635,episode_reward,-205.119101
0,635,episode_length,105
0,639,episode_reward,-133.785244
0,639,episode_length,112
0,659,episode_reward,-257.187165
0,659,episode_length,85
0,665,episode_reward,-280.197779
0,665,episode_length,99
0,666,episode_reward,-531.027149
0,666,episode_length,92
0,666,episode_reward,-164.044965
0,666,episode_length,120
0,671,episode_reward,-94.01364
0,671,episode_length,104
0,692,episode_reward,-189.156873
0,692,episode_length,59
0,693,episode_reward,-155.859847
0,693,episode_length,89
0,694,episode_reward,-358.63851
0,694,episode_length,83
0,700,episode_reward,-114.960997
0,700,episode_length,95
0,700,episode_reward,-219.861829
0,700,episode_length,61
0,707,episode_reward,-112.536708
0,707,episode_length,90
0,712,episode_reward,-149.371051
0,712,episode_length,87
0,717,episode_reward,-107.11136
0,717,episode_length,96
0,722,episode_reward,-80.305763
0,722,episode_length,102
0,727,episode_reward,-406.903608
0,727,episode_length,68
0,728,episode_reward,-94.208059
0,728,episode_length,93
0,745,episode_reward,-69.991273
0,745,episode_length,120
0,745,episode_reward,-112.089142
0,745,episode_length,79
0,752,episode_reward,-101.029872
0,752,episode_length,60
0,757,episode_reward,-386.842509
0,757,episode_length,91
0,767,episode_reward,-384.912148
0,767,episode_length,74
0,774,episode_reward,-224.477616
0,774,episode_length,103
0,782,episode_reward,-250.173438
